facet_id,source_tet10_element_tag,source_local_face,classification,node_tags_json,node_xyz_json,per_node_exact_trimmed_face_tags_json,union_exact_trimmed_face_tags_json,common_exact_trimmed_face_tags_json,warning
1773,1227295,1,UNMAPPED,"[296,17345,383848,17386,390616,391268]","[[48.2,8.005,-19.2],[47.996135490209426,8.005,-19.2],[48.09076403665209,8.005,-19.077255604218067],[48.098067745104714,8.005,-19.2],[48.04344976343076,8.005,-19.13862780210903],[48.145382018326046,8.005,-19.13862780210903]]","[[34,35,80,81,125],[35,81],[125],[35,81],[125],[125]]","[34,35,80,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1778,1194578,2,UNMAPPED,"[383747,296,383848,391039,391268,384809]","[[48.26332780123862,8.005,-19.040695986338463],[48.2,8.005,-19.2],[48.09076403665209,8.005,-19.077255604218067],[48.23166390061931,8.005,-19.120347993169233],[48.145382018326046,8.005,-19.13862780210903],[48.17704591894535,8.005,-19.058975795278265]]","[[80],[34,35,80,81,125],[125],[80],[125],[125]]","[34,35,80,81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1783,1118214,2,UNMAPPED,"[297,382205,17932,386924,386925,18094]","[[50.2,8.005,-17.2],[50.011720565951286,8.005,-17.06901568243072],[50.2,8.005,-16.965392638606684],[50.10586028297564,8.005,-17.134507841215363],[50.10586028297564,8.005,-17.017204160518702],[50.2,8.005,-17.08269631930334]]","[[33,34,79,80,124],[124],[33,79],[124],[124],[33,79]]","[33,34,79,80,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1785,1174238,2,UNMAPPED,"[383688,382205,297,386764,386924,390288]","[[50.00958590595833,8.005,-17.27929462071635],[50.011720565951286,8.005,-17.06901568243072],[50.2,8.005,-17.2],[50.01065323595481,8.005,-17.174155151573533],[50.10586028297564,8.005,-17.134507841215363],[50.10479295297917,8.005,-17.239647310358176]]","[[80],[124],[33,34,79,80,124],[124],[124],[80]]","[33,34,79,80,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1790,1182404,1,UNMAPPED,"[383278,298,17464,387237,17626,387236]","[[37.96692278343314,8.005,-17.100461575545708],[37.8,8.005,-17.2],[37.8,8.005,-16.965392638606684],[37.88346139171657,8.005,-17.150230787772855],[37.8,8.005,-17.08269631930334],[37.88346139171657,8.005,-17.032927107076194]]","[[118],[28,29,74,75,118],[29,75],[118],[29,75],[118]]","[28,29,74,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1792,1178399,1,UNMAPPED,"[383278,383897,298,390349,390350,387237]","[[37.96692278343314,8.005,-17.100461575545708],[37.96608193617775,8.005,-17.300380664763825],[37.8,8.005,-17.2],[37.966502359805446,8.005,-17.200421120154765],[37.88304096808887,8.005,-17.250190332381912],[37.88346139171657,8.005,-17.150230787772855]]","[[118],[74],[28,29,74,75,118],[74],[74],[118]]","[28,29,74,75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1793,1204986,1,UNMAPPED,"[17625,299,382204,17788,385920,386921]","[[37.8,8.005,18.965392638591222],[37.8,8.005,19.2],[37.998637712210815,8.005,19.06263973980894],[37.8,8.005,19.08269631929561],[37.8993188561054,8.005,19.13131986990447],[37.8993188561054,8.005,19.01401618920008]]","[[29,75],[29,30,75,76,120],[120],[29,75],[120],[120]]","[29,30,75,76,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1799,1203300,0,UNMAPPED,"[383686,382204,299,385919,385920,384554]","[[38.033549983595876,8.005,19.294157477390417],[37.998637712210815,8.005,19.06263973980894],[37.8,8.005,19.2],[38.01609384790335,8.005,19.178398608599682],[37.8993188561054,8.005,19.13131986990447],[37.916774991797936,8.005,19.247078738695212]]","[[76],[120],[29,30,75,76,120],[120],[120],[76]]","[29,30,75,76,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1802,1207221,1,UNMAPPED,"[17820,383638,300,388363,388309,17860]","[[40.00386450979057,8.005,21.2],[39.906340010289526,8.005,21.03881327402505],[39.8,8.005,21.2],[39.95510226004005,8.005,21.11940663701252],[39.85317000514477,8.005,21.11940663701252],[39.901932254895286,8.005,21.2]]","[[31,77],[121],[30,31,76,77,121],[121],[121],[31,77]]","[30,31,76,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1806,1107905,2,UNMAPPED,"[383638,382285,300,388310,388311,388309]","[[39.906340010289526,8.005,21.03881327402505],[39.71016108594557,8.005,21.020550001569024],[39.8,8.005,21.2],[39.80825054811755,8.005,21.029681637797037],[39.75508054297279,8.005,21.110275000784515],[39.85317000514477,8.005,21.11940663701252]]","[[121],[76],[30,31,76,77,121],[121],[76],[121]]","[30,31,76,77,121]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1807,1197524,1,UNMAPPED,"[301,383328,17859,388295,388296,17900]","[[48.2,8.005,21.2],[48.117581833687034,8.005,21.03666562181365],[47.996135490209426,8.005,21.2],[48.15879091684352,8.005,21.118332810906825],[48.05685866194823,8.005,21.118332810906825],[48.098067745104714,8.005,21.2]]","[[31,32,77,78,122],[122],[31,77],[122],[122],[31,77]]","[31,32,77,78,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1813,1185580,0,UNMAPPED,"[383745,383328,301,390331,388295,390549]","[[48.288269849264815,8.005,21.06366645985739],[48.117581833687034,8.005,21.03666562181365],[48.2,8.005,21.2],[48.202925841475924,8.005,21.050166040835524],[48.15879091684352,8.005,21.118332810906825],[48.244134924632405,8.005,21.13183322992869]]","[[78],[122],[31,32,77,78,122],[78],[122],[78]]","[31,32,77,78,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1816,1198653,3,UNMAPPED,"[382203,302,18093,386923,18256,386922]","[[50.02599075815154,8.005,19.076781059061172],[50.2,8.005,19.2],[50.2,8.005,18.965392638591222],[50.11299537907577,8.005,19.138390529530586],[50.2,8.005,19.08269631929561],[50.11299537907577,8.005,19.021086848826197]]","[[123],[32,33,78,79,123],[33,79],[123],[33,79],[123]]","[32,33,78,79,123]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1820,1206378,1,UNMAPPED,"[382203,383687,302,390500,390285,386923]","[[50.02599075815154,8.005,19.076781059061172],[50.01412342994836,8.005,19.273144906319704],[50.2,8.005,19.2],[50.02005709404995,8.005,19.174962982690435],[50.10706171497418,8.005,19.236572453159848],[50.11299537907577,8.005,19.138390529530586]]","[[123],[78],[32,33,78,79,123],[123],[78],[123]]","[32,33,78,79,123]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1950,1140524,1,UNMAPPED,"[382008,384005,1218,390863,390966,389966]","[[46.55432158550599,8.005,20.356502197726183],[46.77838750219324,8.005,20.33276080313939],[46.66039913011189,8.004999999999999,20.2],[46.666354543849614,8.005,20.344631500432786],[46.71939331615257,8.005,20.266380401569695],[46.60736035780894,8.005,20.27825109886309]]","[[77],[122],[122],[122],[122],[122]]","[77,122]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2009,1220813,0,UNMAPPED,"[382948,1268,382092,386226,387717,387469]","[[38.622302061160056,8.005,17.794990963210008],[38.8,8.004999999999999,17.67955001586972],[38.61674831144053,8.005,17.573749604150468],[38.71115103058003,8.005,17.737270489539863],[38.708374155720264,8.005,17.626649810010097],[38.619525186300294,8.005,17.68437028368024]]","[[120],[120],[75],[120],[120],[120]]","[75,120]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2627,1148233,0,UNMAPPED,"[383290,383284,1574,387992,387993,386032]","[[38.60909210956131,8.005,-15.7954134056856],[38.60609235462661,8.005,-15.577778403915225],[38.8,8.004999999999999,-15.691530584407602],[38.607592232093964,8.005,-15.686595904800413],[38.703046177313304,8.005,-15.634654494161413],[38.70454605478065,8.005,-15.743471995046601]]","[[118],[75],[118],[118],[118],[118]]","[75,118]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2684,1207641,3,UNMAPPED,"[382005,383786,1623,384527,390705,389970]","[[41.4645868007642,8.005,-18.353319146085717],[41.265163415497156,8.005,-18.35628037081509],[41.33960086993777,8.004999999999999,-18.2],[41.36487510813068,8.005,-18.3547997584504],[41.30238214271746,8.005,-18.278140185407544],[41.40209383535099,8.005,-18.276659573042856]]","[[81],[117],[117],[117],[117],[117]]","[81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2782,1166790,1,UNMAPPED,"[382007,1682,384006,389963,390967,390864]","[[46.55419440223213,8.005,-18.356601103667646],[46.66039913011189,8.004999999999999,-18.2],[46.77835450147897,8.005,-18.33278105745986],[46.60729676617201,8.005,-18.278300551833823],[46.719376815795435,8.005,-18.266390528729932],[46.66627445185555,8.005,-18.344691080563756]]","[[81],[125],[125],[125],[125],[125]]","[81,125]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2838,1206537,1,UNMAPPED,"[382093,1741,382934,386379,386378,386000]","[[49.38325168855946,8.005,17.573749604150468],[49.199999999999996,8.004999999999999,17.67955001586972],[49.37683862115965,8.005,17.796897263142686],[49.29162584427973,8.005,17.626649810010097],[49.288419310579826,8.005,17.738223639506206],[49.38004515485956,8.005,17.685323433646577]]","[[79],[123],[123],[123],[123],[123]]","[79,123]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3458,1176433,3,UNMAPPED,"[2047,383291,383303,387221,387220,385828]","[[49.199999999999996,8.004999999999999,-15.691530584407598],[49.39862420012375,8.005,-15.575328532764217],[49.3869528667518,8.005,-15.782239468266404],[49.29931210006187,8.005,-15.633429558585908],[49.39278853343777,8.005,-15.67878400051531],[49.29347643337589,8.005,-15.736885026337003]]","[[124],[79],[124],[124],[124],[124]]","[79,124]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22946,1206978,0,UNMAPPED,"[17307,17306,382208,17347,388941,388842]","[[40.20762024413595,8.005,-19.2],[40.00386450979057,8.005,-19.2],[40.10652352640351,8.005,-19.034547870017192],[40.10574237696326,8.005,-19.2],[40.05519401809704,8.005,-19.117273935008594],[40.15707188526973,8.005,-19.117273935008594]]","[[35,81],[35,81],[117],[35,81],[117],[117]]","[35,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22948,1213525,1,UNMAPPED,"[382208,17306,383639,388941,388364,390254]","[[40.10652352640351,8.005,-19.034547870017192],[40.00386450979057,8.005,-19.2],[39.9072871225718,8.005,-19.033292528088037],[40.05519401809704,8.005,-19.117273935008594],[39.95557581618119,8.005,-19.116646264044018],[40.006905324487654,8.005,-19.033920199052613]]","[[117],[35,81],[117],[117],[117],[117]]","[35,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22950,1193172,3,UNMAPPED,"[383508,17308,17307,388521,17348,388841]","[[40.30648076783318,8.005,-19.024961181439092],[40.40946462925684,8.005,-19.2],[40.20762024413595,8.005,-19.2],[40.35797269854501,8.005,-19.112480590719546],[40.3085424366964,8.005,-19.2],[40.257050505984566,8.005,-19.112480590719546]]","[[117],[35,81],[35,81],[117],[35,81],[117]]","[35,81,117]",[],"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
