control_id,part_id_or_interface,source_table,source_row,drawing_path_or_paths,coverage_class,evidence,physical_execution_state,fabrication_authorized,warning
C04-001,MV0-C04,new-interface-drawing-controls.csv,2,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C04_gripper-adapter-candidate-drawing.svg,DRAWING_TEXT_EXPLICIT,Readable drawing contains the controlled feature or acceptance statement,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C04-002,MV0-C04,new-interface-drawing-controls.csv,3,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C04_gripper-adapter-candidate-drawing.svg,DRAWING_TEXT_EXPLICIT,Readable drawing contains the controlled feature or acceptance statement,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C04-003,MV0-C04,new-interface-drawing-controls.csv,4,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C04_gripper-adapter-candidate-drawing.svg,DRAWING_TEXT_EXPLICIT,Readable drawing contains the controlled feature or acceptance statement,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C04-004,MV0-C04,new-interface-drawing-controls.csv,5,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C04_gripper-adapter-candidate-drawing.svg,SCHEDULE_BOUND_CONTROL,Readable drawing explicitly defers numeric detail to the exact source control row,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C04-005,MV0-C04,new-interface-drawing-controls.csv,6,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C04_gripper-adapter-candidate-drawing.svg,DRAWING_EXPLICIT_PHYSICAL_HOLD,Combined readable drawing plus exact source control row; physical result still required,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C05-001,MV0-C05,new-interface-drawing-controls.csv,7,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C05_shoulder-support-candidate-drawing.svg,DRAWING_TEXT_EXPLICIT,Readable drawing contains the controlled feature or acceptance statement,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C05-002,MV0-C05,new-interface-drawing-controls.csv,8,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C05_shoulder-support-candidate-drawing.svg,DRAWING_TEXT_EXPLICIT,Readable drawing contains the controlled feature or acceptance statement,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C05-003,MV0-C05,new-interface-drawing-controls.csv,9,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C05_shoulder-support-candidate-drawing.svg,DRAWING_TEXT_EXPLICIT,Readable drawing contains the controlled feature or acceptance statement,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C05-004,MV0-C05,new-interface-drawing-controls.csv,10,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C05_shoulder-support-candidate-drawing.svg,SCHEDULE_BOUND_CONTROL,Readable drawing explicitly defers numeric detail to the exact source control row,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
C05-005,MV0-C05,new-interface-drawing-controls.csv,11,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C05_shoulder-support-candidate-drawing.svg,DRAWING_EXPLICIT_PHYSICAL_HOLD,Combined readable drawing plus exact source control row; physical result still required,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
STOP-001,MV0-C06,j2-positive-stop-controls.csv,2,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C06_J2-positive-moving-striker-drawing.svg,SCHEDULE_BOUND_CONTROL,Readable drawing explicitly defers numeric detail to the exact source control row,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
STOP-002,MV0-C06,j2-positive-stop-controls.csv,3,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C06_J2-positive-moving-striker-drawing.svg,DRAWING_TEXT_EXPLICIT,Readable drawing contains the controlled feature or acceptance statement,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
STOP-003,MV0-C07,j2-positive-stop-controls.csv,4,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C07_J2-positive-fixed-catch-drawing.svg,SCHEDULE_BOUND_CONTROL,Readable drawing explicitly defers numeric detail to the exact source control row,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
STOP-004,MV0-C07,j2-positive-stop-controls.csv,5,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C07_J2-positive-fixed-catch-drawing.svg,SCHEDULE_BOUND_CONTROL,Readable drawing explicitly defers numeric detail to the exact source control row,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
STOP-005,MV0-C06;MV0-C07,j2-positive-stop-controls.csv,6,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C06_J2-positive-moving-striker-drawing.svg;cad/hr-v0/generated/arm-architecture-p0.7/MV0-C07_J2-positive-fixed-catch-drawing.svg,SCHEDULE_BOUND_CONTROL,Readable drawing explicitly defers numeric detail to the exact source control row,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
STOP-006,MV0-C06;MV0-C07,j2-positive-stop-controls.csv,7,cad/hr-v0/generated/arm-architecture-p0.7/MV0-C06_J2-positive-moving-striker-drawing.svg;cad/hr-v0/generated/arm-architecture-p0.7/MV0-C07_J2-positive-fixed-catch-drawing.svg,DRAWING_EXPLICIT_PHYSICAL_HOLD,Combined readable drawing plus exact source control row; physical result still required,UNEXECUTED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
