record_id,role,identifier,source_path,configuration_state,release_boundary,warning
CFG-11,control-only hardware slice,HR-V0-E2-HW-P0.4,release/hr-v0/e2-hardware-p0.4/e2-hardware-summary.json,CURRENT FAIL-CLOSED CANDIDATE,P1.15-bound; actuator source/branches absent or unwired; run not authorized,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-12,watchdog CAM review,HR-V0-WD-CAM-P0.2,release/hr-v0/watchdog-pcb-cam-p0.2/package-status.json,CURRENT P1.15-BOUND REVIEW EVIDENCE,"quarantined CAM only; supplier-normalized XYRS, provider/process acceptance, first article and all work authority remain absent","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-13,observation-integrated system view,V3-P1.17-OBSERVATION-P0.5-CANDIDATE,electrical/kicad/project-button-v3-p1.17-observation-p05-candidate/project-button-v3-p1.17-observation-p05-candidate.kicad_pro,CURRENT SYNCHRONIZED SYSTEM VIEW,"P1.15 core parity and P0.5/Pi terminal maps are machine-checked; Pi acceptance, DFM, physical and qualified evidence remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-14,runtime observation carrier,HR-V0-RUNTIME-OBS-CARRIER-P0.5,electrical/kicad/hr-v0-runtime-observation-carrier-p0.5/hr-v0-runtime-observation-carrier-p0.5.kicad_pro,CURRENT CANDIDATE,open-drain topology is source-bound; fourteen application/manufacturing/physical/review holds remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-15,Pi observation carrier,HR-V0-PI-OBS-CARRIER-P0.1,electrical/kicad/hr-v0-pi-observation-carrier-p0.1/hr-v0-pi-observation-carrier-p0.1.kicad_pro,CURRENT CANDIDATE,"six-net passive carrier only; stack, fit, harness, load and physical evidence remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-16,observation field harness,HR-V0-OBSERVATION-FIELD-HARNESS-P0.1,electrical/harness/hr-v0-observation-field-harness-p0.1/package-status.json,CURRENT CANDIDATE,catalog conductors and preparation envelopes exist; all cut lengths and physical evidence remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-17,observation compute harness,HR-V0-OBSERVATION-COMPUTE-HARNESS-P0.1,electrical/harness/hr-v0-observation-compute-harness-p0.1/package-status.json,CURRENT CANDIDATE,"catalog conductors and preparation envelopes exist; all cut lengths, duct fill and physical evidence remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-18,integrated mechanical arm candidate,HR-V0-ARM-ARCH-P0.8-DWG-INTEGRATED-CANDIDATE,cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/architecture-summary.json,CURRENT HELD INTEGRATED MECHANICAL CANDIDATE,"directly imports all five R213 STEP identities at unchanged P0.7 transforms; DFM, FAI, received fit, physical proof, mass closure and qualified release remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-19,control-panel current-identity overlay,HR-V0-CP-CONFIG-P0.1,release/hr-v0/control-panel-configuration-p0.1/package-status.json,CURRENT PANEL IDENTITY CONTROL,P0.6 remains planning geometry; P1.15/PCB-P1.0/DXL-STAR-P0.2 identities bound; physical evidence open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-20,panel conductor family/gauge basis,HR-V0-PANEL-COND-P0.1,release/hr-v0/panel-conductor-basis-p0.1/package-status.json,CURRENT HELD CONDUCTOR BASIS,fixed-internal family/gauge candidate only; door cable and all exact physical conductor fields open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-21,explicit point-to-point topology,HR-V0-PANEL-P2P-P0.1,release/hr-v0/panel-point-to-point-p0.1/package-status.json,CURRENT HELD TOPOLOGY EVIDENCE,"55 two-ended conductors map 66 labels; no cut length, termination or wiring release","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-22,native panel-topology ECAD,V3-P1.18-PANEL-TOPOLOGY-CANDIDATE,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/project-button-v3-p1.18-panel-topology-candidate.kicad_pro,UNACCEPTED SUPPORTING ECAD CANDIDATE,P1.15 remains current until independent review and formal P1.18 disposition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-23,panel node placement and route-anchor basis,HR-V0-PANEL-NODE-PLACEMENT-P0.1,release/hr-v0/panel-node-placement-p0.1/package-status.json,CURRENT HELD PLACEMENT CANDIDATE,"five node envelopes and stock arithmetic only; zero holes, cuts, wires or physical results","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-24,P1.21 protected-routing segregation hardware,HR-V0-P121-SEGREGATION-HW-P0.1,release/hr-v0/p121-segregation-hardware-p0.1/package-status.json,CURRENT HELD PHYSICAL-ROUTING CANDIDATE,"exact duct body/cover and planning envelope only; junction, conductors, fill, installation, safety credit and authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-25,P1.21 conductor and duct occupancy evidence,HR-V0-P121-CONDUCTOR-FILL-P0.1,release/hr-v0/p121-conductor-fill-p0.1/package-status.json,CURRENT HELD CONDUCTOR/FILL CANDIDATE,"exact 3057 BL005 order-code candidate and geometry-only occupancy screens; color, DCR, cut, protection, thermal, physical and qualified closure open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-26,P1.21 endpoint termination evidence,HR-V0-P121-TERM-P0.1,release/hr-v0/p121-termination-p0.1/package-status.json,CURRENT HELD TERMINATION CANDIDATE,"two exact ferrule formats and three exact tool candidates; received qualification, bits, installed evidence, P1.21 acceptance and authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-27,P1.21 nominal DCR/drop and driver-bit evidence,HR-V0-P121-DCR-DROP-P0.1,release/hr-v0/p121-dcr-drop-p0.1/package-status.json,CURRENT NOMINAL PLANNING SCREEN,"manufacturer-nominal DCR and conductor-only centerline arithmetic; received, actual-circuit, bit, physical and qualified acceptance open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-28,current custom-part manufacturing binding,HR-V0-MECH-BOM-BIND-P0.3,release/hr-v0/mechanical-bom-binding-p0.3/package-status.json,CURRENT INTEGRATED HELD DESIGN CANDIDATE,"five exact one-each parts and unchanged source hashes; successor shop drawings, DFM, FAI, physical evidence and qualified release open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-29,firmware mechanical source binding,HR-V0-FW-MECH-SRC-BIND-P0.1,release/hr-v0/firmware-mechanical-source-binding-p0.1/package-status.json,CURRENT FAIL-CLOSED SOURCE IDENTITY,eight source hashes bound in two configurations; physical/HIL acceptance hash remains selection required,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-30,P1.21 static 24 V control-rail budget,HR-V0-P121-STATIC-VOLTAGE-BUDGET-P0.1,release/hr-v0/p121-static-voltage-budget-p0.1/package-status.json,CURRENT SUPPORTING EVIDENCE - PARTIAL / NOT ACCEPTED,Raw headroom only; complete installed static/dynamic circuit budget and physical evidence remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-31,mechanical shop/RFQ/unpowered assembly candidate,HR-V0-MECH-SHOP-RFQ-ASSY-P0.1,release/hr-v0/mechanical-shop-rfq-assembly-p0.1/package-status.json,CURRENT SUPPORTING CANDIDATE - REVIEW/RFQ PREPARATION ONLY,"five successor drawings and exact payload; formal GD&T, provider response, FAI, physical/qualified evidence and work authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-32,complete moving-system physical-properties evidence contract,HR-V0-MOVING-PROP-CLOSURE-P0.1,release/hr-v0/moving-properties-closure-p0.1/package-status.json,CURRENT BLANK EXECUTION CONTRACT - NO PHYSICAL RESULT,"17-row received mass, assembly closure, two-axis COM and calibrated inertia remain unexecuted; B-010/R247-H11 open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-33,accepted moving-property propagation and stale-analysis control,HR-V0-PROP-PROPAGATION-P0.1,release/hr-v0/property-propagation-p0.1/package-status.json,CURRENT FAIL-CLOSED CONTRACT - NO ACCEPTED BUNDLE,six required property rows blank; twelve consumers unrebuilt; historical screens prohibited from release use,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-34,five-part datum/GD&T qualified-review proposal,HR-V0-GDT-REVIEW-P0.1,release/hr-v0/gdt-review-p0.1/package-status.json,CURRENT REVIEW PROPOSAL - FORMAL GD&T NOT RELEASED,"five datum and twenty feature-control proposals; qualified disposition, drawings, DFM, FAI and physical fit open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-35,minimum physical acquisition and first unpowered shop-session contract,HR-V0-FIRST-SHOP-SESSION-P0.1,release/hr-v0/first-shop-session-p0.1/package-status.json,CURRENT FAIL-CLOSED SESSION CONTRACT - NOTHING AUTHORIZED,"purchase gates, supplier questions, receipt, roles, instruments, operations and HSI evidence all open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-36,zero-energy joint-stack fixture and temporary assembly candidate,HR-V0-JOINT-STACK-FIXTURE-P0.2,release/hr-v0/joint-stack-fixture-p0.2/package-status.json,CURRENT RANK-6 REVIEW-ONLY FIXTURE CANDIDATE,"P0.1 prohibited; P0.2 not buildable; supplier confirmation, selections, physical evidence, qualified review and session authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-37,task-specific unpowered joint-stack metrology execution contract,HR-V0-JOINT-MET-P0.2,release/hr-v0/joint-stack-metrology-p0.2/package-status.json,CURRENT FAIL-CLOSED METHOD CONTRACT - NOTHING AUTHORIZED,five task-specific methods; P0.2 fixture applicability limited; 40 uncertainty inputs and all physical evidence open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-38,Lot A supplier identity and task-specific metrology inquiry contract,HR-V0-LOT-A-INQUIRY-P0.2,release/hr-v0/lot-a-inquiry-p0.2/package-status.json,CURRENT CONTROLLED DRAFT - NOTHING SENT OR AUTHORIZED,"five inquiry routes, 44 unique questions, 15 bid rows and all evidence/decisions open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-39,Source-bound joint feature and measurand definition,HR-V0-JOINT-MEAS-DEF-P0.1,release/hr-v0/joint-measurement-definition-p0.1/package-status.json,CURRENT CONTROLLED DRAFT - CAD NOMINALS ONLY,"79 exact source features, 18 characteristics, all physical results and limits open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-40,Exact-feature Lot A supplier/metrology inquiry contract,HR-V0-LOT-A-INQUIRY-P0.3,release/hr-v0/lot-a-inquiry-p0.3/package-status.json,CURRENT CONTROLLED DRAFT - NOTHING SENT OR AUTHORIZED,79 source features and 18 characteristics bound to isolated provider returns,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-41,Deterministic recipient-isolated Lot A transmission bundles,HR-V0-LOT-A-TX-BUNDLE-P0.1,release/hr-v0/lot-a-transmission-bundles-p0.1/package-status.json,CURRENT CONTROLLED DRAFT - FIVE ARCHIVES UNSENT,exact route-specific payloads; sender/reply/authorization/transmission open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-42,Observation assemblies and hierarchical BOM integration,HR-V0-OBS-BOM-INTEGRATION-P0.1,release/hr-v0/observation-bom-integration-p0.1/package-status.json,CURRENT CONTROLLED BOM INTEGRATION - NO PHYSICAL RELEASE,"ten system groups added; mounting hardware, cable cuts, DFM, physical and qualified evidence open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-43,Observation carrier mounting-stack candidate definition,HR-V0-OBS-MOUNT-STACK-P0.1,release/hr-v0/observation-mount-stack-p0.1/package-status.json,CURRENT EXACT CANDIDATES - NO PROCUREMENT OR PHYSICAL RELEASE,"two mounting interfaces advanced to exact-candidate hold; Samtec availability, received fit, routes, cuts, tests and authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-44,U2D2-to-JC1 controller data/reference harness candidate,HR-V0-U2D2-JC1-HARNESS-P0.1,release/hr-v0/u2d2-jc1-harness-p0.1/package-status.json,"CURRENT EXACT CANDIDATE - NO CUT, ASSEMBLY, CONNECTION OR TEST RELEASE","pin map, material, tooling, finished-length and twist candidates defined; raw cut, received route, process, physical tests, qualified review and authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-45,U2D2-to-JC1 manufacturer-build technical/RFQ route,HR-V0-U2D2-JC1-HARNESS-RFQ-P0.1,release/hr-v0/u2d2-jc1-harness-rfq-p0.1/package-status.json,CURRENT UNSENT RFQ - NO PURCHASE OR PHYSICAL AUTHORITY,"exact provider request and evaluation route ready; response, part/drawing, quote, process evidence, first article, system tests and authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-46,carrier fit evidence capture,HR-V0-CARRIER-FIT-EVID-CAP-P0.1,release/hr-v0/carrier-fit-evidence-capture-p0.1/package-status.json,CURRENT BLANK EVIDENCE CONTRACT,raw unpowered data capture only; session and every physical operation remain unauthorized,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, MARKING, DRILLING, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-47,Lot A local-only owner decision capsule,HR-V0-LOT-A-DECISION-CAP-P0.1,release/hr-v0/lot-a-decision-capsule-p0.1/package-status.json,CURRENT DRAFT DECISION SURFACE - NO PURCHASE AUTHORITY,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-48,Lot A alternate acquisition-route qualification,HR-V0-LOT-A-ALT-ROUTE-P0.1,release/hr-v0/lot-a-alternate-route-p0.1/package-status.json,CURRENT ROUTE QUALIFICATION - NO PURCHASE AUTHORITY,"commercial page observations only; cart/quote, owner decision, receipt and physical evidence remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-49,functional datum/GD&T correction for qualified review,HR-V0-GDT-REVIEW-P0.2,release/hr-v0/gdt-review-p0.2/package-status.json,CURRENT REVIEW DEFINITION - FORMAL GD&T NOT RELEASED,"exact feature/DOF strategy only; current coordinate controls retained; qualified disposition, successor drawings, DFM, FAI and fit open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-50,unselected J2 hard-stop strength correction candidate,HR-V0-J2-STOP-STRENGTH-P0.1,release/hr-v0/j2-stop-strength-p0.1/package-status.json,CURRENT REVIEW EVIDENCE - P0.9 NOT SELECTED,"single-rail stall and nominal clearance screens only; factors, contact, material, drawing, DFM, FAI, physical test and qualified acceptance open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-51,corrected J2 stop load model and unselected bossed candidate,HR-V0-J2-STOP-BOSSED-P0.1,release/hr-v0/j2-stop-bossed-p0.1/package-status.json,CURRENT REVIEW EVIDENCE - P0.10 NOT SELECTED,R269 load model superseded; analysis/physical/qualified closure open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-52,C06 full-part linear-elastic stop rejection screen,HR-V0-J2-STOP-FEA-P0.1,release/hr-v0/j2-stop-fea-p0.1/analysis-status.json,CURRENT REVIEW EVIDENCE - P0.10 FAILS SCREEN AND IS NOT SELECTED,C07/contact/bolts/frame/nonlinearity/dynamics/physical/qualified closure open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-53,unselected collision-screened P0.11 mixed-side J2 stop CAD,HR-V0-ARM-ARCH-P0.11-SIDE-WEB-STOP-CANDIDATE,release/hr-v0/arm-architecture-p0.11-side-web-stop/p011-status.json,CURRENT REVIEW EVIDENCE - P0.11 NOT SELECTED,new C07 fastener stack and all physical/qualified closure open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-54,P0.11 exact C06/C07 linear structural rejection screen,HR-V0-J2-STOP-SIDEWEB-FEA-P0.1,release/hr-v0/j2-stop-sideweb-fea-p0.1/analysis-status.json,CURRENT REVIEW EVIDENCE - INTERNAL SCREEN PASS / UNSELECTED,contact/joint/dynamic/material/physical/qualified closure open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-55,unselected collision-screened P0.12 access-well J2 stop CAD,HR-V0-ARM-ARCH-P0.12-ACCESS-WELL-STOP-CANDIDATE,release/hr-v0/arm-architecture-p0.12-access-well-stop/p012-status.json,CURRENT REVIEW EVIDENCE - P0.12 NOT SELECTED,"available exact A04 hardware, installation, joined-load and every physical/qualified closure open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-56,P0.12 exact C06/C07 linear structural rejection screen,HR-V0-J2-STOP-ACCESS-WELL-FEA-P0.1,release/hr-v0/j2-stop-access-well-fea-p0.1/analysis-status.json,CURRENT REVIEW EVIDENCE - INTERNAL SCREEN PASS / UNSELECTED,joined fastener/contact/dynamic/material/physical/qualified closure open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-57,A04 exact-candidate hardware and joined-load evidence contract,HR-V0-A04-JOINT-P0.1,release/hr-v0/a04-joint-p0.1/package-status.json,CURRENT REVIEW EVIDENCE - EXACT CANDIDATES UNSELECTED,"received identity/tolerance, torque-preload, joined analysis, FAI, proof and qualified acceptance open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-58,unselected J2 soft-contact pad and dynamic evidence contract,HR-V0-J2-SOFT-CONTACT-PAD-P0.1,release/hr-v0/j2-soft-contact-pad-p0.1/package-status.json,CURRENT REVIEW EVIDENCE - TEST COUPON UNSELECTED,pad has no structural-stop/safety credit; dynamic/physical/qualified closure open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-59,P0.12 exact-contact soft-pad demand and evidence boundary,HR-V0-J2-SOFT-CONTACT-PAD-P0.2,release/hr-v0/j2-soft-contact-pad-p0.2/package-status.json,CURRENT REVIEW EVIDENCE - P0.2 TEST COUPON UNSELECTED,"pad has no structural-stop/safety credit; backup gap, dynamics, joined load path, physical and qualified closure open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-60,P0.13 bonded-pad-pocket geometry and received-stack-dependent depth control,HR-V0-J2-PAD-POCKET-P0.1,release/hr-v0/j2-pad-pocket-p0.1/package-status.json,CURRENT REVIEW EVIDENCE - P0.13/PAD/ADHESIVE UNSELECTED,"CAD screen depth is not production depth; supplier, stack, DFM, FAI, dynamics, structure, physical and qualified closure open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-61,P0.13 exact-normal C06/C07 metal-perimeter and pocket-floor linear structural screen,HR-V0-J2-STOP-PAD-POCKET-FEA-P0.1,release/hr-v0/j2-stop-pad-pocket-fea-p0.1/analysis-status.json,CURRENT REVIEW EVIDENCE - INTERNAL LINEAR SCREEN PASS / UNSELECTED,"nonlinear contact, joined hardware/frame, material allowable, dynamics, tolerance, physical correlation and qualified closure open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
