item_id,module,harness_assembly,role,candidate,declared_connector_boundary,operating_power_w,dynamic_link,physical_connector_and_contacts,power_net_and_protection,data_net_and_interface,route_and_retention,completeness_state
EQ-P01-IMU,P01,HN-P01,pelvis inertial sensor,industrial 6/9-axis IMU module candidate; exact model required,isolated CAN/SPI and keyed power; axis/latency/calibration interface open,0.800,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-P01-RESTRAINT-ANCHOR,P01,HN-P01,fall-restraint body hardpoint,through-bolted dual-lug restraint anchor candidate,rated connector geometry/load path remains open,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BATTERY-PACK,T01,HN-C01,onboard walking energy,LEGACY Grepow/Tattu TAA12K4S30EC5 envelope only - REJECTED as direct actuator source; BLF-1209WS later evaluation candidate requires cassette redesign,high-current power and balance/telemetry connectors SELECTION REQUIRED; no BMS/PCM inferred,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BATTERY-CASSETTE,T01,HN-E01,battery enclosure and retention,84 x 49 x 205 mm removable ventilated metal cassette candidate,"mechanical keying, secondary retention, venting, containment and fall-load path SELECTION REQUIRED",0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-T01-BATTERY-PROTECTION,T01,HN-E01,battery protection and telemetry,"4S high-current protection, cell monitor and temperature interface reservation; exact hardware SELECTION REQUIRED","cell taps, dual temperature inputs, pack current, precharge and hardwired inhibit; ratings/pinout open",0.800,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-DISPLAY,H01,HN-NH01,face display,"Waveshare 4inch HDMI LCD (H), SKU 16340, rotated landscape candidate","HDMI, 5 V and optional touch SPI; locking adapters/service loop required",5.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-CAMERA-L,H01,HN-NH01,stereo/wide vision,Raspberry Pi Camera Module 3 Wide candidate,22-pin CSI FFC via 200 mm service loop; privacy indicator interlock open,1.500,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-CAMERA-R,H01,HN-NH01,stereo/wide vision,Raspberry Pi Camera Module 3 Wide candidate,22-pin CSI FFC via 200 mm service loop; privacy indicator interlock open,1.500,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-MIC-ARRAY,H01,HN-NH01,far-field microphone array,four-microphone linear USB/I2S array; exact board SELECTION REQUIRED,"USB/I2S, clock, acoustic seals and privacy mute circuit open",1.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-SPEAKER-L,H01,HN-NH01,speech output,40 mm 3 W full-range speaker candidate,two-wire audio plus keyed plug; grille/seal/acoustic test open,0.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-SPEAKER-R,H01,HN-NH01,speech output,40 mm 3 W full-range speaker candidate,two-wire audio plus keyed plug; grille/seal/acoustic test open,0.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-AUDIO-AMP,H01,HN-NH01,audio amplifier,stereo class-D I2S amplifier carrier candidate,"5 V, I2S and two speaker outputs; gain/EMC selection open",6.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-H01-FAN,H01,HN-NH01,head ventilation,30 mm tachometer fan candidate,"5 V PWM/tach; filter, duct, noise and finger guard open",1.000,head,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-SOLE,F01,HN-F01,compliant sole,replaceable 4 mm TPU/rubber sole candidate,mechanical adhesive/fastener pattern; friction/wear selection open,0.000,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-LOAD-11,F01,HN-F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-LOAD-12,F01,HN-F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-LOAD-21,F01,HN-F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F01-LOAD-22,F01,HN-F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,L_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-SOLE,F02,HN-F02,compliant sole,replaceable 4 mm TPU/rubber sole candidate,mechanical adhesive/fastener pattern; friction/wear selection open,0.000,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-LOAD-11,F02,HN-F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-LOAD-12,F02,HN-F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-LOAD-21,F02,HN-F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-F02-LOAD-22,F02,HN-F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,four-wire bridge or local ADC; overload stop and calibration open,0.050,R_foot,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-G01-INBOARD-PAD,G01,HN-G01,gripper contact pad,replaceable compliant urethane/silicone pad candidate,mechanical captive pocket/adhesive selection open,0.000,L_hand,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-G01-OUTBOARD-PAD,G01,HN-G01,gripper contact pad,replaceable compliant urethane/silicone pad candidate,mechanical captive pocket/adhesive selection open,0.000,L_hand,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-G02-INBOARD-PAD,G02,HN-G02,gripper contact pad,replaceable compliant urethane/silicone pad candidate,mechanical captive pocket/adhesive selection open,0.000,R_hand,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-G02-OUTBOARD-PAD,G02,HN-G02,gripper contact pad,replaceable compliant urethane/silicone pad candidate,mechanical captive pocket/adhesive selection open,0.000,R_hand,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_TORSO_POWER_SPINE,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_TORSO_DATA_SPINE,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_HEAD_BRANCH,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_HEAD_POWER_BRANCH,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_L_LEG_POWER,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_L_LEG_DATA,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_L_ARM_POWER,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_L_ARM_DATA,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_R_LEG_POWER,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_R_LEG_DATA,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_R_ARM_POWER,HN01,HN-X01,installed harness bundle,segregated power cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-HN01_R_ARM_DATA,HN01,HN-X01,installed harness bundle,segregated data/encoder cable bundle plus two connector allowances,SELECTION REQUIRED,0.000,torso,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-CENTRAL,T01/P01/H01,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,base_link,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-LEFT-ARM,A01/G01,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,L_upper_arm,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-RIGHT-ARM,A02/G02,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,R_upper_arm,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-LEFT-LEG,L01/F01,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,L_thigh,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
EQ-FST-RIGHT-LEG,L02/F02,HN-X01,distributed fasteners/inserts/retainers,metric service fastener set; exact count/grade/torque/locking SELECTION REQUIRED,mechanical only,0.000,R_thigh,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,EQUIPMENT ACCOUNTED FOR - PHYSICAL HARNESS DEFINITION OPEN
