axis_id,bus_id,segment_order_provisional,actuator_family,protocol,actuator_side_pin_mapping,actuator_side_housing,power_corridor_chain,data_corridor_chain,actuator_id,assembled_cable_order_code,planning_geometric_length_mm,retention_flex_shielding,authority
R_ANKLE_PITCH,RS-RLEG,5,XM430,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_R_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_ANKLE_ROLL,RS-RLEG,6,XM430,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_LEG_POWER,HN01_TORSO_DATA_SPINE | HN01_R_LEG_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_SHOULDER_PITCH,RS-LARM,1,XM540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_L_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_SHOULDER_ROLL,RS-LARM,2,XM430,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_L_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_ELBOW_PITCH,RS-LARM,3,XM430,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_L_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_L_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_SHOULDER_PITCH,RS-RARM,1,XM540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_R_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_SHOULDER_ROLL,RS-RARM,2,XM430,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_R_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_ELBOW_PITCH,RS-RARM,3,XM430,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE | HN01_R_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_R_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
WAIST_YAW,RS-WAIST,1,XM540,RS-485,1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,HN01_TORSO_POWER_SPINE,HN01_TORSO_DATA_SPINE,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_WRIST_ROTATION,TTL-LDIST,1,XC330,TTL,1=GND; 2=VDD; 3=DATA,JST EHR-03,HN01_TORSO_POWER_SPINE | HN01_L_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_L_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
L_GRIPPER,TTL-LDIST,2,XC330,TTL,1=GND; 2=VDD; 3=DATA,JST EHR-03,HN01_TORSO_POWER_SPINE | HN01_L_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_L_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_WRIST_ROTATION,TTL-RDIST,1,XC330,TTL,1=GND; 2=VDD; 3=DATA,JST EHR-03,HN01_TORSO_POWER_SPINE | HN01_R_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_R_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
R_GRIPPER,TTL-RDIST,2,XC330,TTL,1=GND; 2=VDD; 3=DATA,JST EHR-03,HN01_TORSO_POWER_SPINE | HN01_R_ARM_POWER,HN01_TORSO_DATA_SPINE | HN01_R_ARM_DATA,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
HEAD_PAN,TTL-HEAD,1,XC330,TTL,1=GND; 2=VDD; 3=DATA,JST EHR-03,HN01_TORSO_POWER_SPINE | HN01_HEAD_POWER_BRANCH,HN01_TORSO_DATA_SPINE | HN01_HEAD_BRANCH,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
HEAD_TILT,TTL-HEAD,2,XC330,TTL,1=GND; 2=VDD; 3=DATA,JST EHR-03,HN01_TORSO_POWER_SPINE | HN01_HEAD_POWER_BRANCH,HN01_TORSO_DATA_SPINE | HN01_HEAD_BRANCH,SELECTION REQUIRED,SELECTION REQUIRED,DERIVE FROM WHOLE-BODY ROUTE; SERVICE LOOP/CUT LENGTH SELECTION REQUIRED,SELECTION REQUIRED,NO CONNECTION OR ENERGIZATION AUTHORITY
