connector_id,location,function,candidate_housing,mating_part,contact_order_code,contact_count,keying_retention_strain_relief,source,source_date,selection_state
J-WPS-RS-LLEG-OUT-2,WPS-RS-LLEG,CHANNEL 2 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-CTL-2,WPS-RS-LLEG,CHANNEL 2 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-OUT-3,WPS-RS-LLEG,CHANNEL 3 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-CTL-3,WPS-RS-LLEG,CHANNEL 3 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-OUT-4,WPS-RS-LLEG,CHANNEL 4 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-CTL-4,WPS-RS-LLEG,CHANNEL 4 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-OUT-5,WPS-RS-LLEG,CHANNEL 5 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-CTL-5,WPS-RS-LLEG,CHANNEL 5 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-OUT-6,WPS-RS-LLEG,CHANNEL 6 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LLEG-CTL-6,WPS-RS-LLEG,CHANNEL 6 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-OUT-1,WPS-RS-RLEG,CHANNEL 1 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-CTL-1,WPS-RS-RLEG,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-OUT-2,WPS-RS-RLEG,CHANNEL 2 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-CTL-2,WPS-RS-RLEG,CHANNEL 2 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-OUT-3,WPS-RS-RLEG,CHANNEL 3 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-CTL-3,WPS-RS-RLEG,CHANNEL 3 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-OUT-4,WPS-RS-RLEG,CHANNEL 4 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-CTL-4,WPS-RS-RLEG,CHANNEL 4 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-OUT-5,WPS-RS-RLEG,CHANNEL 5 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-CTL-5,WPS-RS-RLEG,CHANNEL 5 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-OUT-6,WPS-RS-RLEG,CHANNEL 6 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RLEG-CTL-6,WPS-RS-RLEG,CHANNEL 6 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LARM-OUT-1,WPS-RS-LARM,CHANNEL 1 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LARM-CTL-1,WPS-RS-LARM,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LARM-OUT-2,WPS-RS-LARM,CHANNEL 2 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LARM-CTL-2,WPS-RS-LARM,CHANNEL 2 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LARM-OUT-3,WPS-RS-LARM,CHANNEL 3 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LARM-CTL-3,WPS-RS-LARM,CHANNEL 3 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-LARM-OUT-4,WPS-RS-LARM,CHANNEL 4 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-LARM-CTL-4,WPS-RS-LARM,CHANNEL 4 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-LARM-OUT-5,WPS-RS-LARM,CHANNEL 5 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-LARM-CTL-5,WPS-RS-LARM,CHANNEL 5 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-LARM-OUT-6,WPS-RS-LARM,CHANNEL 6 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-LARM-CTL-6,WPS-RS-LARM,CHANNEL 6 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-RARM-OUT-1,WPS-RS-RARM,CHANNEL 1 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RARM-CTL-1,WPS-RS-RARM,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RARM-OUT-2,WPS-RS-RARM,CHANNEL 2 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RARM-CTL-2,WPS-RS-RARM,CHANNEL 2 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RARM-OUT-3,WPS-RS-RARM,CHANNEL 3 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RARM-CTL-3,WPS-RS-RARM,CHANNEL 3 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-RARM-OUT-4,WPS-RS-RARM,CHANNEL 4 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-RARM-CTL-4,WPS-RS-RARM,CHANNEL 4 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-RARM-OUT-5,WPS-RS-RARM,CHANNEL 5 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-RARM-CTL-5,WPS-RS-RARM,CHANNEL 5 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-RARM-OUT-6,WPS-RS-RARM,CHANNEL 6 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-RARM-CTL-6,WPS-RS-RARM,CHANNEL 6 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-WAIST-OUT-1,WPS-RS-WAIST,CHANNEL 1 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-WAIST-CTL-1,WPS-RS-WAIST,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-RS-WAIST-OUT-2,WPS-RS-WAIST,CHANNEL 2 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-WAIST-CTL-2,WPS-RS-WAIST,CHANNEL 2 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-WAIST-OUT-3,WPS-RS-WAIST,CHANNEL 3 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-WAIST-CTL-3,WPS-RS-WAIST,CHANNEL 3 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-WAIST-OUT-4,WPS-RS-WAIST,CHANNEL 4 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-WAIST-CTL-4,WPS-RS-WAIST,CHANNEL 4 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-WAIST-OUT-5,WPS-RS-WAIST,CHANNEL 5 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-WAIST-CTL-5,WPS-RS-WAIST,CHANNEL 5 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-RS-WAIST-OUT-6,WPS-RS-WAIST,CHANNEL 6 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-RS-WAIST-CTL-6,WPS-RS-WAIST,CHANNEL 6 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-TTL-LDIST-OUT-1,WPS-TTL-LDIST,CHANNEL 1 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-TTL-LDIST-CTL-1,WPS-TTL-LDIST,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-TTL-LDIST-OUT-2,WPS-TTL-LDIST,CHANNEL 2 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-TTL-LDIST-CTL-2,WPS-TTL-LDIST,CHANNEL 2 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-TTL-LDIST-OUT-3,WPS-TTL-LDIST,CHANNEL 3 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-TTL-LDIST-CTL-3,WPS-TTL-LDIST,CHANNEL 3 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-TTL-LDIST-OUT-4,WPS-TTL-LDIST,CHANNEL 4 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-TTL-LDIST-CTL-4,WPS-TTL-LDIST,CHANNEL 4 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-TTL-LDIST-OUT-5,WPS-TTL-LDIST,CHANNEL 5 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-TTL-LDIST-CTL-5,WPS-TTL-LDIST,CHANNEL 5 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-TTL-LDIST-OUT-6,WPS-TTL-LDIST,CHANNEL 6 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL HAS NO FIELD HARNESS
J-WPS-TTL-LDIST-CTL-6,WPS-TTL-LDIST,CHANNEL 6 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,DNP CHANNEL CONTROL UNPOPULATED
J-WPS-TTL-RDIST-OUT-1,WPS-TTL-RDIST,CHANNEL 1 ACTUATOR OUTPUT,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,2,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,OUTPUT CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
J-WPS-TTL-RDIST-CTL-1,WPS-TTL-RDIST,CHANNEL 1 DISABLE/POWER-GOOD CONTROL,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,3,SELECTION REQUIRED,electrical/walking-power-successor-p0.1,generated 2026-08-17,CONTROL CONNECTOR / PCB / FIELD ASSEMBLY SELECTION REQUIRED
