point_id,segment_id,sequence,x_mm,y_mm,z_mm,datum_basis,tolerance
LOOP-L_KNEE_PITCH-PWR-P01,LOOP-L_KNEE_PITCH-PWR,1,67.500,-14.000,210.000,OFFSET FROM L_KNEE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_KNEE_PITCH-PWR-P02,LOOP-L_KNEE_PITCH-PWR,2,67.500,14.000,210.000,OFFSET FROM L_KNEE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_KNEE_PITCH-DATA-P01,LOOP-L_KNEE_PITCH-DATA,1,57.500,-10.000,210.000,OFFSET FROM L_KNEE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_KNEE_PITCH-DATA-P02,LOOP-L_KNEE_PITCH-DATA,2,57.500,10.000,210.000,OFFSET FROM L_KNEE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ANKLE_PITCH-PWR-P01,LOOP-L_ANKLE_PITCH-PWR,1,67.500,-14.000,55.000,OFFSET FROM L_ANKLE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ANKLE_PITCH-PWR-P02,LOOP-L_ANKLE_PITCH-PWR,2,67.500,14.000,55.000,OFFSET FROM L_ANKLE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ANKLE_PITCH-DATA-P01,LOOP-L_ANKLE_PITCH-DATA,1,57.500,-10.000,55.000,OFFSET FROM L_ANKLE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ANKLE_PITCH-DATA-P02,LOOP-L_ANKLE_PITCH-DATA,2,57.500,10.000,55.000,OFFSET FROM L_ANKLE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ANKLE_ROLL-PWR-P01,LOOP-L_ANKLE_ROLL-PWR,1,67.500,-14.000,35.000,OFFSET FROM L_ANKLE_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ANKLE_ROLL-PWR-P02,LOOP-L_ANKLE_ROLL-PWR,2,67.500,14.000,35.000,OFFSET FROM L_ANKLE_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ANKLE_ROLL-DATA-P01,LOOP-L_ANKLE_ROLL-DATA,1,57.500,-10.000,35.000,OFFSET FROM L_ANKLE_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ANKLE_ROLL-DATA-P02,LOOP-L_ANKLE_ROLL-DATA,2,57.500,10.000,35.000,OFFSET FROM L_ANKLE_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_YAW-PWR-P01,LOOP-R_HIP_YAW-PWR,1,-57.500,-14.000,410.000,OFFSET FROM R_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_YAW-PWR-P02,LOOP-R_HIP_YAW-PWR,2,-57.500,14.000,410.000,OFFSET FROM R_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_YAW-DATA-P01,LOOP-R_HIP_YAW-DATA,1,-67.500,-10.000,410.000,OFFSET FROM R_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_YAW-DATA-P02,LOOP-R_HIP_YAW-DATA,2,-67.500,10.000,410.000,OFFSET FROM R_HIP_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_ROLL-PWR-P01,LOOP-R_HIP_ROLL-PWR,1,-57.500,-14.000,390.000,OFFSET FROM R_HIP_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_ROLL-PWR-P02,LOOP-R_HIP_ROLL-PWR,2,-57.500,14.000,390.000,OFFSET FROM R_HIP_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_ROLL-DATA-P01,LOOP-R_HIP_ROLL-DATA,1,-67.500,-10.000,390.000,OFFSET FROM R_HIP_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_ROLL-DATA-P02,LOOP-R_HIP_ROLL-DATA,2,-67.500,10.000,390.000,OFFSET FROM R_HIP_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_PITCH-PWR-P01,LOOP-R_HIP_PITCH-PWR,1,-57.500,-14.000,370.000,OFFSET FROM R_HIP_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_PITCH-PWR-P02,LOOP-R_HIP_PITCH-PWR,2,-57.500,14.000,370.000,OFFSET FROM R_HIP_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_PITCH-DATA-P01,LOOP-R_HIP_PITCH-DATA,1,-67.500,-10.000,370.000,OFFSET FROM R_HIP_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_HIP_PITCH-DATA-P02,LOOP-R_HIP_PITCH-DATA,2,-67.500,10.000,370.000,OFFSET FROM R_HIP_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_KNEE_PITCH-PWR-P01,LOOP-R_KNEE_PITCH-PWR,1,-57.500,-14.000,210.000,OFFSET FROM R_KNEE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_KNEE_PITCH-PWR-P02,LOOP-R_KNEE_PITCH-PWR,2,-57.500,14.000,210.000,OFFSET FROM R_KNEE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_KNEE_PITCH-DATA-P01,LOOP-R_KNEE_PITCH-DATA,1,-67.500,-10.000,210.000,OFFSET FROM R_KNEE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_KNEE_PITCH-DATA-P02,LOOP-R_KNEE_PITCH-DATA,2,-67.500,10.000,210.000,OFFSET FROM R_KNEE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ANKLE_PITCH-PWR-P01,LOOP-R_ANKLE_PITCH-PWR,1,-57.500,-14.000,55.000,OFFSET FROM R_ANKLE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ANKLE_PITCH-PWR-P02,LOOP-R_ANKLE_PITCH-PWR,2,-57.500,14.000,55.000,OFFSET FROM R_ANKLE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ANKLE_PITCH-DATA-P01,LOOP-R_ANKLE_PITCH-DATA,1,-67.500,-10.000,55.000,OFFSET FROM R_ANKLE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ANKLE_PITCH-DATA-P02,LOOP-R_ANKLE_PITCH-DATA,2,-67.500,10.000,55.000,OFFSET FROM R_ANKLE_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ANKLE_ROLL-PWR-P01,LOOP-R_ANKLE_ROLL-PWR,1,-57.500,-14.000,35.000,OFFSET FROM R_ANKLE_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ANKLE_ROLL-PWR-P02,LOOP-R_ANKLE_ROLL-PWR,2,-57.500,14.000,35.000,OFFSET FROM R_ANKLE_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ANKLE_ROLL-DATA-P01,LOOP-R_ANKLE_ROLL-DATA,1,-67.500,-10.000,35.000,OFFSET FROM R_ANKLE_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ANKLE_ROLL-DATA-P02,LOOP-R_ANKLE_ROLL-DATA,2,-67.500,10.000,35.000,OFFSET FROM R_ANKLE_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_SHOULDER_PITCH-PWR-P01,LOOP-L_SHOULDER_PITCH-PWR,1,110.000,-14.000,590.000,OFFSET FROM L_SHOULDER_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_SHOULDER_PITCH-PWR-P02,LOOP-L_SHOULDER_PITCH-PWR,2,110.000,14.000,590.000,OFFSET FROM L_SHOULDER_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_SHOULDER_PITCH-DATA-P01,LOOP-L_SHOULDER_PITCH-DATA,1,100.000,-10.000,590.000,OFFSET FROM L_SHOULDER_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_SHOULDER_PITCH-DATA-P02,LOOP-L_SHOULDER_PITCH-DATA,2,100.000,10.000,590.000,OFFSET FROM L_SHOULDER_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_SHOULDER_ROLL-PWR-P01,LOOP-L_SHOULDER_ROLL-PWR,1,110.000,-14.000,590.000,OFFSET FROM L_SHOULDER_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_SHOULDER_ROLL-PWR-P02,LOOP-L_SHOULDER_ROLL-PWR,2,110.000,14.000,590.000,OFFSET FROM L_SHOULDER_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_SHOULDER_ROLL-DATA-P01,LOOP-L_SHOULDER_ROLL-DATA,1,100.000,-10.000,590.000,OFFSET FROM L_SHOULDER_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_SHOULDER_ROLL-DATA-P02,LOOP-L_SHOULDER_ROLL-DATA,2,100.000,10.000,590.000,OFFSET FROM L_SHOULDER_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ELBOW_PITCH-PWR-P01,LOOP-L_ELBOW_PITCH-PWR,1,140.000,-14.000,440.000,OFFSET FROM L_ELBOW_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ELBOW_PITCH-PWR-P02,LOOP-L_ELBOW_PITCH-PWR,2,140.000,14.000,440.000,OFFSET FROM L_ELBOW_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ELBOW_PITCH-DATA-P01,LOOP-L_ELBOW_PITCH-DATA,1,130.000,-10.000,440.000,OFFSET FROM L_ELBOW_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_ELBOW_PITCH-DATA-P02,LOOP-L_ELBOW_PITCH-DATA,2,130.000,10.000,440.000,OFFSET FROM L_ELBOW_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_SHOULDER_PITCH-PWR-P01,LOOP-R_SHOULDER_PITCH-PWR,1,-100.000,-14.000,590.000,OFFSET FROM R_SHOULDER_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_SHOULDER_PITCH-PWR-P02,LOOP-R_SHOULDER_PITCH-PWR,2,-100.000,14.000,590.000,OFFSET FROM R_SHOULDER_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_SHOULDER_PITCH-DATA-P01,LOOP-R_SHOULDER_PITCH-DATA,1,-110.000,-10.000,590.000,OFFSET FROM R_SHOULDER_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_SHOULDER_PITCH-DATA-P02,LOOP-R_SHOULDER_PITCH-DATA,2,-110.000,10.000,590.000,OFFSET FROM R_SHOULDER_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_SHOULDER_ROLL-PWR-P01,LOOP-R_SHOULDER_ROLL-PWR,1,-100.000,-14.000,590.000,OFFSET FROM R_SHOULDER_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_SHOULDER_ROLL-PWR-P02,LOOP-R_SHOULDER_ROLL-PWR,2,-100.000,14.000,590.000,OFFSET FROM R_SHOULDER_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_SHOULDER_ROLL-DATA-P01,LOOP-R_SHOULDER_ROLL-DATA,1,-110.000,-10.000,590.000,OFFSET FROM R_SHOULDER_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_SHOULDER_ROLL-DATA-P02,LOOP-R_SHOULDER_ROLL-DATA,2,-110.000,10.000,590.000,OFFSET FROM R_SHOULDER_ROLL CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ELBOW_PITCH-PWR-P01,LOOP-R_ELBOW_PITCH-PWR,1,-130.000,-14.000,440.000,OFFSET FROM R_ELBOW_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ELBOW_PITCH-PWR-P02,LOOP-R_ELBOW_PITCH-PWR,2,-130.000,14.000,440.000,OFFSET FROM R_ELBOW_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ELBOW_PITCH-DATA-P01,LOOP-R_ELBOW_PITCH-DATA,1,-140.000,-10.000,440.000,OFFSET FROM R_ELBOW_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_ELBOW_PITCH-DATA-P02,LOOP-R_ELBOW_PITCH-DATA,2,-140.000,10.000,440.000,OFFSET FROM R_ELBOW_PITCH CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-WAIST_YAW-PWR-P01,LOOP-WAIST_YAW-PWR,1,5.000,-14.000,425.000,OFFSET FROM WAIST_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-WAIST_YAW-PWR-P02,LOOP-WAIST_YAW-PWR,2,5.000,14.000,425.000,OFFSET FROM WAIST_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-WAIST_YAW-DATA-P01,LOOP-WAIST_YAW-DATA,1,-5.000,-10.000,425.000,OFFSET FROM WAIST_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-WAIST_YAW-DATA-P02,LOOP-WAIST_YAW-DATA,2,-5.000,10.000,425.000,OFFSET FROM WAIST_YAW CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_WRIST_ROTATION-PWR-P01,LOOP-L_WRIST_ROTATION-PWR,1,145.000,-14.000,295.000,OFFSET FROM L_WRIST_ROTATION CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_WRIST_ROTATION-PWR-P02,LOOP-L_WRIST_ROTATION-PWR,2,145.000,14.000,295.000,OFFSET FROM L_WRIST_ROTATION CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_WRIST_ROTATION-DATA-P01,LOOP-L_WRIST_ROTATION-DATA,1,135.000,-10.000,295.000,OFFSET FROM L_WRIST_ROTATION CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_WRIST_ROTATION-DATA-P02,LOOP-L_WRIST_ROTATION-DATA,2,135.000,10.000,295.000,OFFSET FROM L_WRIST_ROTATION CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_GRIPPER-PWR-P01,LOOP-L_GRIPPER-PWR,1,145.000,-14.000,252.000,OFFSET FROM L_GRIPPER CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_GRIPPER-PWR-P02,LOOP-L_GRIPPER-PWR,2,145.000,14.000,252.000,OFFSET FROM L_GRIPPER CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_GRIPPER-DATA-P01,LOOP-L_GRIPPER-DATA,1,135.000,-10.000,252.000,OFFSET FROM L_GRIPPER CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-L_GRIPPER-DATA-P02,LOOP-L_GRIPPER-DATA,2,135.000,10.000,252.000,OFFSET FROM L_GRIPPER CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_WRIST_ROTATION-PWR-P01,LOOP-R_WRIST_ROTATION-PWR,1,-135.000,-14.000,295.000,OFFSET FROM R_WRIST_ROTATION CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_WRIST_ROTATION-PWR-P02,LOOP-R_WRIST_ROTATION-PWR,2,-135.000,14.000,295.000,OFFSET FROM R_WRIST_ROTATION CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_WRIST_ROTATION-DATA-P01,LOOP-R_WRIST_ROTATION-DATA,1,-145.000,-10.000,295.000,OFFSET FROM R_WRIST_ROTATION CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_WRIST_ROTATION-DATA-P02,LOOP-R_WRIST_ROTATION-DATA,2,-145.000,10.000,295.000,OFFSET FROM R_WRIST_ROTATION CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_GRIPPER-PWR-P01,LOOP-R_GRIPPER-PWR,1,-135.000,-14.000,252.000,OFFSET FROM R_GRIPPER CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_GRIPPER-PWR-P02,LOOP-R_GRIPPER-PWR,2,-135.000,14.000,252.000,OFFSET FROM R_GRIPPER CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_GRIPPER-DATA-P01,LOOP-R_GRIPPER-DATA,1,-145.000,-10.000,252.000,OFFSET FROM R_GRIPPER CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-R_GRIPPER-DATA-P02,LOOP-R_GRIPPER-DATA,2,-145.000,10.000,252.000,OFFSET FROM R_GRIPPER CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-HEAD_PAN-PWR-P01,LOOP-HEAD_PAN-PWR,1,5.000,-14.000,650.000,OFFSET FROM HEAD_PAN CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-HEAD_PAN-PWR-P02,LOOP-HEAD_PAN-PWR,2,5.000,14.000,650.000,OFFSET FROM HEAD_PAN CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-HEAD_PAN-DATA-P01,LOOP-HEAD_PAN-DATA,1,-5.000,-10.000,650.000,OFFSET FROM HEAD_PAN CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-HEAD_PAN-DATA-P02,LOOP-HEAD_PAN-DATA,2,-5.000,10.000,650.000,OFFSET FROM HEAD_PAN CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-HEAD_TILT-PWR-P01,LOOP-HEAD_TILT-PWR,1,5.000,-14.000,690.000,OFFSET FROM HEAD_TILT CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-HEAD_TILT-PWR-P02,LOOP-HEAD_TILT-PWR,2,5.000,14.000,690.000,OFFSET FROM HEAD_TILT CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-HEAD_TILT-DATA-P01,LOOP-HEAD_TILT-DATA,1,-5.000,-10.000,690.000,OFFSET FROM HEAD_TILT CANDIDATE AXIS DATUM,SELECTION REQUIRED
LOOP-HEAD_TILT-DATA-P02,LOOP-HEAD_TILT-DATA,2,-5.000,10.000,690.000,OFFSET FROM HEAD_TILT CANDIDATE AXIS DATUM,SELECTION REQUIRED
