retention_id,axis_id,power_loop,power_crossing_count,power_crossing_segments,data_loop,fixed_side_clamp,moving_side_clamp,connector_load_isolation,minimum_pull_test,abrasion_guard,inspection_access,validation
RET-L_SHOULDER_ROLL,L_SHOULDER_ROLL,LOOP-L_SHOULDER_ROLL-PWR,2,CROSS-L_SHOULDER_ROLL-AT-L_SHOULDER_PITCH-PWR; LOOP-L_SHOULDER_ROLL-PWR,LOOP-L_SHOULDER_ROLL-DATA,REQUIRED AT J-TR-DYN-L_SHOULDER_ROLL; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_ELBOW_PITCH,L_ELBOW_PITCH,LOOP-L_ELBOW_PITCH-PWR,3,CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_PITCH-PWR; CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_ROLL-PWR; LOOP-L_ELBOW_PITCH-PWR,LOOP-L_ELBOW_PITCH-DATA,REQUIRED AT J-TR-DYN-L_ELBOW_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_SHOULDER_PITCH,R_SHOULDER_PITCH,LOOP-R_SHOULDER_PITCH-PWR,1,LOOP-R_SHOULDER_PITCH-PWR,LOOP-R_SHOULDER_PITCH-DATA,REQUIRED AT J-TR-DYN-R_SHOULDER_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_SHOULDER_ROLL,R_SHOULDER_ROLL,LOOP-R_SHOULDER_ROLL-PWR,2,CROSS-R_SHOULDER_ROLL-AT-R_SHOULDER_PITCH-PWR; LOOP-R_SHOULDER_ROLL-PWR,LOOP-R_SHOULDER_ROLL-DATA,REQUIRED AT J-TR-DYN-R_SHOULDER_ROLL; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_ELBOW_PITCH,R_ELBOW_PITCH,LOOP-R_ELBOW_PITCH-PWR,3,CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_PITCH-PWR; CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_ROLL-PWR; LOOP-R_ELBOW_PITCH-PWR,LOOP-R_ELBOW_PITCH-DATA,REQUIRED AT J-TR-DYN-R_ELBOW_PITCH; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-WAIST_YAW,WAIST_YAW,LOOP-WAIST_YAW-PWR,1,LOOP-WAIST_YAW-PWR,LOOP-WAIST_YAW-DATA,REQUIRED AT J-TR-DYN-WAIST_YAW; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_WRIST_ROTATION,L_WRIST_ROTATION,LOOP-L_WRIST_ROTATION-PWR,4,CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_PITCH-PWR; CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_ROLL-PWR; CROSS-L_WRIST_ROTATION-AT-L_ELBOW_PITCH-PWR; LOOP-L_WRIST_ROTATION-PWR,LOOP-L_WRIST_ROTATION-DATA,REQUIRED AT J-TR-DYN-L_WRIST_ROTATION; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-L_GRIPPER,L_GRIPPER,LOOP-L_GRIPPER-PWR,5,CROSS-L_GRIPPER-AT-L_SHOULDER_PITCH-PWR; CROSS-L_GRIPPER-AT-L_SHOULDER_ROLL-PWR; CROSS-L_GRIPPER-AT-L_ELBOW_PITCH-PWR; CROSS-L_GRIPPER-AT-L_WRIST_ROTATION-PWR; LOOP-L_GRIPPER-PWR,LOOP-L_GRIPPER-DATA,REQUIRED AT J-TR-DYN-L_GRIPPER; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_WRIST_ROTATION,R_WRIST_ROTATION,LOOP-R_WRIST_ROTATION-PWR,4,CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_PITCH-PWR; CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_ROLL-PWR; CROSS-R_WRIST_ROTATION-AT-R_ELBOW_PITCH-PWR; LOOP-R_WRIST_ROTATION-PWR,LOOP-R_WRIST_ROTATION-DATA,REQUIRED AT J-TR-DYN-R_WRIST_ROTATION; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-R_GRIPPER,R_GRIPPER,LOOP-R_GRIPPER-PWR,5,CROSS-R_GRIPPER-AT-R_SHOULDER_PITCH-PWR; CROSS-R_GRIPPER-AT-R_SHOULDER_ROLL-PWR; CROSS-R_GRIPPER-AT-R_ELBOW_PITCH-PWR; CROSS-R_GRIPPER-AT-R_WRIST_ROTATION-PWR; LOOP-R_GRIPPER-PWR,LOOP-R_GRIPPER-DATA,REQUIRED AT J-TR-DYN-R_GRIPPER; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-HEAD_PAN,HEAD_PAN,LOOP-HEAD_PAN-PWR,1,LOOP-HEAD_PAN-PWR,LOOP-HEAD_PAN-DATA,REQUIRED AT J-TR-DYN-HEAD_PAN; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
RET-HEAD_TILT,HEAD_TILT,LOOP-HEAD_TILT-PWR,2,CROSS-HEAD_TILT-AT-HEAD_PAN-PWR; LOOP-HEAD_TILT-PWR,LOOP-HEAD_TILT-DATA,REQUIRED AT J-TR-DYN-HEAD_TILT; BRACKET/CLAMP SELECTION OPEN,SELECTION REQUIRED,MICRO-FIT PANEL TRANSITION AND PIGTAIL CLAMP REQUIRED TO ISOLATE JST EH FROM JOINT FLEX,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED
