axis_id,module_assembly,bus_id,segment_position,actuator_family,physical_power_corridor,physical_power_chain_position,axis_xyz_mm,axis_direction,power_trunk,power_loop,power_crossing_count,power_crossing_segments,data_trunk,data_loop,physical_range_sweep,authority
R_ANKLE_PITCH,HN-F02,RS-RLEG,5,XM430,HN01_R_LEG_POWER,5,"(-62.500,0.000,55.000)","(1,0,0)",HN01_R_LEG_POWER,LOOP-R_ANKLE_PITCH-PWR,5,CROSS-R_ANKLE_PITCH-AT-R_HIP_YAW-PWR; CROSS-R_ANKLE_PITCH-AT-R_HIP_ROLL-PWR; CROSS-R_ANKLE_PITCH-AT-R_HIP_PITCH-PWR; CROSS-R_ANKLE_PITCH-AT-R_KNEE_PITCH-PWR; LOOP-R_ANKLE_PITCH-PWR,HN01_R_LEG_DATA,LOOP-R_ANKLE_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_ANKLE_ROLL,HN-F02,RS-RLEG,6,XM430,HN01_R_LEG_POWER,6,"(-62.500,0.000,35.000)","(0,1,0)",HN01_R_LEG_POWER,LOOP-R_ANKLE_ROLL-PWR,6,CROSS-R_ANKLE_ROLL-AT-R_HIP_YAW-PWR; CROSS-R_ANKLE_ROLL-AT-R_HIP_ROLL-PWR; CROSS-R_ANKLE_ROLL-AT-R_HIP_PITCH-PWR; CROSS-R_ANKLE_ROLL-AT-R_KNEE_PITCH-PWR; CROSS-R_ANKLE_ROLL-AT-R_ANKLE_PITCH-PWR; LOOP-R_ANKLE_ROLL-PWR,HN01_R_LEG_DATA,LOOP-R_ANKLE_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_SHOULDER_PITCH,HN-A01,RS-LARM,1,XM430,HN01_L_ARM_POWER,1,"(90.000,0.000,590.000)","(1,0,0)",HN01_L_ARM_POWER,LOOP-L_SHOULDER_PITCH-PWR,1,LOOP-L_SHOULDER_PITCH-PWR,HN01_L_ARM_DATA,LOOP-L_SHOULDER_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_SHOULDER_ROLL,HN-A01,RS-LARM,2,XM430,HN01_L_ARM_POWER,2,"(90.000,0.000,590.000)","(0,1,0)",HN01_L_ARM_POWER,LOOP-L_SHOULDER_ROLL-PWR,2,CROSS-L_SHOULDER_ROLL-AT-L_SHOULDER_PITCH-PWR; LOOP-L_SHOULDER_ROLL-PWR,HN01_L_ARM_DATA,LOOP-L_SHOULDER_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_ELBOW_PITCH,HN-A01,RS-LARM,3,XM430,HN01_L_ARM_POWER,3,"(128.000,0.000,444.893)","(1,0,0)",HN01_L_ARM_POWER,LOOP-L_ELBOW_PITCH-PWR,3,CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_PITCH-PWR; CROSS-L_ELBOW_PITCH-AT-L_SHOULDER_ROLL-PWR; LOOP-L_ELBOW_PITCH-PWR,HN01_L_ARM_DATA,LOOP-L_ELBOW_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_SHOULDER_PITCH,HN-A02,RS-RARM,1,XM430,HN01_R_ARM_POWER,1,"(-90.000,0.000,590.000)","(1,0,0)",HN01_R_ARM_POWER,LOOP-R_SHOULDER_PITCH-PWR,1,LOOP-R_SHOULDER_PITCH-PWR,HN01_R_ARM_DATA,LOOP-R_SHOULDER_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_SHOULDER_ROLL,HN-A02,RS-RARM,2,XM430,HN01_R_ARM_POWER,2,"(-90.000,0.000,590.000)","(0,1,0)",HN01_R_ARM_POWER,LOOP-R_SHOULDER_ROLL-PWR,2,CROSS-R_SHOULDER_ROLL-AT-R_SHOULDER_PITCH-PWR; LOOP-R_SHOULDER_ROLL-PWR,HN01_R_ARM_DATA,LOOP-R_SHOULDER_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_ELBOW_PITCH,HN-A02,RS-RARM,3,XM430,HN01_R_ARM_POWER,3,"(-128.000,0.000,444.893)","(1,0,0)",HN01_R_ARM_POWER,LOOP-R_ELBOW_PITCH-PWR,3,CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_PITCH-PWR; CROSS-R_ELBOW_PITCH-AT-R_SHOULDER_ROLL-PWR; LOOP-R_ELBOW_PITCH-PWR,HN01_R_ARM_DATA,LOOP-R_ELBOW_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
WAIST_YAW,HN-P01,RS-WAIST,1,XM540,HN01_TORSO_POWER_SPINE,1,"(0.000,0.000,425.000)","(0,0,1)",HN01_TORSO_POWER_SPINE,LOOP-WAIST_YAW-PWR,1,LOOP-WAIST_YAW-PWR,HN01_TORSO_DATA_SPINE,LOOP-WAIST_YAW-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_WRIST_ROTATION,HN-A01,TTL-LDIST,1,XC330,HN01_L_ARM_POWER,4,"(133.000,0.000,299.979)","(0,0,1)",HN01_L_ARM_POWER,LOOP-L_WRIST_ROTATION-PWR,4,CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_PITCH-PWR; CROSS-L_WRIST_ROTATION-AT-L_SHOULDER_ROLL-PWR; CROSS-L_WRIST_ROTATION-AT-L_ELBOW_PITCH-PWR; LOOP-L_WRIST_ROTATION-PWR,HN01_L_ARM_DATA,LOOP-L_WRIST_ROTATION-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_GRIPPER,HN-G01,TTL-LDIST,2,XC330,HN01_L_ARM_POWER,5,"(133.000,0.000,256.979)","(1.0,0,0)",HN01_L_ARM_POWER,LOOP-L_GRIPPER-PWR,5,CROSS-L_GRIPPER-AT-L_SHOULDER_PITCH-PWR; CROSS-L_GRIPPER-AT-L_SHOULDER_ROLL-PWR; CROSS-L_GRIPPER-AT-L_ELBOW_PITCH-PWR; CROSS-L_GRIPPER-AT-L_WRIST_ROTATION-PWR; LOOP-L_GRIPPER-PWR,HN01_L_ARM_DATA,LOOP-L_GRIPPER-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_WRIST_ROTATION,HN-A02,TTL-RDIST,1,XC330,HN01_R_ARM_POWER,4,"(-133.000,0.000,299.979)","(0,0,1)",HN01_R_ARM_POWER,LOOP-R_WRIST_ROTATION-PWR,4,CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_PITCH-PWR; CROSS-R_WRIST_ROTATION-AT-R_SHOULDER_ROLL-PWR; CROSS-R_WRIST_ROTATION-AT-R_ELBOW_PITCH-PWR; LOOP-R_WRIST_ROTATION-PWR,HN01_R_ARM_DATA,LOOP-R_WRIST_ROTATION-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_GRIPPER,HN-G02,TTL-RDIST,2,XC330,HN01_R_ARM_POWER,5,"(-133.000,0.000,256.979)","(-1.0,0,0)",HN01_R_ARM_POWER,LOOP-R_GRIPPER-PWR,5,CROSS-R_GRIPPER-AT-R_SHOULDER_PITCH-PWR; CROSS-R_GRIPPER-AT-R_SHOULDER_ROLL-PWR; CROSS-R_GRIPPER-AT-R_ELBOW_PITCH-PWR; CROSS-R_GRIPPER-AT-R_WRIST_ROTATION-PWR; LOOP-R_GRIPPER-PWR,HN01_R_ARM_DATA,LOOP-R_GRIPPER-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HEAD_PAN,HN-NH01,TTL-HEAD,1,XC330,HN01_HEAD_POWER_BRANCH,1,"(0.000,0.000,650.000)","(0,0,1)",HN01_HEAD_POWER_BRANCH,LOOP-HEAD_PAN-PWR,1,LOOP-HEAD_PAN-PWR,HN01_HEAD_BRANCH,LOOP-HEAD_PAN-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HEAD_TILT,HN-NH01,TTL-HEAD,2,XC330,HN01_HEAD_POWER_BRANCH,2,"(0.000,0.000,690.000)","(1,0,0)",HN01_HEAD_POWER_BRANCH,LOOP-HEAD_TILT-PWR,2,CROSS-HEAD_TILT-AT-HEAD_PAN-PWR; LOOP-HEAD_TILT-PWR,HN01_HEAD_BRANCH,LOOP-HEAD_TILT-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
