transition_id,axis_id,power_loop,location_candidate,moving_cable,moving_connector,moving_housing_terminal,panel_connector,panel_housing_terminal,pigtail,load_path,unresolved,authority
TR-R_ANKLE_PITCH,R_ANKLE_PITCH,LOOP-R_ANKLE_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-R_ANKLE_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_ANKLE_PITCH,430250200 + 2 x 430300001,J-TR-PIG-R_ANKLE_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_ANKLE_ROLL,R_ANKLE_ROLL,LOOP-R_ANKLE_ROLL-PWR,FIXED-SIDE ROUTE POINT LOOP-R_ANKLE_ROLL-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_ANKLE_ROLL,430250200 + 2 x 430300001,J-TR-PIG-R_ANKLE_ROLL,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_SHOULDER_PITCH,L_SHOULDER_PITCH,LOOP-L_SHOULDER_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-L_SHOULDER_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_SHOULDER_PITCH,430250200 + 2 x 430300001,J-TR-PIG-L_SHOULDER_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_SHOULDER_ROLL,L_SHOULDER_ROLL,LOOP-L_SHOULDER_ROLL-PWR,FIXED-SIDE ROUTE POINT LOOP-L_SHOULDER_ROLL-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_SHOULDER_ROLL,430250200 + 2 x 430300001,J-TR-PIG-L_SHOULDER_ROLL,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_ELBOW_PITCH,L_ELBOW_PITCH,LOOP-L_ELBOW_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-L_ELBOW_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_ELBOW_PITCH,430250200 + 2 x 430300001,J-TR-PIG-L_ELBOW_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_SHOULDER_PITCH,R_SHOULDER_PITCH,LOOP-R_SHOULDER_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-R_SHOULDER_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_SHOULDER_PITCH,430250200 + 2 x 430300001,J-TR-PIG-R_SHOULDER_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_SHOULDER_ROLL,R_SHOULDER_ROLL,LOOP-R_SHOULDER_ROLL-PWR,FIXED-SIDE ROUTE POINT LOOP-R_SHOULDER_ROLL-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_SHOULDER_ROLL,430250200 + 2 x 430300001,J-TR-PIG-R_SHOULDER_ROLL,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_ELBOW_PITCH,R_ELBOW_PITCH,LOOP-R_ELBOW_PITCH-PWR,FIXED-SIDE ROUTE POINT LOOP-R_ELBOW_PITCH-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_ELBOW_PITCH,430250200 + 2 x 430300001,J-TR-PIG-R_ELBOW_PITCH,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-WAIST_YAW,WAIST_YAW,LOOP-WAIST_YAW-PWR,FIXED-SIDE ROUTE POINT LOOP-WAIST_YAW-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-WAIST_YAW,430250200 + 2 x 430300001,J-TR-PIG-WAIST_YAW,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_WRIST_ROTATION,L_WRIST_ROTATION,LOOP-L_WRIST_ROTATION-PWR,FIXED-SIDE ROUTE POINT LOOP-L_WRIST_ROTATION-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_WRIST_ROTATION,430250200 + 2 x 430300001,J-TR-PIG-L_WRIST_ROTATION,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-L_GRIPPER,L_GRIPPER,LOOP-L_GRIPPER-PWR,FIXED-SIDE ROUTE POINT LOOP-L_GRIPPER-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-L_GRIPPER,430250200 + 2 x 430300001,J-TR-PIG-L_GRIPPER,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_WRIST_ROTATION,R_WRIST_ROTATION,LOOP-R_WRIST_ROTATION-PWR,FIXED-SIDE ROUTE POINT LOOP-R_WRIST_ROTATION-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_WRIST_ROTATION,430250200 + 2 x 430300001,J-TR-PIG-R_WRIST_ROTATION,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-R_GRIPPER,R_GRIPPER,LOOP-R_GRIPPER-PWR,FIXED-SIDE ROUTE POINT LOOP-R_GRIPPER-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-R_GRIPPER,430250200 + 2 x 430300001,J-TR-PIG-R_GRIPPER,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-HEAD_PAN,HEAD_PAN,LOOP-HEAD_PAN-PWR,FIXED-SIDE ROUTE POINT LOOP-HEAD_PAN-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-HEAD_PAN,430250200 + 2 x 430300001,J-TR-PIG-HEAD_PAN,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TR-HEAD_TILT,HEAD_TILT,LOOP-HEAD_TILT-PWR,FIXED-SIDE ROUTE POINT LOOP-HEAD_TILT-PWR-P01; FINAL BRACKET XYZ/TOLERANCE OPEN,igus CF130.03.02.UL 2 x 22 AWG / 0.34 mm2,J-TR-DYN-HEAD_TILT,430250200 + 2 x 430300001,J-TR-PIG-HEAD_TILT,430200200 + 2 x 430310001,2 x Alpha Wire 3051 22 AWG TO JST EH POWER CAVITIES,PANEL-MOUNT BRACKET AND TWO-SIDED CABLE CLAMPS MUST PREVENT JOINT LOAD AT MICRO-FIT OR JST EH,CF130 CORE OD; BRACKET/FASTENERS; PIGTAIL LENGTH; CRIMP; CURRENT DERATING; PULL/TEMPERATURE/FLEX TESTS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
