core_id,axis_id,from_connector_contact,to_connector_contact,net,service,route,conductor_cross_section,insulation_temperature_flex,shield_or_twist,cut_length_and_slack,authority
CORE-L_HIP_ROLL-DATAP,L_HIP_ROLL,J-OUT-L_HIP_YAW/DATA+,J-ACT-L_HIP_ROLL/3,RS-LLEG_DATA+,DATA,LOOP-L_HIP_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_ROLL-DATAN,L_HIP_ROLL,J-OUT-L_HIP_YAW/DATA-,J-ACT-L_HIP_ROLL/4,RS-LLEG_DATA-,DATA,LOOP-L_HIP_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_PITCH-GND-PIGTAIL,L_HIP_PITCH,J-TR-PIG-L_HIP_PITCH/1,J-ACT-L_HIP_PITCH/1,RS-LLEG_RET,POWER RETURN,LOOP-L_HIP_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_PITCH-GND-DYNAMIC,L_HIP_PITCH,J-WPS-RS-LLEG-OUT-3/1,J-TR-DYN-L_HIP_PITCH/1,RS-LLEG_RET,POWER RETURN,CROSS-L_HIP_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_HIP_PITCH-AT-L_HIP_ROLL-PWR; LOOP-L_HIP_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 241.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_PITCH-VDD-PIGTAIL,L_HIP_PITCH,J-TR-PIG-L_HIP_PITCH/2,J-ACT-L_HIP_PITCH/2,L_HIP_PITCH_VDD,ACTUATOR POWER,LOOP-L_HIP_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_PITCH-VDD-DYNAMIC,L_HIP_PITCH,J-WPS-RS-LLEG-OUT-3/2,J-TR-DYN-L_HIP_PITCH/2,L_HIP_PITCH_VDD,ACTUATOR POWER,CROSS-L_HIP_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_HIP_PITCH-AT-L_HIP_ROLL-PWR; LOOP-L_HIP_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 241.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_PITCH-DATAP,L_HIP_PITCH,J-OUT-L_HIP_ROLL/DATA+,J-ACT-L_HIP_PITCH/3,RS-LLEG_DATA+,DATA,LOOP-L_HIP_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_HIP_PITCH-DATAN,L_HIP_PITCH,J-OUT-L_HIP_ROLL/DATA-,J-ACT-L_HIP_PITCH/4,RS-LLEG_DATA-,DATA,LOOP-L_HIP_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_KNEE_PITCH-GND-PIGTAIL,L_KNEE_PITCH,J-TR-PIG-L_KNEE_PITCH/1,J-ACT-L_KNEE_PITCH/1,RS-LLEG_RET,POWER RETURN,LOOP-L_KNEE_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_KNEE_PITCH-GND-DYNAMIC,L_KNEE_PITCH,J-WPS-RS-LLEG-OUT-4/1,J-TR-DYN-L_KNEE_PITCH/1,RS-LLEG_RET,POWER RETURN,CROSS-L_KNEE_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_KNEE_PITCH-AT-L_HIP_ROLL-PWR; CROSS-L_KNEE_PITCH-AT-L_HIP_PITCH-PWR; LOOP-L_KNEE_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 429.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_KNEE_PITCH-VDD-PIGTAIL,L_KNEE_PITCH,J-TR-PIG-L_KNEE_PITCH/2,J-ACT-L_KNEE_PITCH/2,L_KNEE_PITCH_VDD,ACTUATOR POWER,LOOP-L_KNEE_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_KNEE_PITCH-VDD-DYNAMIC,L_KNEE_PITCH,J-WPS-RS-LLEG-OUT-4/2,J-TR-DYN-L_KNEE_PITCH/2,L_KNEE_PITCH_VDD,ACTUATOR POWER,CROSS-L_KNEE_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_KNEE_PITCH-AT-L_HIP_ROLL-PWR; CROSS-L_KNEE_PITCH-AT-L_HIP_PITCH-PWR; LOOP-L_KNEE_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 429.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_KNEE_PITCH-DATAP,L_KNEE_PITCH,J-OUT-L_HIP_PITCH/DATA+,J-ACT-L_KNEE_PITCH/3,RS-LLEG_DATA+,DATA,LOOP-L_KNEE_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 180.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_KNEE_PITCH-DATAN,L_KNEE_PITCH,J-OUT-L_HIP_PITCH/DATA-,J-ACT-L_KNEE_PITCH/4,RS-LLEG_DATA-,DATA,LOOP-L_KNEE_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 180.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_PITCH-GND-PIGTAIL,L_ANKLE_PITCH,J-TR-PIG-L_ANKLE_PITCH/1,J-ACT-L_ANKLE_PITCH/1,RS-LLEG_RET,POWER RETURN,LOOP-L_ANKLE_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_PITCH-GND-DYNAMIC,L_ANKLE_PITCH,J-WPS-RS-LLEG-OUT-5/1,J-TR-DYN-L_ANKLE_PITCH/1,RS-LLEG_RET,POWER RETURN,CROSS-L_ANKLE_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_ANKLE_PITCH-AT-L_HIP_ROLL-PWR; CROSS-L_ANKLE_PITCH-AT-L_HIP_PITCH-PWR; CROSS-L_ANKLE_PITCH-AT-L_KNEE_PITCH-PWR; LOOP-L_ANKLE_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 612.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_PITCH-VDD-PIGTAIL,L_ANKLE_PITCH,J-TR-PIG-L_ANKLE_PITCH/2,J-ACT-L_ANKLE_PITCH/2,L_ANKLE_PITCH_VDD,ACTUATOR POWER,LOOP-L_ANKLE_PITCH-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_PITCH-VDD-DYNAMIC,L_ANKLE_PITCH,J-WPS-RS-LLEG-OUT-5/2,J-TR-DYN-L_ANKLE_PITCH/2,L_ANKLE_PITCH_VDD,ACTUATOR POWER,CROSS-L_ANKLE_PITCH-AT-L_HIP_YAW-PWR; CROSS-L_ANKLE_PITCH-AT-L_HIP_ROLL-PWR; CROSS-L_ANKLE_PITCH-AT-L_HIP_PITCH-PWR; CROSS-L_ANKLE_PITCH-AT-L_KNEE_PITCH-PWR; LOOP-L_ANKLE_PITCH-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 612.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_PITCH-DATAP,L_ANKLE_PITCH,J-OUT-L_KNEE_PITCH/DATA+,J-ACT-L_ANKLE_PITCH/3,RS-LLEG_DATA+,DATA,LOOP-L_ANKLE_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 175.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_PITCH-DATAN,L_ANKLE_PITCH,J-OUT-L_KNEE_PITCH/DATA-,J-ACT-L_ANKLE_PITCH/4,RS-LLEG_DATA-,DATA,LOOP-L_ANKLE_PITCH-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 175.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_ROLL-GND-PIGTAIL,L_ANKLE_ROLL,J-TR-PIG-L_ANKLE_ROLL/1,J-ACT-L_ANKLE_ROLL/1,RS-LLEG_RET,POWER RETURN,LOOP-L_ANKLE_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_ROLL-GND-DYNAMIC,L_ANKLE_ROLL,J-WPS-RS-LLEG-OUT-6/1,J-TR-DYN-L_ANKLE_ROLL/1,RS-LLEG_RET,POWER RETURN,CROSS-L_ANKLE_ROLL-AT-L_HIP_YAW-PWR; CROSS-L_ANKLE_ROLL-AT-L_HIP_ROLL-PWR; CROSS-L_ANKLE_ROLL-AT-L_HIP_PITCH-PWR; CROSS-L_ANKLE_ROLL-AT-L_KNEE_PITCH-PWR; CROSS-L_ANKLE_ROLL-AT-L_ANKLE_PITCH-PWR; LOOP-L_ANKLE_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 660.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_ROLL-VDD-PIGTAIL,L_ANKLE_ROLL,J-TR-PIG-L_ANKLE_ROLL/2,J-ACT-L_ANKLE_ROLL/2,L_ANKLE_ROLL_VDD,ACTUATOR POWER,LOOP-L_ANKLE_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_ROLL-VDD-DYNAMIC,L_ANKLE_ROLL,J-WPS-RS-LLEG-OUT-6/2,J-TR-DYN-L_ANKLE_ROLL/2,L_ANKLE_ROLL_VDD,ACTUATOR POWER,CROSS-L_ANKLE_ROLL-AT-L_HIP_YAW-PWR; CROSS-L_ANKLE_ROLL-AT-L_HIP_ROLL-PWR; CROSS-L_ANKLE_ROLL-AT-L_HIP_PITCH-PWR; CROSS-L_ANKLE_ROLL-AT-L_KNEE_PITCH-PWR; CROSS-L_ANKLE_ROLL-AT-L_ANKLE_PITCH-PWR; LOOP-L_ANKLE_ROLL-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 660.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_ROLL-DATAP,L_ANKLE_ROLL,J-OUT-L_ANKLE_PITCH/DATA+,J-ACT-L_ANKLE_ROLL/3,RS-LLEG_DATA+,DATA,LOOP-L_ANKLE_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-L_ANKLE_ROLL-DATAN,L_ANKLE_ROLL,J-OUT-L_ANKLE_PITCH/DATA-,J-ACT-L_ANKLE_ROLL/4,RS-LLEG_DATA-,DATA,LOOP-L_ANKLE_ROLL-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 40.000 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_YAW-GND-PIGTAIL,R_HIP_YAW,J-TR-PIG-R_HIP_YAW/1,J-ACT-R_HIP_YAW/1,RS-RLEG_RET,POWER RETURN,LOOP-R_HIP_YAW-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_YAW-GND-DYNAMIC,R_HIP_YAW,J-WPS-RS-RLEG-OUT-1/1,J-TR-DYN-R_HIP_YAW/1,RS-RLEG_RET,POWER RETURN,LOOP-R_HIP_YAW-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 145.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_YAW-VDD-PIGTAIL,R_HIP_YAW,J-TR-PIG-R_HIP_YAW/2,J-ACT-R_HIP_YAW/2,R_HIP_YAW_VDD,ACTUATOR POWER,LOOP-R_HIP_YAW-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_YAW-VDD-DYNAMIC,R_HIP_YAW,J-WPS-RS-RLEG-OUT-1/2,J-TR-DYN-R_HIP_YAW/2,R_HIP_YAW_VDD,ACTUATOR POWER,LOOP-R_HIP_YAW-PWR,igus CF130.03.02.UL 22 AWG / 0.34 mm2 CANDIDATE,MEDIUM-DUTY MOVING CABLE; PUBLISHED CONDITIONS AND ROUTE-SPECIFIC QUALIFICATION APPLY,UNSHIELDED TWO-CONDUCTOR POWER PAIR,PLANNING 145.546 mm TO FIXED TRANSITION; FINAL CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_YAW-DATAP,R_HIP_YAW,CB-RS-RLEG/DATA+,J-ACT-R_HIP_YAW/3,RS-RLEG_DATA+,DATA,LOOP-R_HIP_YAW-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 39.209 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_YAW-DATAN,R_HIP_YAW,CB-RS-RLEG/DATA-,J-ACT-R_HIP_YAW/4,RS-RLEG_DATA-,DATA,LOOP-R_HIP_YAW-DATA,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PLANNING 39.209 mm; CUT LENGTH/SLACK OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CORE-R_HIP_ROLL-GND-PIGTAIL,R_HIP_ROLL,J-TR-PIG-R_HIP_ROLL/1,J-ACT-R_HIP_ROLL/1,RS-RLEG_RET,POWER RETURN,LOOP-R_HIP_ROLL-PWR,Alpha Wire 3051 22 AWG FIXED PIGTAIL CANDIDATE,STATIC/RESTRAINED; MUST NOT SEE JOINT FLEX,SELECTION REQUIRED,MODULE CAD PIGTAIL LENGTH/CLAMP PATH SELECTION REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
