operation_id,assembly_step,parallel_group,module_id,operation_kind,title,instruction,required_input,completion_evidence,authority,warning
L01-OP01,2,A,L01,KIT,Inventory and identify,"Verify the 14 fabrication files, 6 axis allocations, 3 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row L01; L01/L01_fabrication_candidate.step; L01/L01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-OP02,2,A,L01,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the L01 fabrication STEP: L01_SHIN_FRONT_COVER; L01_SHIN_REAR_COVER; L01_SHIN_SIDE_FRONT; L01_SHIN_SIDE_REAR; L01_SHIN_TIE_Z135; L01_SHIN_TIE_Z183; L01_SHIN_TIE_Z72; L01_THIGH_FRONT_COVER; L01_THIGH_REAR_COVER; L01_THIGH_SIDE_FRONT; L01_THIGH_SIDE_REAR; L01_THIGH_TIE_Z235; L01_THIGH_TIE_Z300; L01_THIGH_TIE_Z355. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row L01; L01/L01_fabrication_candidate.step; L01/L01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-OP03,2,A,L01,JOINT,Install joint modules unpowered,"Install and manually articulate: L_ANKLE_PITCH; L_ANKLE_ROLL; L_HIP_PITCH; L_HIP_ROLL; L_HIP_YAW; L_KNEE_PITCH. The 44 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row L01; L01/L01_fabrication_candidate.step; L01/L01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-OP04,2,A,L01,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-FST-LEFT-LEG; EQ-HN01_L_LEG_DATA; EQ-HN01_L_LEG_POWER. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row L01; L01/L01_fabrication_candidate.step; L01/L01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-OP05,2,A,L01,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-L01. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row L01; L01/L01_fabrication_candidate.step; L01/L01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-OP06,2,A,L01,JOIN,Join to prerequisite module,"Join L01 only after prerequisite F01 is complete. Use datum L_HIP_PITCH @ (62.5, 0, 380) mm; upstream: P01 left hip stack; downstream: F01 sole carrier at L_ANKLE_ROLL.",module-kit-register.csv row L01; L01/L01_fabrication_candidate.step; L01/L01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-OP01,2,B,L02,KIT,Inventory and identify,"Verify the 14 fabrication files, 6 axis allocations, 3 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row L02; L02/L02_fabrication_candidate.step; L02/L02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-OP02,2,B,L02,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the L02 fabrication STEP: L02_SHIN_FRONT_COVER; L02_SHIN_REAR_COVER; L02_SHIN_SIDE_FRONT; L02_SHIN_SIDE_REAR; L02_SHIN_TIE_Z135; L02_SHIN_TIE_Z183; L02_SHIN_TIE_Z72; L02_THIGH_FRONT_COVER; L02_THIGH_REAR_COVER; L02_THIGH_SIDE_FRONT; L02_THIGH_SIDE_REAR; L02_THIGH_TIE_Z235; L02_THIGH_TIE_Z300; L02_THIGH_TIE_Z355. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row L02; L02/L02_fabrication_candidate.step; L02/L02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-OP03,2,B,L02,JOINT,Install joint modules unpowered,"Install and manually articulate: R_ANKLE_PITCH; R_ANKLE_ROLL; R_HIP_PITCH; R_HIP_ROLL; R_HIP_YAW; R_KNEE_PITCH. The 44 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row L02; L02/L02_fabrication_candidate.step; L02/L02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-OP04,2,B,L02,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-FST-RIGHT-LEG; EQ-HN01_R_LEG_DATA; EQ-HN01_R_LEG_POWER. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row L02; L02/L02_fabrication_candidate.step; L02/L02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-OP05,2,B,L02,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-L02. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row L02; L02/L02_fabrication_candidate.step; L02/L02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-OP06,2,B,L02,JOIN,Join to prerequisite module,"Join L02 only after prerequisite F02 is complete. Use datum R_HIP_PITCH @ (-62.5, 0, 380) mm; upstream: P01 right hip stack; downstream: F02 sole carrier at R_ANKLE_ROLL.",module-kit-register.csv row L02; L02/L02_fabrication_candidate.step; L02/L02_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-OP01,3,A,P01,KIT,Inventory and identify,"Verify the 6 fabrication files, 1 axis allocations, 5 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row P01; P01/P01_fabrication_candidate.step; P01/P01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-OP02,3,A,P01,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the P01 fabrication STEP: P01_PELVIS_FRONT_COVER; P01_PELVIS_PLATE_FRONT; P01_PELVIS_PLATE_REAR; P01_PELVIS_REAR_COVER; P01_RESTRAINT_BRIDGE; P01_WAIST_BRIDGE. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row P01; P01/P01_fabrication_candidate.step; P01/P01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-OP03,3,A,P01,JOINT,Install joint modules unpowered,"Install and manually articulate: WAIST_YAW. The 4 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row P01; P01/P01_fabrication_candidate.step; P01/P01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-OP04,3,A,P01,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-P01-AUX-CONVERTER; EQ-P01-IMU; EQ-P01-PDU; EQ-P01-RESTRAINT-ANCHOR; EQ-P01-TETHER-INLET. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row P01; P01/P01_fabrication_candidate.step; P01/P01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-OP05,3,A,P01,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-P01. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row P01; P01/P01_fabrication_candidate.step; P01/P01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-OP06,3,A,P01,JOIN,Join to prerequisite module,Join P01 only after prerequisite L01; L02 is complete. Use datum PELVIS / WAIST datum @ Z=425 mm; upstream: L01/L02 hip-yaw modules and external fall-restraint system; downstream: T01 waist output.,module-kit-register.csv row P01; P01/P01_fabrication_candidate.step; P01/P01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-OP01,4,A,T01,KIT,Inventory and identify,"Verify the 5 fabrication files, 0 axis allocations, 13 equipment items and 4 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row T01; T01/T01_fabrication_candidate.step; T01/T01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-OP02,4,A,T01,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the T01 fabrication STEP: T01_SHOULDER_CROSS_TUBE; T01_TORSO_FRONT_COVER; T01_TORSO_RAIL_L; T01_TORSO_RAIL_R; T01_TORSO_REAR_COVER. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row T01; T01/T01_fabrication_candidate.step; T01/T01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-OP03,4,A,T01,JOINT,Install joint modules unpowered,"Install and manually articulate: NONE. The 0 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row T01; T01/T01_fabrication_candidate.step; T01/T01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-OP04,4,A,T01,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: EQ-FST-CENTRAL; EQ-HN01_TORSO_DATA_SPINE; EQ-HN01_TORSO_POWER_SPINE; EQ-P01-DUAL-INTERRUPT; EQ-T01-BATTERY-CASSETTE; EQ-T01-BATTERY-PACK; EQ-T01-BATTERY-PROTECTION; EQ-T01-BUS-CARRIER-A; EQ-T01-BUS-CARRIER-B; EQ-T01-MOTION; EQ-T01-PI5; EQ-T01-PI5-COOLER; EQ-T01-WATCHDOG. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row T01; T01/T01_fabrication_candidate.step; T01/T01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-OP05,4,A,T01,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-C01; HN-E01; HN-S01; HN-X01. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row T01; T01/T01_fabrication_candidate.step; T01/T01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-OP06,4,A,T01,JOIN,Join to prerequisite module,"Join T01 only after prerequisite P01 is complete. Use datum WAIST_YAW @ (0, 0, 425) mm; upstream: P01 waist bearing/output interface; downstream: N01 neck and A01/A02 shoulder interfaces.",module-kit-register.csv row T01; T01/T01_fabrication_candidate.step; T01/T01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-OP01,5,A,N01,KIT,Inventory and identify,"Verify the 1 fabrication files, 2 axis allocations, 0 equipment items and 1 harness assemblies listed in the module kit; quarantine any identity or revision mismatch.",module-kit-register.csv row N01; N01/N01_fabrication_candidate.step; N01/N01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-OP02,5,A,N01,FRAME,Build the unpowered structure,"Assemble only these fabrication candidates to the N01 fabrication STEP: N01_NECK_TUBE. Do not drill, tap or substitute from envelope dimensions.",module-kit-register.csv row N01; N01/N01_fabrication_candidate.step; N01/N01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-OP03,5,A,N01,JOINT,Install joint modules unpowered,"Install and manually articulate: HEAD_PAN; HEAD_TILT. The 8 located joint screws are geometry candidates only; exact product, torque, preload and locking remain SELECTION REQUIRED.",module-kit-register.csv row N01; N01/N01_fabrication_candidate.step; N01/N01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-OP04,5,A,N01,EQUIPMENT,Locate equipment and service access,"Locate these registered items without connecting power: NONE. Preserve the registered mounting planes, service directions and connector boundaries.",module-kit-register.csv row N01; N01/N01_fabrication_candidate.step; N01/N01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-OP05,5,A,N01,HARNESS,Fit stationary routes and moving loops,"Fit these controlled harness assemblies with all conductors unselected and disconnected: HN-NH01. Verify bend, sweep, retention and cover clearance manually.",module-kit-register.csv row N01; N01/N01_fabrication_candidate.step; N01/N01_integration_reference.step,SIGNED PHYSICAL TRAVELER REQUIRED - NOT EXECUTED,UNPOWERED FIT-UP ONLY AFTER SEPARATE FABRICATION RELEASE,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
