checkpoint_id,module_id,checkpoint_kind,criterion,result,record_required,blocks_next_step_if_open,warning
L01-CP03,L01,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-CP04,L01,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-CP05,L01,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01-CP06,L01,MASS,Measured module mass and local balance are recorded against the 2.420570 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-CP01,L02,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-CP02,L02,DATUM,"Module is located from R_HIP_PITCH @ (-62.5, 0, 380) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-CP03,L02,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-CP04,L02,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-CP05,L02,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02-CP06,L02,MASS,Measured module mass and local balance are recorded against the 2.420570 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-CP01,P01,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-CP02,P01,DATUM,Module is located from PELVIS / WAIST datum @ Z=425 mm; no envelope-only drilling or shimming.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-CP03,P01,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-CP04,P01,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-CP05,P01,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
P01-CP06,P01,MASS,Measured module mass and local balance are recorded against the 1.511925 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-CP01,T01,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-CP02,T01,DATUM,"Module is located from WAIST_YAW @ (0, 0, 425) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-CP03,T01,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-CP04,T01,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-CP05,T01,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01-CP06,T01,MASS,Measured module mass and local balance are recorded against the 2.437810 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-CP01,N01,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-CP02,N01,DATUM,"Module is located from HEAD_PAN @ (0, 0, 650) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-CP03,N01,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-CP04,N01,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-CP05,N01,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
N01-CP06,N01,MASS,Measured module mass and local balance are recorded against the 0.121151 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-CP01,H01,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-CP02,H01,DATUM,"Module is located from HEAD_TILT @ (0, 0, 690) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-CP03,H01,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-CP04,H01,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-CP05,H01,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
H01-CP06,H01,MASS,Measured module mass and local balance are recorded against the 0.431016 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-CP01,A01,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-CP02,A01,DATUM,"Module is located from L_SHOULDER pair @ (105, 0, 590) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-CP03,A01,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-CP04,A01,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-CP05,A01,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01-CP06,A01,MASS,Measured module mass and local balance are recorded against the 0.877071 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-CP01,A02,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-CP02,A02,DATUM,"Module is located from R_SHOULDER pair @ (-105, 0, 590) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-CP03,A02,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-CP04,A02,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-CP05,A02,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A02-CP06,A02,MASS,Measured module mass and local balance are recorded against the 0.877071 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-CP01,G01,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-CP02,G01,DATUM,"Module is located from L_GRIPPER @ (140, 0, 252) mm; no envelope-only drilling or shimming.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-CP03,G01,MANUAL_MOTION,"Every installed joint moves manually through the intended candidate range with no hard interference, cable snag or cover contact.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-CP04,G01,FASTENERS,"Every installed fastener is present and witness-marked only after an exact product, torque and locking instruction is released.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-CP05,G01,HARNESS,"All fitted routes retain service loops, bend clearance, strain relief and connector keying; conductors remain disconnected.",NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01-CP06,G01,MASS,Measured module mass and local balance are recorded against the 0.179531 kg planning allocation.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G02-CP01,G02,IDENTITY,All listed part/equipment/axis/harness identities and revisions match the controlled kit.,NOT EXECUTED,"AS-BUILT SERIAL/REVISION, INSPECTOR, DATE, RESULT AND DEVIATION",YES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
