source_id,publisher,document,revision_or_date,official_url_or_path,sha256,verified_scope,execution_state,authority,warning
ACC-S09,igus,chainflex CF9.UL product page,live page; accessed 2026-08-16,https://www.igus.com/product/CF9_UL,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,CF9.UL.02.02 is 2 x 0.25 mm2 / 24 AWG TPE continuous-flex/torsion candidate,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S10,igus,chainflex CF9.UL data sheet,current official PDF; accessed 2026-08-16; visible footer 2014,https://www.igus.com/contentData/Product_Files/Download/pdf/CF9-UL_en.pdf,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,construction and published 5xd normal-temperature minimum bend radius; route-specific validation still required,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S11,Alpha Wire,3051 customer specification,current official specification; accessed 2026-08-17,https://www.alphawire.com/disteAPI/SpecPDF/DownloadProductSpecPdf?productPartNumber=3051,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,22 AWG 7/30 tinned-copper static commissioning-lead candidate; 1.575 +/- 0.051 mm insulation OD,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S12,igus,chainflex CF130-UL product page,live official product page; accessed 2026-08-17,https://www.igus.com/product/CF130_UL,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,CF130.03.02.UL is a 2 x 22 AWG / 0.34 mm2 medium-duty moving-cable candidate,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S13,Molex,Micro-Fit 3.0 series 43025 housing chart,live official page; accessed 2026-08-17,https://www.molex.com/en-us/products/series-chart/43025,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,430250200 two-circuit polarized locking receptacle housing,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S14,Molex,Micro-Fit 3.0 series 43020 housing chart,live official page; accessed 2026-08-17,https://www.molex.com/en-us/products/series-chart/43020,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,430200200 two-circuit polarized locking plug housing with panel-mount ears,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S15,Molex,Micro-Fit 3.0 series 43030 terminal chart,live official page; accessed 2026-08-17,https://www.molex.com/en-us/products/series-chart/43030,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,430300001 female terminal; 24-20 AWG; 1.85 mm maximum insulation diameter,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S16,Molex,Micro-Fit 3.0 series 43031 terminal chart,live official page; accessed 2026-08-17,https://www.molex.com/en-us/products/series-chart/43031,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,430310001 male terminal; 24-20 AWG; 1.85 mm maximum insulation diameter,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S17,Molex,Micro-Fit 3.0 product specification PS-43045,revision R; 2025-11-14,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/productspecificationpdf/430/43045/PS-43045-001.pdf,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,wire-to-wire family relationships and application-specific qualification boundary,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-S18,Molex,Micro-Fit 3.0 application specification 430450001-AS,revision A1; approved 2025-11-21,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/applicationspecificationspdf/430/43045/430450001-AS-000.pdf,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,crimp/application guidance for standard Micro-Fit families,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
