item_id,dynamic_link,removed_planning_mass_kg,reason,warning
JHW-JMOD_L_HIP_ROLL_MOTOR_PULLEY,L_hip_roll_link,0.014306269,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_PITCH_OUTPUT_SHAFT,L_thigh,0.014477348,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_PITCH_BEARING_A_RING,L_thigh,0.010000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_PITCH_INTERFACE_PLATE_A,L_thigh,0.037033128,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_PITCH_BEARING_B_RING,L_thigh,0.010000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_PITCH_INTERFACE_PLATE_B,L_thigh,0.037033128,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_PITCH_OUTPUT_PULLEY,L_thigh,0.027163764,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_L_HIP_PITCH_MOTOR_PULLEY,L_thigh,0.014306269,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_ROLL_OUTPUT_SHAFT,R_hip_roll_link,0.014477348,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_ROLL_BEARING_A_RING,R_hip_roll_link,0.010000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_ROLL_INTERFACE_PLATE_A,R_hip_roll_link,0.035093504,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_ROLL_BEARING_B_RING,R_hip_roll_link,0.010000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_ROLL_INTERFACE_PLATE_B,R_hip_roll_link,0.035093504,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_ROLL_OUTPUT_PULLEY,R_hip_roll_link,0.044593225,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_ROLL_MOTOR_PULLEY,R_hip_roll_link,0.014306269,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_PITCH_OUTPUT_SHAFT,R_thigh,0.014477348,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_PITCH_BEARING_A_RING,R_thigh,0.010000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_PITCH_INTERFACE_PLATE_A,R_thigh,0.037033128,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_PITCH_BEARING_B_RING,R_thigh,0.010000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_PITCH_INTERFACE_PLATE_B,R_thigh,0.037033128,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_PITCH_OUTPUT_PULLEY,R_thigh,0.027163764,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JHW-JMOD_R_HIP_PITCH_MOTOR_PULLEY,R_thigh,0.014306269,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_ROLL-A-1,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_ROLL-A-2,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_ROLL-A-3,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_ROLL-A-4,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_ROLL-B-1,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_ROLL-B-2,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_ROLL-B-3,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_ROLL-B-4,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_PITCH-A-1,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_PITCH-A-2,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_PITCH-A-3,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_PITCH-A-4,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_PITCH-B-1,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_PITCH-B-2,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_PITCH-B-3,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-L_HIP_PITCH-B-4,L_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_ROLL-A-1,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_ROLL-A-2,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_ROLL-A-3,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_ROLL-A-4,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_ROLL-B-1,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_ROLL-B-2,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_ROLL-B-3,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_ROLL-B-4,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_PITCH-A-1,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_PITCH-A-2,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_PITCH-A-3,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_PITCH-A-4,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_PITCH-B-1,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_PITCH-B-2,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_PITCH-B-3,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
JF-R_HIP_PITCH-B-4,R_thigh,0.004693392,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
BELT-L_HIP_ROLL,L_hip_roll_link,0.015000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
BELT-L_HIP_PITCH,L_thigh,0.014000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
BELT-R_HIP_ROLL,R_hip_roll_link,0.015000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
BELT-R_HIP_PITCH,R_thigh,0.014000000,SUPERSEDED BY COMPLETE SINGLE-STAGE HIP PACKAGE,"PRELIMINARY - LIGHTWEIGHT WHOLE-BODY HIP CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
