sheet,reference,terminal,pin_name,net,status
04_touch_safe_tether.kicad_sch,XT1A,P2,PROJECT-ASSIGNED DC RETURN,RAW_0V,HOUSING/6 AWG CONTACT FAMILY VERIFIED - HARNESS OPEN
04_touch_safe_tether.kicad_sch,XT1B,P1,PROJECT-ASSIGNED CONTROLLED +12 V,ROBOT_MAIN_POS,PROJECT CONTACT ASSIGNMENT - PHYSICAL VERIFICATION REQUIRED
04_touch_safe_tether.kicad_sch,XT1B,G,PRE-MATE ROBOT FRAME REFERENCE,ROBOT_FRAME_BOUNDARY,PROJECT CONTACT ASSIGNMENT - PHYSICAL VERIFICATION REQUIRED
04_touch_safe_tether.kicad_sch,XT1B,P2,PROJECT-ASSIGNED CONTROLLED RETURN,ROBOT_MAIN_RET,PROJECT CONTACT ASSIGNMENT - PHYSICAL VERIFICATION REQUIRED
05_robot_five_branch_distribution.kicad_sch,FM0,IN,ROBOT INLET POSITIVE,ROBOT_MAIN_POS,HOLDER SELECTED - FUSE VALUE SELECTION REQUIRED
05_robot_five_branch_distribution.kicad_sch,FM0,OUT,MAIN DISTRIBUTION BUS,ROBOT_FUSED_POS,HOLDER SELECTED - FUSE VALUE SELECTION REQUIRED
05_robot_five_branch_distribution.kicad_sch,RB0,RET-IN,TETHER RETURN,ROBOT_MAIN_RET,SELECTION REQUIRED
05_robot_five_branch_distribution.kicad_sch,RB0,RET-BUS,CONTROLLED RETURN BUS,PDU_COMMON_RET,SELECTION REQUIRED
05_robot_five_branch_distribution.kicad_sch,RB0,FRAME-IN,TETHER PRE-MATE FRAME,ROBOT_FRAME_BOUNDARY,SELECTION REQUIRED
05_robot_five_branch_distribution.kicad_sch,RB0,FRAME-STAR,PROPOSED SINGLE 0 V / FRAME STAR POINT,STAR_POINT_0V_FRAME,SELECTION REQUIRED
05_robot_five_branch_distribution.kicad_sch,FB1,IN,COMMON DISTRIBUTION INPUT,ROBOT_FUSED_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,FB1,OUT,LLEG PROTECTED FEED,PDU_LLEG_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,JLLEG,1,PDU 0 V,PDU_COMMON_RET,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,JLLEG,2,PDU +12 V INPUT,PDU_LLEG_POS,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,FB2,IN,COMMON DISTRIBUTION INPUT,ROBOT_FUSED_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,FB2,OUT,RLEG PROTECTED FEED,PDU_RLEG_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,JRLEG,1,PDU 0 V,PDU_COMMON_RET,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,JRLEG,2,PDU +12 V INPUT,PDU_RLEG_POS,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,FB3,IN,COMMON DISTRIBUTION INPUT,ROBOT_FUSED_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,FB3,OUT,ARMS PROTECTED FEED,PDU_ARMS_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,JARMS,1,PDU 0 V,PDU_COMMON_RET,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,JARMS,2,PDU +12 V INPUT,PDU_ARMS_POS,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,FB4,IN,COMMON DISTRIBUTION INPUT,ROBOT_FUSED_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,FB4,OUT,DISTAL PROTECTED FEED,PDU_DISTAL_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,JDISTAL,1,PDU 0 V,PDU_COMMON_RET,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,JDISTAL,2,PDU +12 V INPUT,PDU_DISTAL_POS,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,FB5,IN,COMMON DISTRIBUTION INPUT,ROBOT_FUSED_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,FB5,OUT,CORE PROTECTED FEED,PDU_CORE_POS,HOLDER SELECTED - NO FUSE VALUE RELEASED
05_robot_five_branch_distribution.kicad_sch,JCORE,1,PDU 0 V,PDU_COMMON_RET,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
05_robot_five_branch_distribution.kicad_sch,JCORE,2,PDU +12 V INPUT,PDU_CORE_POS,BOARD TERMINAL IDENTIFIED - FIELD ASSEMBLY OPEN
06_telemetry_interlocks_commissioning.kicad_sch,MCU1,PERMIT,HARDWIRED PERMIT INPUT,MOTION_PERMIT_INPUT,SELECTION REQUIRED
06_telemetry_interlocks_commissioning.kicad_sch,MCU1,CMD,FRESH BOUNDED MOTION REQUEST,FRESH_MOTION_REQUEST,SELECTION REQUIRED
06_telemetry_interlocks_commissioning.kicad_sch,MCU1,ENABLE,PDU DISABLE COMMANDS,PDU_ENABLE_BOUNDARY,SELECTION REQUIRED
06_telemetry_interlocks_commissioning.kicad_sch,MON1,SR,PNOZ AUX STATUS,PNOZ_AUX_STATUS,SELECTION REQUIRED
06_telemetry_interlocks_commissioning.kicad_sch,MON1,Y32,PNOZ SEMICONDUCTOR STATUS,PNOZ_Y32_STATUS,SELECTION REQUIRED
06_telemetry_interlocks_commissioning.kicad_sch,MON1,BR,PDU POWER-GOOD AGGREGATE,PDU_STATUS_BOUNDARY,SELECTION REQUIRED
06_telemetry_interlocks_commissioning.kicad_sch,MON1,LOG,FAULT LOG / TELEMETRY,DIAGNOSTIC_LOG,SELECTION REQUIRED
