reference,manufacturer_part,footprint,process_class,process_authority,side,board_x_mm,board_y_mm,rotation_deg,numbered_pad_count,local_mask_margin_mm,local_paste_margin_mm,local_paste_ratio,land_audit_disposition,release_state,warning
TP16,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,70.000,58.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,56.000,16.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,42.000,12.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,50.000,26.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,18.000,85.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,30.000,72.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,58.000,32.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,88.000,34.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,Harwin S1751-46R,Harwin_S1751_46R,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,54.000,4.000,0.000,1,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,R132_RECTANGULAR_SHAPE_CORRECTED,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,TI TPL7407LPWR,TI_PW0016A_Example_Land,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,72.000,14.000,0.000,16,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_TI_EXAMPLE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,TI TPL7407LPWR,TI_PW0016A_Example_Land,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,104.000,14.000,0.000,16,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_TI_EXAMPLE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,TI ISO1212DBQ,TI_DBQ0016A_Example_Land,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,80.000,56.000,0.000,16,0.050,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,CORRECTED_TO_TI_EXAMPLE,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDCTRL1,Raspberry Pi Pico SC0915,RaspberryPi_Pico_SMD,SMD_REFLOW,PROPOSED ONLY - SUPPLIER AND PROJECT ACCEPTANCE REQUIRED,F.Cu,40.000,52.000,90.000,49,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,INHERITED / NONE ENCODED,GEOMETRY_MATCH,ASSEMBLY_AND_ENCLOSURE_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
