net,terminals,domain,cross_channel_connection,robot_power_capability,warning
CH2_LO_MID,R2C.2; R2D.1,CH2 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH2_LO_OUT,R2D.2; J2O.2,CH2 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH3_HI_IN,J3I.1; R3A.1,CH3 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH3_HI_MID,R3A.2; R3B.1,CH3 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH3_HI_OUT,R3B.2; J3O.1,CH3 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH3_LO_IN,J3I.2; R3C.1,CH3 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH3_LO_MID,R3C.2; R3D.1,CH3 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH3_LO_OUT,R3D.2; J3O.2,CH3 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH4_HI_IN,J4I.1; R4A.1,CH4 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH4_HI_MID,R4A.2; R4B.1,CH4 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH4_HI_OUT,R4B.2; J4O.1,CH4 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH4_LO_IN,J4I.2; R4C.1,CH4 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH4_LO_MID,R4C.2; R4D.1,CH4 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH4_LO_OUT,R4D.2; J4O.2,CH4 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH5_HI_IN,J5I.1; R5A.1,CH5 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH5_HI_MID,R5A.2; R5B.1,CH5 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH5_HI_OUT,R5B.2; J5O.1,CH5 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH5_LO_IN,J5I.2; R5C.1,CH5 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH5_LO_MID,R5C.2; R5D.1,CH5 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH5_LO_OUT,R5D.2; J5O.2,CH5 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH6_HI_IN,J6I.1; R6A.1,CH6 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH6_HI_MID,R6A.2; R6B.1,CH6 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH6_HI_OUT,R6B.2; J6O.1,CH6 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH6_LO_IN,J6I.2; R6C.1,CH6 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH6_LO_MID,R6C.2; R6D.1,CH6 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH6_LO_OUT,R6D.2; J6O.2,CH6 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH7_HI_IN,J7I.1; R7A.1,CH7 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH7_HI_MID,R7A.2; R7B.1,CH7 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH7_HI_OUT,R7B.2; J7O.1,CH7 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH7_LO_IN,J7I.2; R7C.1,CH7 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH7_LO_MID,R7C.2; R7D.1,CH7 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH7_LO_OUT,R7D.2; J7O.2,CH7 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH8_HI_IN,J8I.1; R8A.1,CH8 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH8_HI_MID,R8A.2; R8B.1,CH8 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH8_HI_OUT,R8B.2; J8O.1,CH8 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH8_LO_IN,J8I.2; R8C.1,CH8 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH8_LO_MID,R8C.2; R8D.1,CH8 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CH8_LO_OUT,R8D.2; J8O.2,CH8 - FLOATING ANALOG,NO,NONE; PASSIVE MEASUREMENT PATH,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SLATE_ACTIVE,SW1.2; D1.2; RSL2.1,SLATE - INDEPENDENT BATTERY,NO,NONE; NO ROBOT CONNECTION,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SLATE_BAT_POS,JBT1.1; SW1.1,SLATE - INDEPENDENT BATTERY,NO,NONE; NO ROBOT CONNECTION,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SLATE_BAT_RET,JBT1.2; RSL1.2; RSL3.2; JTTL.2,SLATE - INDEPENDENT BATTERY,NO,NONE; NO ROBOT CONNECTION,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SLATE_LED_RET,D1.1; RSL1.1,SLATE - INDEPENDENT BATTERY,NO,NONE; NO ROBOT CONNECTION,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SLATE_OUT,RSL2.2; RSL3.1; JTTL.1,SLATE - INDEPENDENT BATTERY,NO,NONE; NO ROBOT CONNECTION,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
