reference,item,manufacturer,candidate_order_code,quantity,footprint,selection_state,procurement_released,warning
J3O,to TTL_SELECTED_SAFE_9V DAQ input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J4I,CTRL_SAFE_5V floating input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R4A,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R4B,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R4C,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R4D,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J4O,to CTRL_SAFE_5V DAQ input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J5I,ESTOP_CH_A_24V floating input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R5A,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R5B,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R5C,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R5D,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J5O,to ESTOP_CH_A_24V DAQ input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J6I,WATCHDOG_PERMIT_24V floating input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R6A,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R6B,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R6C,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R6D,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J6O,to WATCHDOG_PERMIT_24V DAQ input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J7I,K1_DIAGNOSTIC_24V floating input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R7A,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R7B,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R7C,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R7D,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J7O,to K1_DIAGNOSTIC_24V DAQ input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J8I,K2_DIAGNOSTIC_24V floating input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R8A,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R8B,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R8C,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
R8D,5.10 kOhm 0.1% series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J8O,to K2_DIAGNOSTIC_24V DAQ input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JBT1,3-AA battery holder input,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SW1,momentary sync,Omron,B3F-1000,1,Button_Switch_THT:SW_TH_Tactile_Omron_B3F-100x,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
D1,blue visible sync LED,Kingbright,WP7113QBC/D,1,LED_THT:LED_D5.0mm_Clear,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
RSL1,330 Ohm LED series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
RSL2,1.00 kOhm DIO series,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
RSL3,100 kOhm output pulldown,Vishay,ORDER CODE SELECTION REQUIRED,1,Resistor_SMD:R_1206_3216Metric,FAMILY/VALUE/FOOTPRINT DEFINED; ORDER CODE SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
JTTL,to NI-9924 / NI-9401 DIO0,Phoenix Contact,1757242,1,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
P1-P18,2-position mating screw plug,Phoenix Contact,1757019,18,CABLE ITEM,EXACT CANDIDATE; WIRE/FERRULE PROCESS OPEN,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
BT1,3-AA through-hole holder used off-board,Keystone Electronics,2464,1,OFF-BOARD,EXACT CANDIDATE; CELL CHEMISTRY/HARNESS OPEN,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
TB1,NI-9924 front-mount screw terminal,NI,781922-01,1,OFF-BOARD,EXACT CANDIDATE; DIO CONTACT MAP/LEAD OPEN,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ENC1,222 x 146 x 55 mm polycarbonate enclosure clear lid,Hammond,RZ0218C,1,OFF-BOARD,EXACT CANDIDATE; CUTOUT/DFM/RECEIVING OPEN,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PCB1,210 x 134 x 1.6 mm two-layer FR-4 PCB,SELECTION REQUIRED,SELECTION REQUIRED,1,NATIVE BOARD,NATIVE DESIGN PRESENT; FABRICATOR/FINISH/DFM OPEN,NO,"PRELIMINARY - UNBUILT MEASUREMENT FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
