endpoint_id,sheet,reference,terminal,pin_name,net,p115_state,p118_state,comparison,warning
E2GB-P-014,01_external_sources.kicad_sch,PSU2,YL4-3,0V / SHIELD RETURN,SAFETY_0V,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-015,01_external_sources.kicad_sch,PSU2,YL4-4,N/C,INTENTIONALLY_NOT_CONNECTED_PSU2_YL4_4,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-016,01_external_sources.kicad_sch,J24,1,+24V,SAFETY_24V_RAW,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-017,01_external_sources.kicad_sch,J24,2,N/C,INTENTIONALLY_NOT_CONNECTED_J24_2,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-018,01_external_sources.kicad_sch,J24,3,0V / SHIELD RETURN,SAFETY_0V,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-019,01_external_sources.kicad_sch,J24,4,N/C,INTENTIONALLY_NOT_CONNECTED_J24_4,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-020,01_external_sources.kicad_sch,PSU3,USB-C-VBUS,+5V COMPUTE,COMPUTE_5V,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-021,01_external_sources.kicad_sch,PSU3,USB-C-GND,COMPUTE GND,COMPUTE_0V,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-022,01_external_sources.kicad_sch,PSU3,AC-FACTORY,FACTORY AC,FACTORY_AC_COMPUTE,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-023,01_external_sources.kicad_sch,SP1,1,ACTUATOR 0V,INTENTIONALLY_NOT_CONNECTED_SP1_A,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-024,01_external_sources.kicad_sch,SP1,2,PE,INTENTIONALLY_NOT_CONNECTED_SP1_B,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-025,10_actuator_interfaces.kicad_sch,JFRAME1,TBD-FRAME,ROBOT FRAME,ROBOT_FRAME,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2GB-P-026,10_actuator_interfaces.kicad_sch,JFRAME1,TBD-SHIELD,CABLE SHIELDS,CABLE_SHIELD_TERM,EXACT,EXACT,IDENTICAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
