wire_id,net,from_reference,from_terminal,to_reference,to_terminal,from_legacy_endpoint,to_legacy_endpoint,conductor_family_candidate,gauge_candidate,exact_color_order_code,cut_length_mm,termination_from,termination_to,route_zone,candidate_state,release_state,warning
P2P-011,SRA1_S21,SR1,23,SRA1,S21,W2014,W3005,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-012,SRA1_S22,SR1,24,SRA1,S22,W2015,W3006,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-013,SRA1_START_RETURN,SRA1,S34,K2,22,W3007,W4011,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / EDM / TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-014,SRA1_STATUS,SRA1,Y32,XT1,XT1-04,W3013,W9009,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / STATUS / TOP RAIL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-015,WD_SUPPLY_INTERMEDIATE,KWD1,14,KWD2,11,W3018,W3024,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / DIAGNOSTIC SUPPLY GATE - SEGREGATE FROM S0/SR1 INPUT RETURNS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-016,SR1_S12,S0,R-2,XN1,1,W2003,,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-017,SR1_S12,SR1,S12,XN1,2,W2008,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-018,SR1_S12,S1,TBD-R1,XN1,3,W2018,,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-019,SRA1_S12,SR1,14,XN2,1,W2013,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-020,SRA1_S12,SRA1,S12,XN2,2,W3004,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-021,SRA1_S12,S2,TBD-A1,XN2,3,W3020,,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-022,SR1_STATUS,SR1,Y32,XN3,1,W2017,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-023,SR1_STATUS,H1,TBD-HA,XN3,2,W2020,,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / DIAGNOSTIC,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-024,SR1_STATUS,XT1,XT1-03,XN3,3,W9008,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-025,K1_A1,K1,A1,FSR1,2,W4001,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / CONTACTOR COIL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-026,K2_A1,K2,A1,FSR2,2,W4007,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / CONTACTOR COIL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-027,SRA1_K1_RAW,SRA1,14,FSR1,1,W3009,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-028,SRA1_K2_RAW,SRA1,24,FSR2,1,W3011,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-029,WD1_COIL_N,KWD1,A2,JWP1,3,W3015,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / ORDINARY CONTROL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-030,WD2_COIL_N,KWD2,A2,JWP1,4,W3023,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / ORDINARY CONTROL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-031,WD1_NC_24V,KWD1,22,JWF1,1,W3019,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / FEEDBACK,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-032,WD2_NC_24V,KWD2,22,JWF1,2,W3027,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / FEEDBACK,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-033,SAFETY_24V,F24,OUT,XD24,LINE,,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,CONTROL SOURCE / DISTRIBUTION FEED,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-034,SAFETY_24V,XD24,01,SR1,41,,W2016,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-035,SAFETY_24V,XD24,02,SRA1,A1,,W3001,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-036,SAFETY_24V,XD24,03,SRA1,13,,W3008,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-037,SAFETY_24V,XD24,04,SRA1,23,,W3010,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-038,SAFETY_24V,XD24,05,SRA1,41,,W3012,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-039,SAFETY_24V,XD24,06,KWD1,A1,,W3014,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / ORDINARY CONTROL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-040,SAFETY_24V,XD24,07,KWD1,11,,W3016,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / DIAGNOSTIC SUPPLY GATE - SEGREGATE FROM S0/SR1 INPUT RETURNS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-041,SAFETY_24V,XD24,08,KWD1,21,,W3017,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / FEEDBACK,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-042,SAFETY_24V,XD24,09,KWD2,A1,,W3022,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / ORDINARY CONTROL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-043,SAFETY_24V,XD24,10,KWD2,21,,W3025,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / FEEDBACK,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-044,SAFETY_24V,XD24,11,K1,13,,W4004,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-045,SAFETY_24V,XD24,12,K2,13,,W4010,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-046,SAFETY_24V,XD24,13,XT1,XT1-01,,W9006,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / CONTROL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-047,SAFETY_24V,XD24,14,JWP1,1,,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WATCHDOG PCB INTERFACE,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-048,SAFETY_0V,J24,3,XD0,LINE,,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,CONTROL SOURCE / DISTRIBUTION FEED,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-049,SAFETY_0V,XD0,01,SR1,A2,,W2006,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-050,SAFETY_0V,XD0,02,H1,TBD-HB,,W2021,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / DIAGNOSTIC,NO DYNAMIC-FLEX CANDIDATE,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-051,SAFETY_0V,XD0,03,SRA1,A2,,W3002,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-052,SAFETY_0V,XD0,04,K1,A2,,W4002,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / CONTACTOR COIL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-053,SAFETY_0V,XD0,05,K2,A2,,W4008,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / CONTACTOR COIL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-054,SAFETY_0V,XD0,06,XT1,XT1-02,,W9007,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,LOWER TERMINAL / CONTROL,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-055,SAFETY_0V,XD0,07,JWP1,2,,,Belden 3057 family,16 AWG / approximately 1.31 mm2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,WATCHDOG PCB INTERFACE,FIXED-INTERNAL FAMILY/GAUGE CANDIDATE ONLY,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
