legacy_endpoint_id,sheet,reference,terminal,net,physical_wire_id,wire_end,mapping_state,warning
W2011,02_estop_eligibility.kicad_sch,SR1,S34,SR1_START_RETURN,P2P-009,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2012,02_estop_eligibility.kicad_sch,SR1,13,SRA1_S11,P2P-010,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2013,02_estop_eligibility.kicad_sch,SR1,14,SRA1_S12,P2P-019,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2014,02_estop_eligibility.kicad_sch,SR1,23,SRA1_S21,P2P-011,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2015,02_estop_eligibility.kicad_sch,SR1,24,SRA1_S22,P2P-012,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2016,02_estop_eligibility.kicad_sch,SR1,41,SAFETY_24V,P2P-034,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2017,02_estop_eligibility.kicad_sch,SR1,Y32,SR1_STATUS,P2P-022,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2018,02_estop_eligibility.kicad_sch,S1,TBD-R1,SR1_S12,P2P-018,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2019,02_estop_eligibility.kicad_sch,S1,TBD-R2,SR1_START_RETURN,P2P-009,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2020,02_estop_eligibility.kicad_sch,H1,TBD-HA,SR1_STATUS,P2P-023,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2021,02_estop_eligibility.kicad_sch,H1,TBD-HB,SAFETY_0V,P2P-050,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3001,03_arm_watchdog_eligibility.kicad_sch,SRA1,A1,SAFETY_24V,P2P-035,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3002,03_arm_watchdog_eligibility.kicad_sch,SRA1,A2,SAFETY_0V,P2P-051,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3003,03_arm_watchdog_eligibility.kicad_sch,SRA1,S11,SRA1_S11,P2P-010,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3004,03_arm_watchdog_eligibility.kicad_sch,SRA1,S12,SRA1_S12,P2P-020,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3005,03_arm_watchdog_eligibility.kicad_sch,SRA1,S21,SRA1_S21,P2P-011,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3006,03_arm_watchdog_eligibility.kicad_sch,SRA1,S22,SRA1_S22,P2P-012,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3007,03_arm_watchdog_eligibility.kicad_sch,SRA1,S34,SRA1_START_RETURN,P2P-013,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3008,03_arm_watchdog_eligibility.kicad_sch,SRA1,13,SAFETY_24V,P2P-036,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3009,03_arm_watchdog_eligibility.kicad_sch,SRA1,14,SRA1_K1_RAW,P2P-027,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3010,03_arm_watchdog_eligibility.kicad_sch,SRA1,23,SAFETY_24V,P2P-037,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3011,03_arm_watchdog_eligibility.kicad_sch,SRA1,24,SRA1_K2_RAW,P2P-028,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3012,03_arm_watchdog_eligibility.kicad_sch,SRA1,41,SAFETY_24V,P2P-038,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3013,03_arm_watchdog_eligibility.kicad_sch,SRA1,Y32,SRA1_STATUS,P2P-014,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3014,03_arm_watchdog_eligibility.kicad_sch,KWD1,A1,SAFETY_24V,P2P-039,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3015,03_arm_watchdog_eligibility.kicad_sch,KWD1,A2,WD1_COIL_N,P2P-029,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3016,03_arm_watchdog_eligibility.kicad_sch,KWD1,11,SAFETY_24V,P2P-040,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3017,03_arm_watchdog_eligibility.kicad_sch,KWD1,21,SAFETY_24V,P2P-041,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3018,03_arm_watchdog_eligibility.kicad_sch,KWD1,14,WD_SUPPLY_INTERMEDIATE,P2P-015,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3019,03_arm_watchdog_eligibility.kicad_sch,KWD1,22,WD1_NC_24V,P2P-031,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3020,03_arm_watchdog_eligibility.kicad_sch,S2,TBD-A1,SRA1_S12,P2P-021,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3021,03_arm_watchdog_eligibility.kicad_sch,S2,TBD-A2,ARM_AFTER_S2,P2P-001,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3022,03_arm_watchdog_eligibility.kicad_sch,KWD2,A1,SAFETY_24V,P2P-042,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3023,03_arm_watchdog_eligibility.kicad_sch,KWD2,A2,WD2_COIL_N,P2P-030,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3024,03_arm_watchdog_eligibility.kicad_sch,KWD2,11,WD_SUPPLY_INTERMEDIATE,P2P-015,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3025,03_arm_watchdog_eligibility.kicad_sch,KWD2,21,SAFETY_24V,P2P-043,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3026,03_arm_watchdog_eligibility.kicad_sch,KWD2,14,SR1_A1_WD_GATED,P2P-005,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3027,03_arm_watchdog_eligibility.kicad_sch,KWD2,22,WD2_NC_24V,P2P-032,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4001,04_contactor_edm.kicad_sch,K1,A1,K1_A1,P2P-025,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4002,04_contactor_edm.kicad_sch,K1,A2,SAFETY_0V,P2P-052,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4003,04_contactor_edm.kicad_sch,K1,21,ARM_AFTER_S2,P2P-001,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4004,04_contactor_edm.kicad_sch,K1,13,SAFETY_24V,P2P-044,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4005,04_contactor_edm.kicad_sch,K1,22,EDM_K1_OUT,P2P-002,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4006,04_contactor_edm.kicad_sch,K1,14,K1_STATUS,P2P-003,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4007,04_contactor_edm.kicad_sch,K2,A1,K2_A1,P2P-026,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4008,04_contactor_edm.kicad_sch,K2,A2,SAFETY_0V,P2P-053,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4009,04_contactor_edm.kicad_sch,K2,21,EDM_K1_OUT,P2P-002,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4010,04_contactor_edm.kicad_sch,K2,13,SAFETY_24V,P2P-045,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4011,04_contactor_edm.kicad_sch,K2,22,SRA1_START_RETURN,P2P-013,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4012,04_contactor_edm.kicad_sch,K2,14,K2_STATUS,P2P-004,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9006,09_compute_and_control_terminals.kicad_sch,XT1,XT1-01,SAFETY_24V,P2P-046,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9007,09_compute_and_control_terminals.kicad_sch,XT1,XT1-02,SAFETY_0V,P2P-054,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9008,09_compute_and_control_terminals.kicad_sch,XT1,XT1-03,SR1_STATUS,P2P-024,A,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9009,09_compute_and_control_terminals.kicad_sch,XT1,XT1-04,SRA1_STATUS,P2P-014,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9010,09_compute_and_control_terminals.kicad_sch,XT1,XT1-05,K1_STATUS,P2P-003,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W9011,09_compute_and_control_terminals.kicad_sch,XT1,XT1-06,K2_STATUS,P2P-004,B,EXACT CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
