sheet,reference,terminal,function,net,state,warning
02_sensor_and_signal.kicad_sch,CBLQ4X1,1-BN,BROWN / PIN 1,Q4X_24V_PROTECTED,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,CBLQ4X1,3-BU,BLUE / PIN 3,Q4X_0V,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,CBLQ4X1,2-WH,WHITE / PIN 2,Q4X_REMOTE_PARK,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,CBLQ4X1,4-BK,BLACK / PIN 4,Q4X_ANALOG_OUT,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,CBLQ4X1,5-GY,GRAY / PIN 5,Q4X_ANALOG_GND,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,CBLQ4X1,DRN,FLOATING DRAIN,Q4X_SHIELD_PARK,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,Q4X1,1,12-30 VDC,Q4X_24V_PROTECTED,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,Q4X1,3,DC COMMON,Q4X_0V,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,Q4X1,2,REMOTE INPUT,Q4X_REMOTE_PARK,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,Q4X1,4,0-10 V OUTPUT,Q4X_ANALOG_OUT,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,Q4X1,5,ANALOG GROUND,Q4X_ANALOG_GND,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,XQ1.3,A,Q4X PIN 2 WHITE,Q4X_REMOTE_PARK,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,XQ1.3,B,NO EXTERNAL CONDUCTOR,Q4X_REMOTE_PARK,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,XQ1.4,A,Q4X PIN 4 BLACK,Q4X_ANALOG_OUT,EXACT EVALUATION CANDIDATE / TEST FIXTURE OPEN,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,XQ1.4,B,ISOLATED PROBE POSITIVE,Q4X_ANALOG_OUT,EXACT EVALUATION CANDIDATE / TEST FIXTURE OPEN,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,XQ1.5,A,Q4X PIN 5 GRAY,Q4X_ANALOG_GND,EXACT EVALUATION CANDIDATE / TEST FIXTURE OPEN,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,XQ1.5,B,ISOLATED PROBE NEGATIVE,Q4X_ANALOG_GND,EXACT EVALUATION CANDIDATE / TEST FIXTURE OPEN,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,XQ1.6,A,CORDSET DRAIN,Q4X_SHIELD_PARK,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,XQ1.6,B,NO CONDUCTOR / NO BRIDGE,Q4X_SHIELD_PARK,EXACT EVALUATION CANDIDATE / NOT RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,TEST1,+,TIVPMX10X POSITIVE,Q4X_ANALOG_OUT,SELECTION REQUIRED / NO CONNECTION RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sensor_and_signal.kicad_sch,TEST1,-,TIVPMX10X NEGATIVE,Q4X_ANALOG_GND,SELECTION REQUIRED / NO CONNECTION RELEASED,"PRELIMINARY - BENCH R&D CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
