sample_index,daq_time_s,stop_event_state,k1_coil_state,k2_coil_state,common_edm_chain_state,k1_aux_status_state,k2_aux_status_state,source_voltage_V,external_angle_deg,dropped_scan_count,sensor_saturation_flags,run_id,configuration_commit,article_revision,calibration_bundle_hash,timing_budget_revision
22,0.022000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
23,0.023000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
24,0.024000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
25,0.025000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
26,0.026000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
27,0.027000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
28,0.028000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
29,0.029000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
30,0.030000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
31,0.031000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
32,0.032000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
33,0.033000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
34,0.034000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
35,0.035000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
36,0.036000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
37,0.037000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
38,0.038000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
39,0.039000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
40,0.040000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
41,0.041000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
42,0.042000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
43,0.043000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
44,0.044000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
45,0.045000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
46,0.046000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
47,0.047000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
48,0.048000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
49,0.049000,0,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
50,0.050000,1,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
51,0.051000,1,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
52,0.052000,1,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
53,0.053000,1,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
54,0.054000,1,1,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
55,0.055000,1,0,1,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
56,0.056000,1,0,0,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
57,0.057000,1,0,0,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
58,0.058000,1,0,0,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
59,0.059000,1,0,0,0,1,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
60,0.060000,1,0,0,0,0,1,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
61,0.061000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
62,0.062000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
63,0.063000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
64,0.064000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
65,0.065000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
66,0.066000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
67,0.067000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
68,0.068000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
69,0.069000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
70,0.070000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
71,0.071000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
72,0.072000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
73,0.073000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
74,0.074000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
75,0.075000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
76,0.076000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
77,0.077000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
78,0.078000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
79,0.079000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
80,0.080000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
81,0.081000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
82,0.082000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
83,0.083000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
84,0.084000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
85,0.085000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
86,0.086000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
87,0.087000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
88,0.088000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
89,0.089000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
90,0.090000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
91,0.091000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
92,0.092000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
93,0.093000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
94,0.094000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
95,0.095000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
96,0.096000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
97,0.097000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
98,0.098000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
99,0.099000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
100,0.100000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
101,0.101000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
102,0.102000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
103,0.103000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
104,0.104000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
105,0.105000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
106,0.106000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
107,0.107000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
108,0.108000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
109,0.109000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
110,0.110000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
111,0.111000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
112,0.112000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
113,0.113000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
114,0.114000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
115,0.115000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
116,0.116000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
117,0.117000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
118,0.118000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
119,0.119000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
120,0.120000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
121,0.121000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
122,0.122000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
123,0.123000,1,0,0,0,0,0,24.000000,110.000000000,0,0,SYN-FAIL-EDM-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
