sequence,axis_id,region,candidate_actuator,family,protocol,station_cable,proposed_global_id,initial_voltage_v,initial_current_limit_a,required_initial_readback,first_power_motion_command,execution_result,authority
11,R_ANKLE_PITCH,leg,ROBOTIS XM430-W350-R evaluation candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,11,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
12,R_ANKLE_ROLL,leg,ROBOTIS XM430-W350-R evaluation candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,12,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
13,L_SHOULDER_PITCH,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,13,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
14,L_SHOULDER_ROLL,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,14,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
15,L_ELBOW_PITCH,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,15,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
16,R_SHOULDER_PITCH,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,16,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
17,R_SHOULDER_ROLL,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,17,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
18,R_ELBOW_PITCH,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,18,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
19,WAIST_YAW,waist,ROBOTIS XM540-W270-R candidate,XM540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,19,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
20,L_WRIST_ROTATION,arm,ROBOTIS XC330-T288-T candidate,XC330,TTL HALF-DUPLEX,X3P 180 mm / 903-0249-000,20,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
21,L_GRIPPER,hand,ROBOTIS XC330-class compact candidate,XC330,TTL HALF-DUPLEX,X3P 180 mm / 903-0249-000,21,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
22,R_WRIST_ROTATION,arm,ROBOTIS XC330-T288-T candidate,XC330,TTL HALF-DUPLEX,X3P 180 mm / 903-0249-000,22,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
23,R_GRIPPER,hand,ROBOTIS XC330-class compact candidate,XC330,TTL HALF-DUPLEX,X3P 180 mm / 903-0249-000,23,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
24,HEAD_PAN,head,ROBOTIS XC330-class compact X-series candidate,XC330,TTL HALF-DUPLEX,X3P 180 mm / 903-0249-000,24,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
25,HEAD_TILT,head,ROBOTIS XC330-class compact X-series candidate,XC330,TTL HALF-DUPLEX,X3P 180 mm / 903-0249-000,25,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
