hold_id,hold,state,closure_evidence,warning
HOLD-29,P1.21/R241 independent and qualified disposition,NOT EXECUTED,signed configuration and safety review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-30,P1.21 conductor color and XD24/XD0 identification convention,SELECTION REQUIRED,qualified Boston/US code and project identification disposition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-31,"P1.21 DCR, cut length, voltage-drop, ampacity, protection and thermal closure",NOT EXECUTED,"received measurements, calculations, coordination and accepted limits","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-32,complete WD2 occupancy and installed conductor-route acceptance,NOT EXECUTED,"segment register, as-built inspection and qualified review","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-33,P1.21 exact terminal application and driver-bit acceptance,NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-34,Received strip/crimp/pull and calibrated torque-tool evidence,NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-35,"Installed fourteen-endpoint retention, torque, continuity, isolation and qualified acceptance",NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-36,"Received-lot DCR, actual cuts and temperature-normalized conductor evidence",NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-37,Complete source/return/contact/load voltage budget and qualified acceptance limits,NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-38,"Exact Pilz/Phoenix bits, physical fit, installed voltage/thermal evidence and signed acceptance",NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-39,Complete installed P1.21 control-loop static resistance and voltage-drop bound,SELECTION REQUIRED,"Selected series parts, released routes, temperature/aging/uncertainty policy and received four-wire measurements","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-40,"P1.21 simultaneous pickup, brownout, foldback and recovery behavior",NOT EXECUTED,Source/manufacturer limits plus configuration-bound installed traces and fault injection,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-41,Qualified review of complete P1.21 supply/watchdog application,NOT EXECUTED,"Signed electrical and functional-safety disposition against frozen source, wiring and evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-42,Five successor shop drawings and formal datum/GD&T qualified disposition,NOT EXECUTED,Signed review against exact drawing/STEP/DXF hashes,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-43,Authorized provider capability/DFM response against exact R247 payload,NOT EXECUTED,"Transmission record, response and internal disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-44,Five custom-part first articles and fastener/joint evidence,NOT EXECUTED,"MTR, 30 FAI operations, stacks, torque/locking and proof","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-45,Configuration-bound unpowered full-arm assembly and qualified acceptance,NOT EXECUTED,"21-step traveler, nine joint rows, mass/COM/inertia, clearances and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-46,Received 17-row moving-mass measurement and itemization,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-47,Loose-to-assembled mass reconciliation,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-48,Two-axis reaction COM measurement and uncertainty,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-49,Calibrated J1/J2 bifilar inertia and uncertainty,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-50,Qualified acceptance and downstream analysis reconciliation,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-51,Accepted six-row physical-property bundle,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-52,Coordinate-frame and pose-transform reconciliation,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-53,Regenerated load/stop/containment/structure analyses,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-54,Regenerated firmware limits and HIL,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-55,Qualified integrated acceptance and separate work authority,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-56,Five-part datum/FCF qualified disposition,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-57,Inspection fixture/method/uncertainty acceptance,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-58,Successor controlled drawings,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-59,Provider DFM/FAI/received fit,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-60,Qualified release and separate work authority,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-61,Lot A supplier clarification and purchase gates,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-62,Six-article receipt/quarantine,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-63,Shop roles/instruments/fixture authorization,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-64,Unpowered 18-operation session,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-65,HSI evidence/disposition/teardown,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-66,Written XM540-W270-T / SKU / TTL supplier confirmation and received identity,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-67,P0.2 3-2-1 contact/preload/restraint/tolerance selections and qualified review,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-68,P0.2 fixture fabrication/FAI/physical A/B/C fit and stability proof,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-69,Temporary hardware/torque/reuse instruction and measurement-system acceptance,NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-70,"Separate unpowered session authorization, execution, teardown and qualified disposition",NOT EXECUTED,Signed configuration-bound evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-71,HR-V0-JOINT-MET-P0.2: Written campaign and purchase authorization,OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-72,"HR-V0-JOINT-MET-P0.2: Received identities, quarantine and source reconciliation",OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-73,"HR-V0-JOINT-MET-P0.2: Instrument calibration, capability and uncertainty method accepted",OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-74,"HR-V0-JOINT-MET-P0.2: Loose-part support, datum and no-damage method accepted",OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-75,"HR-V0-JOINT-MET-P0.2: Balance, tare, stability and article-identity method accepted",OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-76,"HR-V0-JOINT-MET-P0.2: Exact temporary-assembly hardware, torque, reuse, locking and stop-work instruction signed",OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-77,HR-V0-JOINT-MET-P0.2: Axial support/access and external axis-realization method accepted,OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-78,"HR-V0-JOINT-MET-P0.2: Angle reference, restraint/counterbalance and contact-load method accepted",OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-79,"HR-V0-JOINT-MET-P0.2: Low-occlusion supports, pose set, fiducials and registration validation accepted",OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-80,"HR-V0-JOINT-MET-P0.2: Zero electrical source, actuator connection and power equipment verified",OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-81,HR-V0-JOINT-MET-P0.2: Frozen article/configuration/fixture/transform manifest,OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-82,HR-V0-JOINT-MET-P0.2: Raw evidence complete; teardown and qualified disposition accepted,OPEN,"Dated controlled record with exact article/method, result, evidence URI, qualified reviewer and approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-83,HR-V0-LOT-A-INQUIRY-P0.2: Authorize each external inquiry transmission,OPEN,"Exact message/attachments hashes, recipient route, sender/reply identity, program-owner approval","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-84,HR-V0-LOT-A-INQUIRY-P0.2: Resolve XM540 -T/-R identity,OPEN,Accepted R255-RQ-01/02 response,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-85,HR-V0-LOT-A-INQUIRY-P0.2: Accept no-substitution and contents,OPEN,Accepted R255-RQ-03/06/07 response,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-86,HR-V0-LOT-A-INQUIRY-P0.2: Accept current allocation and quote,OPEN,Unexpired response/quote,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-87,HR-V0-LOT-A-INQUIRY-P0.2: Set maximum purchase spend,OPEN,Numerical signed limit,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-88,HR-V0-LOT-A-INQUIRY-P0.2: Freeze ship-to/receiver/quarantine,OPEN,Named adult receiver and controlled location,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-89,HR-V0-LOT-A-INQUIRY-P0.2: Authorize receipt-only purchase,OPEN,"Exact commit, lines, seller, quote, maximum spend, exclusions","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-90,HR-V0-LOT-A-INQUIRY-P0.2: Receive and reconcile six articles,OPEN,"Labels, lots, contents, photos, discrepancies","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-91,HR-V0-LOT-A-INQUIRY-P0.2: Accept provider identity/scope,OPEN,Complete attributable response and bid map,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-92,HR-V0-LOT-A-INQUIRY-P0.2: Accept equipment/calibration/accreditation,OPEN,Certificates and result scope map,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-93,HR-V0-LOT-A-INQUIRY-P0.2: Accept method-specific supports/datums,OPEN,M01-M05 technical proposals independently reviewed,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-94,HR-V0-LOT-A-INQUIRY-P0.2: Accept method-specific uncertainty budgets,OPEN,Numeric budgets and validation evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-95,HR-V0-LOT-A-INQUIRY-P0.2: Select provider and commercial scope,OPEN,Technical acceptance plus program-owner commercial decision,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-96,HR-V0-LOT-A-INQUIRY-P0.2: Authorize shipment/work,OPEN,"Configuration-specific scope, articles, methods, witnesses, stop conditions","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
