id,level,statement,priority,verification_id,status
PROD-003,product,"HR-30A shall provide 13 active upper-body degrees of freedom on a bolted pelvic pedestal.",MUST,INSPECT-PROD-002,draft
PROD-004,product,"HR-30B full-height testing shall use an engineered restraint that prevents floor impact.",MUST,TEST-RESTRAINT-001,draft
PROD-005,product,"The full-height robot shall remain restrained through HR-30D and shall operate untethered only after the HR-30W release gate is approved.",MUST,AUDIT-PROD-001,draft
PROD-006,product,"External covers shall use a 3 mm minimum edge radius and prevent normal access to powered pinch points.",MUST,INSPECT-PROD-003,draft
PROD-007,product,"The external form shall be stylized and clearly robotic rather than a realistic imitation child.",SHOULD,REVIEW-ID-001,draft
PROD-008,product,"HR-30A shall use tethered extra-low-voltage actuator power and shall not carry a battery.",MUST,TEST-ELEC-030,draft
PROD-009,product,"Actuator power state and faults shall be visibly distinguishable from at least 3 m.",MUST,TEST-UI-001,draft
PROD-010,product,"Camera recording capability shall have a hardware-driven visible privacy indication.",MUST,TEST-PRIV-001,draft
LEG-001,legs,"No powered leg joint shall be enabled until its actuator and structure pass separate load thermal brake and restraint tests.",MUST,AUDIT-LEG-001,draft
LEG-002,legs,"Untethered level-floor walking shall be the required HR-30W end-state and shall occur only after HR-30D slack-tether acceptance passes.",MUST,AUDIT-LEG-002,draft
WALK-001,walking,"HR-30W shall stand untethered for 120 seconds on the validated level indoor surface.",MUST,TEST-WALK-001,draft
WALK-002,walking,"HR-30W shall start, walk 25 m at 0.10 to 0.14 m/s, stop within two steps, and remain standing. Any higher speed requires a later released torque-speed and gait validation.",MUST,TEST-WALK-002,draft
WALK-003,walking,"HR-30W shall turn 90 degrees left and right within five steps without support.",MUST,TEST-WALK-003,draft
WALK-004,walking,"HR-30W shall complete 30 minutes cumulative walking without exceeding released thermal current voltage or energy limits.",MUST,TEST-WALK-004,draft
WALK-005,walking,"HR-30D shall walk with a slack overhead tether carrying less than 2 percent of robot weight except during fall arrest.",MUST,TEST-WALK-005,draft
WALK-006,walking,"Each leg shall provide six active axes: hip yaw roll and pitch knee pitch and ankle pitch and roll.",MUST,INSPECT-WALK-001,draft
WALK-007,walking,"Pelvis attitude estimation shall update at 800 Hz or faster and foot force/center-of-pressure estimation at 500 Hz or faster.",MUST,TEST-WALK-006,draft
WALK-008,walking,"The real-time state estimator and stabilizer shall continue safe operation or stop after failure of the Linux high-level process.",MUST,TEST-WALK-007,draft
WALK-009,walking,"HR-30W shall use an onboard professionally assembled protected battery with pack-level fuse service disconnect precharge and independent telemetry.",MUST,INSPECT-BATT-001,draft
WALK-010,walking,"Passing the engineering walking test shall not authorize operation among people or children.",MUST,AUDIT-WALK-001,draft
WALK-011,walking,"A fall predictor shall command the released protective response from attitude, angular rate, support force, joint tracking, bus health, and supply state within a released lead-time threshold derived from measured protective-response latency plus margin. The numeric lead time, detection rate, and false-positive limit are release-blocking selections.",MUST,TEST-FALL-001,draft
WALK-012,walking,"A hardware emergency stop shall remove hazardous drive energy even when doing so may cause a fall.",MUST,TEST-SAFE-WALK-001,draft
STANCE-001,stance,"During HR-30C acceptance both feet shall support 100 percent of measured static robot weight for 120 seconds while the connected restraint supplies no sustained support.",MUST,TEST-STANCE-001,draft
STANCE-002,stance,"HR-30C shall complete 100 commanded bilateral weight shifts with both feet in contact and without exceeding released force attitude joint-tracking thermal current or deadline limits.",MUST,TEST-STANCE-002,draft
STANCE-003,stance,"Loss of planner state sensor validity control deadline or supply health during HR-30C shall produce the released restrained response and a latched restart-required fault.",MUST,TEST-STANCE-003,draft
STANCE-004,stance,"HR-30C powered-stance testing shall not begin until HR-30B W0 W1 restraint proof sensor calibration and enabled-axis qualification records are approved.",MUST,AUDIT-STANCE-001,draft
PROD-011,product,"The released operating boundary shall state adult-operated experimental robotic machinery not a toy and not approved for unsupervised consumer use while legal classification remains unresolved.",MUST,AUDIT-PROD-002,draft
MASS-001,mechanical,"Every full-body configuration shall have a controlled part-level mass and inertia ledger separating target estimate and measured values and reporting assembly and whole-body center of mass and inertia.",MUST,REVIEW-MASS-001,draft
MASS-002,mechanical,"HR-V0 moving assembly mass excluding the fixed shoulder actuator and base shall not exceed 0.75 kg and shall be supported by a part-level ledger separating CAD supplier and measured mass local center of mass and inertia for the exact configuration.",MUST,REVIEW-MASS-002,draft
CTRL-005,control,"Every inter-controller message shall carry a monotonic sequence number source timestamp validity deadline sender state and configuration hash and receivers shall reject stale duplicate out-of-order or mismatched messages.",MUST,TEST-CTRL-005,draft
WALK-013,walking,"Every externally reduced leg joint shall use output-side absolute position sensing or a reviewed equivalent that detects slip backlash lost calibration and motor-output disagreement.",MUST,TEST-JOINT-ENC-001,draft
WALK-014,walking,"Each segmented joint bus shall demonstrate the released command and feedback schedule with a byte-level packet budget measured worst-case latency jitter utilization and injected fault traffic.",MUST,TEST-BUS-001,draft
SAFE-009,safety,"Every powered full-body phase shall define and test the response to sudden drive-energy loss for every released pose and mode before restraint dependence is reduced.",MUST,TEST-POWERLOSS-001,draft
CFG-002,configuration,"A configuration calibration polarity or mirrored-joint mismatch shall inhibit drive enable and latch a recorded fault.",MUST,TEST-CFG-002,draft
GOV-001,verification,"Every requirement risk and release gate shall identify an accountable owner acceptance evidence approver and controlled change history before design review approval.",MUST,AUDIT-GOV-001,draft
CTRL-006,control,"Before any actuator torque-enable request the supervisor shall verify the received actuator identity firmware ID operating mode startup-torque and torque-on-goal-update bits current limit goal-current bound hardware-error state and torque-off state against the released configuration; any mismatch shall inhibit torque and latch a recorded fault. The internal current limit shall not substitute for external branch-current connector thermal and protection evidence.",MUST,TEST-CTRL-006,draft
CTRL-007,control,"For guarded HR-V0 testing the ordinary heartbeat watchdog shall be treated only as an uncredited diagnostic power-removal demand: candidate detection is 300 ms maximum before relay and contactor delays; restoration shall not bypass monitored physical RESET and later physical ARM; the safety risk assessment shall assume that this diagnostic can fail to operate.",MUST,TEST-SAFE-002,draft
CFG-003,configuration,"The HR-V0 release BOM shall enumerate every purchased fabricated included-kit harness software-image and configuration-critical item with exact quantity order-code state primary-source state application-evidence state and receiving or closure route; every unresolved field shall remain SELECTION REQUIRED.",MUST,AUDIT-BOM-001,draft
MECH-002,mechanical,"The HR-V0 mechanical release shall define one controlled bench-to-object datum chain every assembly component every mechanical interface exact profile cut lengths and the closure evidence for each unresolved dimension fastener fit guard stop cable and anchor boundary; generated assembly views shall agree with the native CAD and system BOM.",MUST,AUDIT-MECH-001,draft
MECH-003,mechanical,"Every HR-V0 T-slot frame joint shall have an enumerated bracket and mounting-hardware order code quantity orientation load-path screen controlled torque-development method receiving record proof record inspection mark reuse rule and qualified mechanical disposition; absent physical evidence shall inhibit assembly acceptance.",MUST,INSPECT-MECH-010,draft
MECH-004,mechanical,"The HR-V0 bench interface shall be released only for one identified surveyed bench with documented owner permission substrate construction thickness edge distances top and underside access exact anchors bolts washers and backing parts calculated shear tension overturning bearing pull-through and bench-support loads controlled installation torque numerical proof criteria inspection marks and qualified mechanical disposition; absent or changed site evidence shall inhibit assembly and energization acceptance.",MUST,INSPECT-MECH-011,draft
MECH-005,mechanical,"The HR-V0 arm architecture shall use exact manufacturer-coordinate actuator and frame geometry to define every body-frame output-frame link and gripper transform; the released native assembly shall prove J1/J2 axis orientation and parallelism link lengths collision and tool access fastener stacks cable space structural load path and tolerance closure; any superseded or unresolved transform shall inhibit quotation fabrication assembly and energization.",MUST,AUDIT-MECH-012,draft
