family_id,part_name,part_kind,solid_count,volume_mm3,candidate_non_actuator_mass_kg,material_or_product_candidate,note,authority,warning
JMF-01-COMPACT,ACTUATOR,SHA-bound manufacturer actuator,15,15926.186780,0.000000000,ROBOTIS-XC330,exact manufacturer B-Rep; exact model/suffix and project mounting stack remain provisional,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-01-COMPACT,OUTPUT_COUPLER,coaxial clamping coupler,1,3763.596583,0.010161711,split-clamp aluminum/steel coupler candidate,"spline/horn interface, clamp preload, fretting and retention open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,OUTPUT_SHAFT,hollow output shaft,1,459.316554,0.003582669,17-4PH or alloy-steel candidate - SELECTION REQUIRED,"shoulders, surface finish, hardness and received runout open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,BEARING_B,catalogue bearing candidate,1,890.798597,0.006992769,625-2Z EVALUATION CANDIDATE,"application, suffix, fit, lubrication, life and preload open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,CARRIER_B,removable joint carrier,1,2759.278813,0.007450053,6061-T6 plate candidate,"machining process, tolerances, inserts and capacity open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,RETAINER_B,axial bearing retainer,1,50.363657,0.000395355,spring-steel ring or threaded collar candidate,groove/thread geometry and axial capacity open,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,CARRIER_B_SCREW_11,socket-head carrier screw,1,112.843740,0.000885823,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,CARRIER_B_SCREW_12,socket-head carrier screw,1,112.843740,0.000885823,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,CARRIER_B_SCREW_21,socket-head carrier screw,1,112.843740,0.000885823,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,CARRIER_B_SCREW_22,socket-head carrier screw,1,112.843740,0.000885823,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,OUTPUT_ENCODER_CARRIER,output encoder carrier,1,855.298600,0.001539537,magnetic absolute encoder carrier candidate,"sensor, magnet, PCB, accuracy, redundancy and safety role SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,OUTPUT_MAGNET_HUB,encoder magnet hub,1,114.605300,0.000309434,nonmagnetic hub plus magnet candidate,"magnet grade, adhesive, retention and air gap open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,ACTUATOR,SHA-bound manufacturer actuator,15,15926.186780,0.000000000,ROBOTIS-XC330,exact manufacturer B-Rep; model/suffix and project mount remain provisional,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,PINION,symmetric gripper pinion,1,1686.090966,0.002360527,POM or aluminum pinion candidate,"tooth form, backlash, strength and retention open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,RACK_UPPER,gripper rack,1,1520.000000,0.002128000,POM rack candidate,"guide, stop, pad and pinch-force validation open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-02-GRIPPER,RACK_LOWER,gripper rack,1,1520.000000,0.002128000,POM rack candidate,"guide, stop, pad and pinch-force validation open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,OUTPUT_SHAFT,hollow output shaft,1,3094.343100,0.024135876,17-4PH or alloy-steel candidate - SELECTION REQUIRED,"shoulders, surface finish, hardness and received runout open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,BEARING_A,catalogue bearing candidate,1,1771.104274,0.013903169,61900-2RS1 EVALUATION CANDIDATE,"application, suffix, fit, lubrication, life and preload open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_A,removable joint carrier,1,7604.335177,0.020531705,6061-T6 plate candidate,"machining process, tolerances, inserts and capacity open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,RETAINER_A,axial bearing retainer,1,85.706575,0.000672797,spring-steel ring or threaded collar candidate,groove/thread geometry and axial capacity open,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_A_SCREW_11,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_A_SCREW_12,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_A_SCREW_21,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_A_SCREW_22,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,BEARING_B,catalogue bearing candidate,1,1771.104274,0.013903169,61900-2RS1 EVALUATION CANDIDATE,"application, suffix, fit, lubrication, life and preload open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_B,removable joint carrier,1,7604.335177,0.020531705,6061-T6 plate candidate,"machining process, tolerances, inserts and capacity open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,RETAINER_B,axial bearing retainer,1,85.706575,0.000672797,spring-steel ring or threaded collar candidate,groove/thread geometry and axial capacity open,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_B_SCREW_11,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_B_SCREW_12,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_B_SCREW_21,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,CARRIER_B_SCREW_22,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,OUTPUT_ENCODER_CARRIER,output encoder carrier,1,789.325154,0.001420785,magnetic absolute encoder carrier candidate,"sensor, magnet, PCB, accuracy, redundancy and safety role SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,OUTPUT_MAGNET_HUB,encoder magnet hub,1,190.003524,0.000513010,nonmagnetic hub plus magnet candidate,"magnet grade, adhesive, retention and air gap open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,ACTUATOR,SHA-bound manufacturer actuator,1,84589.528735,0.000000000,ROBOTIS-540,exact manufacturer B-Rep; exact model/suffix and mount remain provisional,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,OUTPUT_PULLEY,spoked timing-pulley candidate,1,6094.853138,0.017126537,7075-T6 or reinforced-polymer pulley candidate,"pitch, tooth form, flange, bore and retention open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,MOTOR_PULLEY,spoked timing-pulley candidate,1,4184.927315,0.011759646,7075-T6 or reinforced-polymer pulley candidate,"pitch, tooth form, flange, bore and retention open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,TIMING_BELT,closed-loop belt candidate,4,2905.359072,0.003486431,5M elastomer/fiber belt candidate,"exact tooth count, width, preload, rating, guard clearance and life open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,TRANSMISSION_GUARD,removable belt guard,1,11520.000000,0.013593600,printed polymer or thin aluminum guard candidate,"split, retention, vent, pinch access and impact proof open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,ROLL_ACTUATOR,second SHA-bound gimbal actuator,18,44894.794853,0.000000000,ROBOTIS-X430,intersecting-axis shoulder roll candidate; mount and load path open,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,ROLL_SHAFT,intersecting gimbal shaft,1,2514.153769,0.019610399,17-4PH or alloy-steel candidate,"gimbal cross-shaft shoulders, fits and strength open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-03-SHOULDER-GIMBAL,GIMBAL_RING,intersecting-axis gimbal ring,1,7162.831250,0.020127556,7075-T6 gimbal ring candidate,"section, split, access and cross-axis capacity open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,OUTPUT_SHAFT,hollow output shaft,1,2804.248434,0.021873138,17-4PH or alloy-steel candidate - SELECTION REQUIRED,"shoulders, surface finish, hardness and received runout open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,BEARING_B,catalogue bearing candidate,1,1771.104274,0.013903169,61900-2RS1 EVALUATION CANDIDATE,"application, suffix, fit, lubrication, life and preload open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,CARRIER_B,removable joint carrier,1,6393.543559,0.017262568,6061-T6 plate candidate,"machining process, tolerances, inserts and capacity open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,RETAINER_B,axial bearing retainer,1,85.706575,0.000672797,spring-steel ring or threaded collar candidate,groove/thread geometry and axial capacity open,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,CARRIER_B_SCREW_11,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,CARRIER_B_SCREW_12,socket-head carrier screw,1,248.129720,0.001947818,metric alloy-steel screw candidate,"property class, length, tapped side, torque, locking and access open","NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
