placement_id,nearest_placement_id,nominal_aabb_clearance_mm,nominal_envelope_overlap,screen_scope,unresolved,authority,warning
ATB-R_ANKLE_PITCH,ATB-R_ANKLE_ROLL,5.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_ANKLE_ROLL,ATB-R_ANKLE_PITCH,5.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_SHOULDER_PITCH,ATB-L_SHOULDER_ROLL,5.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_SHOULDER_ROLL,ATB-L_SHOULDER_PITCH,5.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_ELBOW_PITCH,ATB-L_HIP_YAW,30.513,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_SHOULDER_PITCH,ATB-R_SHOULDER_ROLL,5.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_SHOULDER_ROLL,ATB-R_SHOULDER_PITCH,5.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_ELBOW_PITCH,ATB-R_HIP_YAW,32.512,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-WAIST_YAW,ATB-L_HIP_YAW,28.500,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_WRIST_ROTATION,ATB-L_GRIPPER,15.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_GRIPPER,ATB-L_WRIST_ROTATION,15.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_WRIST_ROTATION,ATB-R_GRIPPER,15.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_GRIPPER,ATB-R_WRIST_ROTATION,15.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-HEAD_PAN,ATB-HEAD_TILT,12.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-HEAD_TILT,ATB-HEAD_PAN,12.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
