harness_id,conductor,end,reference,terminal_or_cavity,project_net,termination,wire,acceptance_boundary,warning
HAR-CIN-J2,R,B,LIM2.JIN1,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J2,R,A,LIM2.JOUT1,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J2,R,B,INJ1.JP2,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-G1,P,A,F3.2; physical 5025 circuit position SELECTION REQUIRED,#8-32 screw interface candidate,J3_FUSED_PRELIMIT,Panduit PN18-8R-E,Belden 9918 002100 RED,"physical circuit/return position, received fit, torque and stacking remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-G1,P,B,LIM3.JIN1,1,J3_FUSED_PRELIMIT,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-G1,P,A,LIM3.JOUT1,1,J3_LIMITED_VDD,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-G1,P,B,INJ1.JP3,1,J3_LIMITED_VDD,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-G1,R,A,5025 negative-bus branch screw; physical position SELECTION REQUIRED,#8-32 screw interface candidate,ACT_0V_PE_BONDED,Panduit PN18-8R-E,Belden 9918 010100 BLACK,"physical circuit/return position, received fit, torque and stacking remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-G1,R,B,LIM3.JIN1,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-G1,R,A,LIM3.JOUT1,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-G1,R,B,INJ1.JP3,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
