layout_id,object_type,reference,x_mm,y_mm,width_mm,height_mm,mounting_basis,release_state,required_evidence,warning
BP-012,pcb_envelope,WDPCB1,54,230,160,100,PCB-P0.6 160 x 100 mm land-corrected source outline,HOLD - NO PCB FABRICATION OR MOUNT HOLES,"assembler/supplier acceptance; received board; exact standoffs; clearance; touch/contamination control",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-013,pcb_envelope,INJ1,224,230,100,60,DXL-STAR-P0.1 100 x 60 mm source outline,HOLD - NO PCB FABRICATION OR MOUNT HOLES,"supplier acceptance; received board; exact standoffs; clearance; power/TTL segregation",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-014,din_rail,DR2,224,309,153.8,7.5,Phoenix NS 35/7.5 candidate,HOLD - CUT/HOLES NOT RELEASED,"received terminal-stack width; end-bracket fit; rail fastener and bonding disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-015,terminal_envelope,XT1,224,318,100,48,6 PT 2.5 plus two CLIPFIX and one end cover,HOLD - RECEIVED FIT/WIRING REQUIRED,"received stack measurement; position labels; finger safety; conductor bend/access",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-016,surface_mount_envelope,F1/F2/F3 BLOCK,54,385,100,130,Blue Sea Systems 5025 catalog body 84.20 x 124.31 mm inside provisional service envelope,HOLD - NO MOUNT HOLES OR FUSE VALUES,"received body and cover sweep; ring-terminal bends; mounting hardware; unused-circuit treatment; coordination; thermal proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-017,din_rail,DR3,170,375,65,7.5,Phoenix NS 35/7.5 candidate,HOLD - CUT/HOLES NOT RELEASED,"received fuse-holder stack; end cover; rail end hardware; terminal and fuse service access",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-018,fuse_terminal_envelope,FSR1/FSR2 HOLDERS + D-ST 4,175,385,25,75,"Two Phoenix Contact PT 4-HESI 5X20 item 3211861 bodies plus one D-ST 4 item 3030420; nominal group width 14.6 mm before access allowance",HOLD - FUSE LINKS AND GROUPING RELEASE OPEN,"received dimensions and open-side orientation; compatible end-cover fit; fuse family/rating; conductor; heat; coordination; qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-019,inline_holder_service_envelope,F0 HOLDER,210,385,30,130,Littelfuse FHAC0002SXJ inline holder requires selected retention and bend arrangement,HOLD - NO RETENTION OR SPLICE RELEASE,"received holder and pigtails; strain relief; 12-to-16 AWG transition; splice; fuse value; heat; service access",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-020,reserved_selection_envelope,J24/F24/F0-F3 LINKS/FSR1-FSR2 LINKS,250,375,127.8,140,Exact 24 V interface catalog candidate plus unresolved protection links and termination hardware remain visibly reserved; SD1 is separately screened for sidewall placement,SELECTION REQUIRED - NO DRILLING,"received GlobTek plug identity/fit and load/startup evidence; received Kycon dimensions; PCB/harness; exact protection parts and ratings; terminals; coordination; heat; conductor bends; service access; qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-021,din_rail,DR4,428,45,100,7.5,Phoenix NS 35/7.5 candidate for the compute carrier,HOLD - CUT/HOLES NOT RELEASED,"received case bracket engagement and offset; rail cut/deburr; end retention; fastener and bonding disposition; pull test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-022,component_envelope,CCASE1,433,55,90.5,87,Waveshare PI5-CASE-D published outer-envelope image and included 35 mm rail bracket,HOLD - RECEIVED FIT/BRACKET OFFSET REQUIRED,"received case and hardware identity; exact bracket offset; Pi/SC1148 assembly clarification; port access; airflow; depth; rail retention; grounding/EMC; thermal test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-023,retained_device_envelope,U2D2/GTM1,440,160,63.5,25.4,HellermannTyton GTM500C2 base envelope containing ROBOTIS 48 x 18 mm plan envelope,HOLD - NO MOUNT HOLE OR RETENTION RELEASE,"received Type-C U2D2; exact base; selected panel fastener/torque; strap compression; port clearance; pull/slip/vibration; grounding/reference-voltage review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-024,cable_retention_envelope,PSU3-CABLE/GTM2,440,205,63.5,25.4,HellermannTyton GTM500C2 and GT.50X8 candidate service-loop position,HOLD - NO MOUNT HOLE OR CABLE RELEASE,"received SC1158 cable OD and bend behavior; exact base/strap; panel fastener/torque; connector load; pull/slip; heat and conducted-noise review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-025,cable_retention_envelope,PI-U2D2-CABLE/GTM3,440,250,63.5,25.4,HellermannTyton GTM500C2 and GT.50X8 candidate service-loop position,HOLD - CABLE SELECTION REQUIRED; NO MOUNT HOLE,"exact USB-A-to-USB-C cable order code length shielding and OD; received U2D2 revision; bend radius; panel fastener/torque; connector load; pull/slip; EMC/no-backfeed",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-026,reserved_unallocated_envelope,OPEN-LOWER-ZONE,54,533.4,323.8,142.4,Added backplate area retained for unresolved protection termination separation and future-fit correction; not a released installation zone,SELECTION REQUIRED - NO DRILLING,"final exact parts; heat and duct fill; conductor bends; service access; qualified layout and enclosure-system review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
