item_id,reference,manufacturer,manufacturer_part_number,description,quantity,candidate_state,physical_release,evidence_source,evidence_revision_or_date,closure_evidence_required,warning
PAN-011,S0,IDEC,XW1E-BV402M-R,Dual-NC 22 mm emergency-stop candidate; inherited from V3 BOM,1,EXACT V3 CANDIDATE,HOLD - NO ORDER OR DOOR CUTOUT,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,V3 evidence rechecked 2026-08-06,received identity; positive-opening contact positions; continuity; mounting; human-factors review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-012,S1,IDEC,HW1B-M1F10-B,Black momentary 1NO RESET operator; inherited from V3 BOM,1,EXACT V3 CANDIDATE,HOLD - TERMINALS TBD; NO DOOR CUTOUT,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/pushbuttons-pilot-lights/hw-22mm-heavy-duty/hw1b-m1f10-b,HW Series Catalog_Screw dated 2026-07-23; accessed 2026-08-07,received-lot internal identity; terminal mapping; continuity; mounting; human-factors review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-013,S2,IDEC,HW1B-M1F10-G,Green momentary 1NO ARM operator; inherited from V3 BOM,1,EXACT V3 CANDIDATE,HOLD - TERMINALS TBD; NO DOOR CUTOUT,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/pushbuttons-pilot-lights/hw-22mm-heavy-duty/hw1b-m1f10-g,HW Series Catalog_Screw dated 2026-07-23; accessed 2026-08-07,received-lot internal identity; terminal mapping; continuity; mounting; human-factors review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-014,SR1/SRA1,Pilz,750104,Two PNOZ s4 24 VDC safety-relay candidates; inherited from V3 BOM,2,EXACT V3 CANDIDATE,HOLD - APPLICATION REVIEW REQUIRED,https://www.pilz.com/en-INT/eshop/product/750104,Pilz manual 21396-EN-23 and product file 2026-06-22; rechecked 2026-08-06,qualified application review; received identity; configuration; terminal torque; proof/fault validation,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-015,KWD1/KWD2,Phoenix Contact,2967060,Two PLC-RSC-24DC/21-21 ordinary diagnostic relays; 11-14 NO contacts form a series SR1 A1 supply gate; zero safety credit,2,EXACT V3-P1.13 CANDIDATE,HOLD - SUPPLY-GATE APPLICATION/FMEA TEST REQUIRED,https://www.phoenixcontact.com/en-pc/products/relay-module-plc-rsc-24dc-21-21-2967060?type=pdf,official PDF data-maintenance 2026-04-01; rechecked 2026-08-08,received terminal identity/polarity; PNOZ 2.5 W steady and 0.5 A 5 ms inrush contact-duty review; supply-cycle endurance; stuck/weld/internal-short/open tests; routing segregation; replacement control; qualified review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-016,K1/K2,Schneider Electric,LC1D25BD,Two TeSys D three-pole contactor candidates; 24 VDC coil,2,EXACT V3 CANDIDATE,HOLD - DC APPLICATION DISPOSITION REQUIRED,https://download.schneider-electric.com/files?filename=Catalog&p_Doc_Ref=MKTED210011EN,Catalog 2026 plus product/application records rechecked 2026-08-07,written DC critical-current/application disposition; loaded interruption; mirror-contact proof; thermal/coordination evidence,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-017,WDPCB1,Project Button,PCB-P0.6,Watchdog routed land-corrected source candidate; 160 x 100 mm; no current CAM release,1,PROJECT SOURCE CANDIDATE,HOLD - NO FABRICATION OUTPUTS,electrical/kicad/project-button-v3/project-button-v3.kicad_pcb,PCB-P0.6 / HR-V0-WD-LAND-P0.1,assembler/supplier acceptance; new CAM review; PCB order; received inspection; bare-board test; assembly; HIL/fault/EMC/thermal evidence,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-018,INJ1,Project Button,DXL-STAR-P0.1,DYNAMIXEL branch-isolating injection board; 100 x 60 mm; no Gerber/drill release,1,PROJECT SOURCE CANDIDATE,HOLD - NO FABRICATION OUTPUTS,electrical/kicad/hr-v0-dxl-star/hr-v0-dxl-star.kicad_pcb,DXL-STAR-P0.1,protection selection; cable/connector application; supplier acceptance; received isolation/no-backfeed/thermal/waveform evidence,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-019,F24/F0-F3 LINKS/FSR1-FSR2 LINKS,SELECTION REQUIRED,SELECTION REQUIRED,Reserved physical envelope for unresolved 24 V branch protection and all six ampere-specific fuse links; mounting and termination hardware,1,SELECTION REQUIRED,HOLD - NO ORDER; NO HOLES; NO SUBSTITUTION,,SELECTION REQUIRED,source fault current; inrush; exact topology-compatible parts; ratings; dimensions; terminals; coordination; heat; service access; qualified review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-020,WIRE/TERM/GLAND,SELECTION REQUIRED,SELECTION REQUIRED,Panel conductors; ferrules/lugs; labels; glands; strain relief; flexible door loom; protective bonding hardware,1,SELECTION REQUIRED,HOLD - NO ORDER OR WIRING,,SELECTION REQUIRED,fault current; length; ambient; bundling; temperature; voltage drop; connector limits; color; jurisdiction; termination qualification,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-021,FSR1/FSR2 HOLDERS,Phoenix Contact,"PT 4-HESI (5X20), item 3211861",Two non-LED 5 x 20 mm DIN fuse-terminal holder candidates; fuse links not included,2,EXACT CATALOG CANDIDATE,HOLD - FUSE LINKS AND GROUPING SELECTION REQUIRED,https://www.phoenixcontact.com/en-us/products/fuse-terminal-block-pt-4-hesi-5x20-3211861,official US product page and generated product PDF dated 2026-07-06; rechecked 2026-08-07,received identity/dimensions/open side; end-cover compatibility; fuse family/rating/time-current; conductor and ferrule; grouping power loss; coordination; qualified review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-022,F1/F2/F3 BLOCK,Blue Sea Systems,5025,Six-circuit ST Blade ATO/ATC block with negative bus and cover; catalog body 84.20 x 124.31 mm; three circuits proposed and three unused,1,EXACT CATALOG CANDIDATE,HOLD - NO FUSE VALUES OR MOUNT HOLES,https://www.bluesea.com/products/5025,official product page and dimensioned drawing rechecked 2026-08-07,received dimensions/cover sweep; ring terminals; mounting hardware; unused-circuit treatment; conductor bends; fuse coordination; thermal proof,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-023,F0 HOLDER,Littelfuse,FHAC0002SXJ,32 V heavy-duty inline ATO holder with 12 AWG GXL pigtails and 30 A holder maximum; maximum is not a fuse rating,1,EXACT CATALOG CANDIDATE,HOLD - NO FUSE VALUE RETENTION OR SPLICE RELEASE,https://www.littelfuse.com/assetdocs/littelfuse-fuse-holder-ato-fhac-datasheet.pdf?assetguid=272e0b1a-a576-4173-8740-c1eb469efd79,FHAC datasheet 062923-B; rechecked 2026-08-07,received identity; holder retention; 12-to-16 AWG transition; splice/termination; strain relief; fuse rating; thermal and clearing proof,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-024,FSR1/FSR2 END COVER,Phoenix Contact,"D-ST 4, item 3030420",One 2.2 mm-wide gray end-cover candidate for the open side of the proposed two-holder group,1,EXACT CATALOG CANDIDATE,HOLD - RECEIVED COMPATIBILITY AND GROUPING REQUIRED,https://www.phoenixcontact.com/en-us/products/end-cover-d-st-4-3030420,official US product page rechecked 2026-08-07,received item identity; compatibility with 3211861; open-side orientation; installed group width; touch inspection; qualified application review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-025,SD1,Littelfuse,75920-01,70 V DC SPST through-panel master disconnect with On/Off markings and yellow knob; two identical 3/8-24 studs; OFF-position padlock feature,1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER; NO CUTOUT; NO CONDUCTOR OR LOCKOUT RELEASE,https://www.littelfuse.com/products/switches-connectors/dc-disconnect-switches/manual-battery-disconnect-switches/75920/75920-01,75920 Series datasheet Rev 091825; 75920-01 drawing current download accessed 2026-08-07; IF-165 Rev 010320-C,received identity and geometry; source/load disposition; conductor/lug/terminal stack; fault and load-break duty; touch protection; sidewall placement and bend space; padlock/zero-energy procedure; legend/human factors; qualified Boston application review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-026,J24,GlobTek / Kycon,WR9QI1660YL4NKITR6B YL4/C40337 / KPJX-PM-4S,factory YL4/KPPX-4P-or-equal locking output cord and non-shielded panel-mount four-pin jack candidate,1,EXACT CATALOG/TOPOLOGY CANDIDATE,HOLD - NO ORDER; NO CUTOUT; NO PCB/HARNESS OR CONNECTION RELEASE,https://www.kycon.com/Pub_Eng_Draw/KPJX-PM-4S.pdf,GlobTek exact specification Rev B generated/rechecked 2026-08-08; Kycon KPJX-PM catalog 0126 and KPJX-PM-4S drawing Rev C2 dated 2026-01-08,"received GlobTek source-cord plug identity/fit, Q-NA blade retention, load/startup/brownout and pin-view/polarity; PCB/harness; panel cutout/mounting; retention; strain relief; bend/pullout; temperature-rise and qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-027,CCASE1,Waveshare,"PI5-CASE-D; SKU 26087",Industrial metal Raspberry Pi 5 case with included guide-rail bracket; official Active Cooler compatibility and 35 mm guide-rail support published,1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR INSTALLATION,https://www.waveshare.com/pi5-case-d.htm,current official product page and dimension image; no formal revision stated; rechecked 2026-08-08,"received identity and 90.5 x 87 x 49.5 mm outer envelope; screw/standoff identity; Active Cooler-specific assembly clarification; rail engagement; port/bend access; coating/grounding/EMC; thermal and service tests",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-028,PI1,Raspberry Pi,SC1112,Raspberry Pi 5 8 GB unit-only candidate,1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR INSTALLATION,https://www.raspberrypi.com/products/raspberry-pi-5/,current manufacturer configurator identity rechecked 2026-08-08,"received identity; case fit; storage; software; load; power-loss; runtime; HIL and qualified application review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-029,COOL1,Raspberry Pi,SC1148,Raspberry Pi Active Cooler for Raspberry Pi 5 candidate,1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR INSTALLATION,https://www.raspberrypi.com/products/active-cooler/,current manufacturer configurator/product records rechecked 2026-08-08,"received identity; case-specific assembly; fan current; airflow clearance; fault behavior; thermal test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-030,U2D2,ROBOTIS,902-0132-000,U2D2 USB communication converter; current production is stated as Type-C from August 2025; 48 x 18 x 14.9 mm; 9 g,1,EXACT CATALOG CANDIDATE,HOLD - RECEIVED REVISION AND RETENTION REQUIRED,https://emanual.robotis.com/docs/en/parts/interface/u2d2/,current official e-Manual; no formal revision stated; rechecked 2026-08-08,"received Type-C connector revision; supplied-cable identity; retention; port access; grounding/reference voltage; no-backfeed; waveform and HIL",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-031,GTM1/GTM2/GTM3,HellermannTyton,"GTM500C2; article 130-95000",Nonadhesive screw-mount base for 0.5 in Grip Tie; nominal 63.5 x 25.4 mm; 6.35 mm mounting hole,3,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR HOLES,https://www.hellermanntyton.us/products/130-95000/,current official product page; no formal revision stated; rechecked 2026-08-08,"received identity; selected panel fastener/torque; rigid U2D2 and cable-loop application; compression/slip/abrasion; pull/vibration; flame and service evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-032,GT1/GT2/GT3,HellermannTyton,"GT.50X80C2; article 854-44353",Black releasable Grip Tie; nominal 203.2 x 12.7 mm; manufacturer publishes cable-bundling use,3,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR RETENTION CREDIT,https://www.hellermanntyton.us/products/854-44353/,current official product page; no formal revision stated; rechecked 2026-08-08,"received identity; strap overlap; rigid-device compression/slip and connector clearance; cable bend/pull; vibration; repeated-service and qualified application evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-033,PSU3,Raspberry Pi,SC1158,27 W USB-C Power Supply US Type A black; fixed 1.2 m cable per controlled Raspberry Pi brief,1,EXACT CATALOG CANDIDATE,HOLD - EXTERNAL SOURCE; NO CONNECTION,https://www.raspberrypi.com/products/27w-power-supply/,RP-008245-DS-1 and current configurator mapping rechecked 2026-08-08,"received identity; site receptacle; cable OD and routing; strain relief; installed load/startup/brownout; thermal and conducted-noise evidence",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-034,PI-U2D2-CABLE,StarTech.com,USB2AC50CM,"0.5 m straight USB-A-to-USB-C USB 2.0 candidate; 480 Mbps; 3.5 mm OD; 22/30 AWG; PVC jacket; aluminum-mylar foil with braid shield",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER CONNECTION OR ROUTE RELEASE,https://www.startech.com/en-us/cables/usb2ac50cm,"current official product page and generated datasheet; no formal revision stated; rechecked 2026-08-08","received identity and construction; Pi host and U2D2 Type-C fit; bend acceptance; GTM3/GT3 retention; pull/slip/abrasion; connector load; local temperature at or below 35 C; continuity/shield; enumeration; waveform/jitter/error; common-mode; no-backfeed/power-sequencing; EMC/HIL and qualified review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
