reference,field,expected_value,native_kicad_value,match,hidden,warning
CFI1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,Manufacturer,TDK,TDK,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,ManufacturerPartNumber,CGA3E2X7R1H103K080AA,CGA3E2X7R1H103K080AA,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,AssemblyDescription,"10 nF, 50 V, X7R, 0603","10 nF, 50 V, X7R, 0603",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,Manufacturer,TRACO POWER,TRACO POWER,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,ManufacturerPartNumber,TSR 1-2450,TSR 1-2450,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,AssemblyDescription,"24 V to 5 V, 1 A, non-isolated","24 V to 5 V, 1 A, non-isolated",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,ProcessClass,MANUAL_THT_POST_REFLOW,MANUAL_THT_POST_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,Manufacturer,Vishay,Vishay,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,ManufacturerPartNumber,VO618A-4X017T,VO618A-4X017T,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,AssemblyDescription,"phototransistor optocoupler, option 7","phototransistor optocoupler, option 7",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,Manufacturer,Phoenix Contact,Phoenix Contact,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,ManufacturerPartNumber,1751248,1751248,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,AssemblyDescription,"MKDS 1/2-3,5, 2 position","MKDS 1/2-3,5, 2 position",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,ProcessClass,MANUAL_THT_POST_REFLOW,MANUAL_THT_POST_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,Manufacturer,Phoenix Contact,Phoenix Contact,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,ManufacturerPartNumber,1751248,1751248,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,AssemblyDescription,"MKDS 1/2-3,5, 2 position","MKDS 1/2-3,5, 2 position",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,ProcessClass,MANUAL_THT_POST_REFLOW,MANUAL_THT_POST_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,Manufacturer,Phoenix Contact,Phoenix Contact,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,ManufacturerPartNumber,1751264,1751264,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,AssemblyDescription,"MKDS 1/4-3,5, 4 position","MKDS 1/4-3,5, 4 position",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,ProcessClass,MANUAL_THT_POST_REFLOW,MANUAL_THT_POST_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,Manufacturer,Panasonic Industry,Panasonic Industry,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,ManufacturerPartNumber,ERJ6ENF9100V,ERJ6ENF9100V,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,AssemblyDescription,"910 ohm, 1%, 0805, 0.125 W","910 ohm, 1%, 0805, 0.125 W",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,Manufacturer,Panasonic Industry,Panasonic Industry,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,ManufacturerPartNumber,ERJ6ENF1002V,ERJ6ENF1002V,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,AssemblyDescription,"10.0 kohm, 1%, 0805, 0.125 W","10.0 kohm, 1%, 0805, 0.125 W",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,Manufacturer,Panasonic Industry,Panasonic Industry,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,ManufacturerPartNumber,ERJ6ENF1002V,ERJ6ENF1002V,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,AssemblyDescription,"10.0 kohm, 1%, 0805, 0.125 W","10.0 kohm, 1%, 0805, 0.125 W",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,Manufacturer,Panasonic Industry,Panasonic Industry,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,ManufacturerPartNumber,ERJ6ENF1002V,ERJ6ENF1002V,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,AssemblyDescription,"10.0 kohm, 1%, 0805, 0.125 W","10.0 kohm, 1%, 0805, 0.125 W",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,Manufacturer,Panasonic Industry,Panasonic Industry,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,ManufacturerPartNumber,ERJ6ENF5620V,ERJ6ENF5620V,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,AssemblyDescription,"562 ohm, 1%, 0805","562 ohm, 1%, 0805",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,Manufacturer,Panasonic Industry,Panasonic Industry,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,ManufacturerPartNumber,ERJ6ENF5620V,ERJ6ENF5620V,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,AssemblyDescription,"562 ohm, 1%, 0805","562 ohm, 1%, 0805",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,Manufacturer,Panasonic Industry,Panasonic Industry,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,ManufacturerPartNumber,ERJ6ENF1001V,ERJ6ENF1001V,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,AssemblyDescription,"1.00 kohm, 1%, 0805","1.00 kohm, 1%, 0805",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,Manufacturer,Panasonic Industry,Panasonic Industry,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,ManufacturerPartNumber,ERJ6ENF1001V,ERJ6ENF1001V,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,AssemblyDescription,"1.00 kohm, 1%, 0805","1.00 kohm, 1%, 0805",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,Manufacturer,Vishay,Vishay,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,ManufacturerPartNumber,MMA02040C1001FB300,MMA02040C1001FB300,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,AssemblyDescription,"1.00 kohm, 1%, 0.4 W, MELF","1.00 kohm, 1%, 0.4 W, MELF",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,Manufacturer,Vishay,Vishay,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,ManufacturerPartNumber,MMA02040C1001FB300,MMA02040C1001FB300,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,AssemblyDescription,"1.00 kohm, 1%, 0.4 W, MELF","1.00 kohm, 1%, 0.4 W, MELF",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,Manufacturer,Vishay,Vishay,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
