record_type,record_id,domain_basis,source_status,accountable_role_candidate,accountable_person,linked_requirements,acceptance_evidence,evidence_uri,approver_role_candidate,approver_person,decision,change_history,governance_state,warning
risk,R-015,product,open,systems_engineer,SELECTION REQUIRED,PROD-010,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-016,product;walking,open,systems_engineer,SELECTION REQUIRED,PROD-004;WALK-005;WALK-011,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-017,walking,open,walking_controls_engineer,SELECTION REQUIRED,WALK-012;WALK-010,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-018,walking,open,walking_controls_engineer,SELECTION REQUIRED,WALK-009,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-019,walking,open,walking_controls_engineer,SELECTION REQUIRED,WALK-007;WALK-011,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-020,walking,open,walking_controls_engineer,SELECTION REQUIRED,WALK-007;WALK-008,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-021,product;safety,open,systems_engineer,SELECTION REQUIRED,PROD-004;PROD-005;SAFE-009,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-022,safety;product;mechanical,open,functional_safety_engineer,SELECTION REQUIRED,SAFE-006;PROD-006;MECH-001,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-023,electrical;walking;safety,open,electrical_engineer,SELECTION REQUIRED,ELEC-003;WALK-009;SAFE-009,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_electrical_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-024,walking;safety,open,walking_controls_engineer,SELECTION REQUIRED,WALK-013;SAFE-009,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-025,walking;control;configuration,open,walking_controls_engineer,SELECTION REQUIRED,WALK-013;CTRL-003;CFG-002,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-026,walking,open,walking_controls_engineer,SELECTION REQUIRED,WALK-007;WALK-011,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-027,walking,open,walking_controls_engineer,SELECTION REQUIRED,WALK-007;WALK-011,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-028,walking;safety,open,walking_controls_engineer,SELECTION REQUIRED,WALK-002;SAFE-007,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-029,walking,open,walking_controls_engineer,SELECTION REQUIRED,WALK-001;WALK-002,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-030,system;safety;product,open,systems_engineer,SELECTION REQUIRED,SYS-005;SAFE-008;PROD-011,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_systems_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-031,electrical;configuration,open,electrical_engineer,SELECTION REQUIRED,ELEC-003;CFG-001,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_electrical_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-032,walking;safety,open,walking_controls_engineer,SELECTION REQUIRED,WALK-009;SAFE-009,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-033,walking,open,walking_controls_engineer,SELECTION REQUIRED,WALK-009,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-034,gripper;product,open,mechanical_engineer,SELECTION REQUIRED,GRIP-001;GRIP-002;PROD-006,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-035,configuration;control,open,configuration_manager,SELECTION REQUIRED,CFG-001;CFG-002;CTRL-005,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-036,control;walking,open,controls_engineer,SELECTION REQUIRED,CTRL-003;CTRL-005;WALK-014,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-037,configuration;walking,open,configuration_manager,SELECTION REQUIRED,CFG-002;WALK-013,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-038,product;safety,open,systems_engineer,SELECTION REQUIRED,PROD-002;SAFE-006,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-039,product;configuration;safety,open,systems_engineer,SELECTION REQUIRED,PROD-004;CFG-001;SAFE-009,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-040,walking;control,open,walking_controls_engineer,SELECTION REQUIRED,WALK-014;CTRL-005,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
