source_id,source_type,publisher,document,revision_or_date,use,path_or_url,sha256,access_date,warning
SRC-PILZ-PNOZ-S4,OFFICIAL EXTERNAL,Pilz,PNOZ s4 operating manual 21396-EN-23,official product page lists manual dated 2026-06-22,candidate safety relay manual; component capability is not system PL,https://www.pilz.com/en-US/eshop/product/750104,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-SCHNEIDER-LC1D40ABD,OFFICIAL EXTERNAL,Schneider Electric,TeSys Deca LC1D40ABD and catalog MKTED210011EN,catalog v17.1 dated 2026-07-10; product page accessed 2026-08-16,"three main poles, 24 VDC coil, mirror-certified 21-22 NC auxiliary and DC table boundary; component capability is not whole-machine PL",https://shop.se.com/pro/us/en/product/iec-contactor-tesys-deca-nonreversing-40a-30hp-at-480vac-up-to-100ka-sccr-3-phase-3-no-24vdc-coil-open-style/,REMOTE DOCUMENT - NOT VENDORED,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-01,LOCAL CONFIGURATION,Project Button,energy/safety status,HR30-WHOLE-BODY-SRS-P0.1,energy/safety status,hr30/whole-body-p0.1/energy-safety-spine-p0.1/energy-safety-status.json,b18907706b985c1386366a347e67919cbed930edb7b62d97973b56060fd99a6d,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-02,LOCAL CONFIGURATION,Project Button,existing safety-function boundary,HR30-WHOLE-BODY-SRS-P0.1,existing safety-function boundary,hr30/whole-body-p0.1/energy-safety-spine-p0.1/safety-function-boundary.csv,d9e9df5354a679c4aac45dd5e8d20140a3fc71146a4d65c93ea317df4abd579d,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-03,LOCAL CONFIGURATION,Project Button,existing fault-response boundary,HR30-WHOLE-BODY-SRS-P0.1,existing fault-response boundary,hr30/whole-body-p0.1/energy-safety-spine-p0.1/fault-response-register.csv,9b293da523282382d59d8105e79a1ef354029b17b37e59aa0034c4e4b1da2eea,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-04,LOCAL CONFIGURATION,Project Button,tether power-core status,HR30-WHOLE-BODY-SRS-P0.1,tether power-core status,hr30/whole-body-p0.1/electrical/tether-power-core-p0.1/power-core-status.json,53b920aaf57fdf4aaf7c20bee50db5c7b750253801c5d4813e3a1d3611247cd9,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-05,LOCAL CONFIGURATION,Project Button,whole-body physical harness status,HR30-WHOLE-BODY-SRS-P0.1,whole-body physical harness status,hr30/whole-body-p0.1/harness/physical-p0.1/physical-harness-status.json,ed20ffa4520331f0dd2636f1b46f42995b344de581d05faba9ae71a3098a26cc,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-06,LOCAL CONFIGURATION,Project Button,grounding/reference status,HR30-WHOLE-BODY-SRS-P0.1,grounding/reference status,hr30/whole-body-p0.1/electrical/grounding-reference-architecture-p0.1/grounding-reference-status.json,f5e179280b04081743340d0f9001a61c669e7548b7bbd0ba70ca7e1f7f89392c,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-07,LOCAL CONFIGURATION,Project Button,physical protective-bonding status,HR30-WHOLE-BODY-SRS-P0.1,physical protective-bonding status,hr30/whole-body-p0.1/electrical/protective-bonding-implementation-p0.1/physical-bond-status.json,cd87365008e5a5c2fd346400d8194ead73143e56d6ed06763784d29bd05c7c03,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-08,LOCAL CONFIGURATION,Project Button,compiled no-motion controller status,HR30-WHOLE-BODY-SRS-P0.1,compiled no-motion controller status,hr30/whole-body-p0.1/firmware/hr30-motion-controller-p0.1/firmware-status.json,850746e236dd1c953508b2167454669f9c1da3e7195c6e464b34334b52af9945,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-09,LOCAL CONFIGURATION,Project Button,current-policy status,HR30-WHOLE-BODY-SRS-P0.1,current-policy status,hr30/whole-body-p0.1/current-constrained-actuation-p0.1/status.json,bdf3d87bf49f573072285b86726daf9ff866cec7d665af8bcea62eab09da554d,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-10,LOCAL CONFIGURATION,Project Button,25-axis allocation,HR30-WHOLE-BODY-SRS-P0.1,25-axis allocation,hr30/whole-body-p0.1/actuator-transmission-allocation.csv,ab2fc85cd0a782c2055ce29ff161869f046ad41fbaa3572bb50bf6631da1e73a,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-11,LOCAL CONFIGURATION,Project Button,standing/walking architecture,HR30-WHOLE-BODY-SRS-P0.1,standing/walking architecture,hr30/whole-body-p0.1/walking-development-architecture.md,d275014830ef36ec9de043051fe8465574cae05146caf044a2fdc0a546dc1bcb,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRC-LOCAL-12,LOCAL CONFIGURATION,Project Button,whole-body pose register,HR30-WHOLE-BODY-SRS-P0.1,whole-body pose register,hr30/whole-body-p0.1/whole-body-pose-register.csv,ef45be73568c9d18c389b122d937cdbea29b472cea9170ba1f156031188c6e5f,2026-08-16,"PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
