reference,terminal,function,net,state,warning
ADP3,RETURN,FIELD RETURN,CH3_RETURN_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3,J2.1,INP,CH3_INP_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3,J2.2,INN,CH3_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3,J2.3,HGND,CH3_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3,J3.2,OUTP,CH3_OUTP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3,J3.1,OUTN,CH3_OUTN,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3,J3.3,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3,J1.2,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP4,FIELD,K1 COIL COMMAND,K1_A1_TAP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP4,INP,SCALED OUTPUT,CH4_INP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP4,RETURN,FIELD RETURN,CH4_RETURN_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4,J2.1,INP,CH4_INP_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4,J2.2,INN,CH4_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4,J2.3,HGND,CH4_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4,J3.2,OUTP,CH4_OUTP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4,J3.1,OUTN,CH4_OUTN,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4,J3.3,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4,J1.2,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP5,FIELD,K2 COIL COMMAND,K2_A1_TAP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP5,INP,SCALED OUTPUT,CH5_INP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP5,RETURN,FIELD RETURN,CH5_RETURN_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5,J2.1,INP,CH5_INP_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5,J2.2,INN,CH5_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5,J2.3,HGND,CH5_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5,J3.2,OUTP,CH5_OUTP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5,J3.1,OUTN,CH5_OUTN,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5,J3.3,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM5,J1.2,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP6,FIELD,K1 MIRROR-CONTACT CHAIN,EDM_K1_OUT_TAP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP6,INP,SCALED OUTPUT,CH6_INP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP6,RETURN,FIELD RETURN,CH6_RETURN_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6,J2.1,INP,CH6_INP_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6,J2.2,INN,CH6_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6,J2.3,HGND,CH6_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6,J3.2,OUTP,CH6_OUTP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6,J3.1,OUTN,CH6_OUTN,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6,J3.3,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM6,J1.2,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP7,FIELD,K2 MIRROR-CONTACT CHAIN,SRA1_START_RETURN_TAP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP7,INP,SCALED OUTPUT,CH7_INP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP7,RETURN,FIELD RETURN,CH7_RETURN_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7,J2.1,INP,CH7_INP_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7,J2.2,INN,CH7_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7,J2.3,HGND,CH7_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7,J3.2,OUTP,CH7_OUTP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7,J3.1,OUTN,CH7_OUTN,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7,J3.3,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM7,J1.2,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1L,J3.2,OUTP,CH1_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1L,J3.1,OUTN,CH1_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1L,J3.3/J1.2,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1L,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2L,J3.2,OUTP,CH2_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2L,J3.1,OUTN,CH2_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2L,J3.3/J1.2,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2L,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3L,J3.2,OUTP,CH3_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3L,J3.1,OUTN,CH3_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3L,J3.3/J1.2,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM3L,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4L,J3.2,OUTP,CH4_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4L,J3.1,OUTN,CH4_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4L,J3.3/J1.2,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM4L,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-37,AIN0,CH1_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-36,AIN2,CH2_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-35,AIN4,CH3_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-34,AIN6,CH4_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-33,AIN8,CH5_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-32,AIN10,CH6_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-31,AIN12,CH7_OUTP,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-18,AIN1,CH1_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-17,AIN3,CH2_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-16,AIN5,CH3_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-15,AIN7,CH4_OUTN,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
