component,group,physical_or_reference,xmin_mm,xmax_mm,ymin_mm,ymax_mm,zmin_mm,zmax_mm,note,status
R_HAND_PALM_ENVELOPE,hand-shaped gripper palm,PHYSICAL ENVELOPE,-165.006055,-114.993945,-29.006055,29.006055,251.993945,288.006055,houses one actuator and symmetric coupling,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_INBOARD_GRIPPER_FINGER,hand-shaped gripper finger,PHYSICAL ENVELOPE,-162.005046,-143.994954,-22.005046,22.005046,208.994954,255.005046,broad parallel jaw; no narrow scissor point,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_INBOARD_SOFT_PAD_LAND,gripper contact pad land,PHYSICAL ENVELOPE,-161.003028,-144.996972,-24.003028,24.003028,215.996972,224.003028,replaceable compliant pad; material and force-stroke selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_OUTBOARD_GRIPPER_FINGER,hand-shaped gripper finger,PHYSICAL ENVELOPE,-136.005046,-117.994954,-22.005046,22.005046,208.994954,255.005046,broad parallel jaw; no narrow scissor point,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_OUTBOARD_SOFT_PAD_LAND,gripper contact pad land,PHYSICAL ENVELOPE,-135.003028,-118.996972,-24.003028,24.003028,215.996972,224.003028,replaceable compliant pad; material and force-stroke selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
TORSO_COMPUTE_BAY,component bay,REFERENCE/RESERVATION,-71.004037,71.004037,-31.004037,41.004037,478.995963,561.004037,"compute, cooling, storage and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
PELVIS_POWER_BAY,component bay,REFERENCE/RESERVATION,-59.004037,59.004037,-31.004037,41.004037,359.495963,404.504037,"source, conversion, protection and regeneration architecture selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
HEAD_SENSOR_BAY,component bay,REFERENCE/RESERVATION,-54.004037,54.004037,-31.004037,39.004037,675.995963,734.004037,"camera, audio, illumination and privacy hardware selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
PELVIS_IMU_DATUM_BAY,component bay,REFERENCE/RESERVATION,-21.003028,21.003028,-21.003028,21.003028,396.996972,417.003028,pelvis IMU exact model and mount remain open,CANDIDATE ENVELOPE - NOT A FABRICATION PART
PELVIS_RESTRAINT_INTERFACE_ENVELOPE,restraint interface,REFERENCE/RESERVATION,-40.003028,40.003028,5.996972,58.003028,403.996972,424.003028,rated restraint interface not designed,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_HEAD_PAN,joint axis reference,REFERENCE/RESERVATION,-3.501088,3.501088,-3.500000,3.500000,622.498912,677.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_HEAD_TILT,joint axis reference,REFERENCE/RESERVATION,-27.501088,27.501088,-3.500000,3.500000,686.498912,693.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_WAIST_YAW,joint axis reference,REFERENCE/RESERVATION,-3.501088,3.501088,-3.500000,3.500000,397.498912,452.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_SHOULDER_PITCH,joint axis reference,REFERENCE/RESERVATION,70.998912,139.001088,-3.500000,3.500000,586.498912,593.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_SHOULDER_ROLL,joint axis reference,REFERENCE/RESERVATION,101.500000,108.500000,-34.001088,34.001088,586.498912,593.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_ELBOW_PITCH,joint axis reference,REFERENCE/RESERVATION,100.998912,169.001088,-3.500000,3.500000,436.498912,443.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_WRIST_ROTATION,joint axis reference,REFERENCE/RESERVATION,136.498912,143.501088,-3.500000,3.500000,260.998912,329.001088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_GRIPPER,joint axis reference,REFERENCE/RESERVATION,105.998912,174.001088,-3.500000,3.500000,248.498912,255.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_HIP_YAW,joint axis reference,REFERENCE/RESERVATION,58.998912,66.001088,-3.500000,3.500000,362.998912,431.001088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_HIP_ROLL,joint axis reference,REFERENCE/RESERVATION,59.000000,66.000000,-34.001088,34.001088,384.498912,391.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_HIP_PITCH,joint axis reference,REFERENCE/RESERVATION,28.498912,96.501088,-3.500000,3.500000,376.498912,383.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_KNEE_PITCH,joint axis reference,REFERENCE/RESERVATION,28.498912,96.501088,-3.500000,3.500000,206.498912,213.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_ANKLE_PITCH,joint axis reference,REFERENCE/RESERVATION,28.498912,96.501088,-3.500000,3.500000,41.498912,48.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_ANKLE_ROLL,joint axis reference,REFERENCE/RESERVATION,59.000000,66.000000,-34.001088,34.001088,33.498912,40.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_SHOULDER_PITCH,joint axis reference,REFERENCE/RESERVATION,-139.001088,-70.998912,-3.500000,3.500000,586.498912,593.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_SHOULDER_ROLL,joint axis reference,REFERENCE/RESERVATION,-108.500000,-101.500000,-34.001088,34.001088,586.498912,593.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_ELBOW_PITCH,joint axis reference,REFERENCE/RESERVATION,-169.001088,-100.998912,-3.500000,3.500000,436.498912,443.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_WRIST_ROTATION,joint axis reference,REFERENCE/RESERVATION,-143.501088,-136.498912,-3.500000,3.500000,260.998912,329.001088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_GRIPPER,joint axis reference,REFERENCE/RESERVATION,-174.001088,-105.998912,-3.500000,3.500000,248.498912,255.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_HIP_YAW,joint axis reference,REFERENCE/RESERVATION,-66.001088,-58.998912,-3.500000,3.500000,362.998912,431.001088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_HIP_ROLL,joint axis reference,REFERENCE/RESERVATION,-66.000000,-59.000000,-34.001088,34.001088,384.498912,391.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_HIP_PITCH,joint axis reference,REFERENCE/RESERVATION,-96.501088,-28.498912,-3.500000,3.500000,376.498912,383.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_KNEE_PITCH,joint axis reference,REFERENCE/RESERVATION,-96.501088,-28.498912,-3.500000,3.500000,206.498912,213.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_ANKLE_PITCH,joint axis reference,REFERENCE/RESERVATION,-96.501088,-28.498912,-3.500000,3.500000,41.498912,48.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_ANKLE_ROLL,joint axis reference,REFERENCE/RESERVATION,-66.000000,-59.000000,-34.001088,34.001088,33.498912,40.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,-3.000933,3.000933,-3.000000,3.000000,630.999067,669.000933,"JMF-01-COMPACT hollow shaft candidate with 3.7 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,-7.502331,7.502331,-7.500000,7.500000,660.997669,666.002331,JMF-01-COMPACT bearing envelope; exact bearing selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,-19.000000,19.000000,-18.000000,18.000000,665.998994,669.001006,JMF-01-COMPACT provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_CABLE_CORRIDOR,joint cable corridor,REFERENCE/RESERVATION,-3.000933,3.000933,7.080000,13.080000,630.999067,669.000933,JMF-01-COMPACT routing reservation; cable construction and bend control selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_ACTUATOR_VENDOR_CANDIDATE,joint actuator vendor geometry,PHYSICAL ENVELOPE,-24.500000,9.500000,-10.000000,10.000000,591.500000,620.500000,ROBOTIS-XC330 SHA-bound manufacturer geometry in STEP; dimension-matched simplified body in GLB; project mounting interface remains candidate,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_ACTUATOR_OUTPUT_COUPLER,joint transmission,PHYSICAL ENVELOPE,-2.160671,2.160671,-2.160000,2.160000,613.999329,650.000671,"coaxial output coupling candidate; spline, clamp, material and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,-19.000933,19.000933,-3.000000,3.000000,686.999067,693.000933,"JMF-01-COMPACT hollow shaft candidate with 3.7 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,10.997669,16.002331,-7.500000,7.500000,682.497669,697.502331,JMF-01-COMPACT bearing envelope; exact bearing selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,15.998994,19.001006,-18.000000,18.000000,671.000000,709.000000,JMF-01-COMPACT provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_CABLE_CORRIDOR,joint cable corridor,REFERENCE/RESERVATION,-19.000933,19.000933,7.080000,13.080000,686.999067,693.000933,JMF-01-COMPACT routing reservation; cable construction and bend control selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_ACTUATOR_VENDOR_CANDIDATE,joint actuator vendor geometry,PHYSICAL ENVELOPE,-58.500000,-29.500000,-10.000000,10.000000,665.500000,699.500000,ROBOTIS-XC330 SHA-bound manufacturer geometry in STEP; dimension-matched simplified body in GLB; project mounting interface remains candidate,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_ACTUATOR_OUTPUT_COUPLER,joint transmission,PHYSICAL ENVELOPE,-36.000671,0.000671,-2.160000,2.160000,687.839329,692.160671,"coaxial output coupling candidate; spline, clamp, material and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,-8.002487,8.002487,-8.000000,8.000000,405.997513,444.002487,"JMF-05-WAIST hollow shaft candidate with 9.9 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,-20.006216,20.006216,-20.000000,20.000000,428.993784,439.006216,JMF-05-WAIST bearing envelope; exact bearing selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,-36.000000,36.000000,-49.000000,49.000000,438.997474,444.002526,JMF-05-WAIST provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_CABLE_CORRIDOR,joint cable corridor,REFERENCE/RESERVATION,-9.002797,9.002797,11.160000,29.160000,405.997203,444.002797,JMF-05-WAIST routing reservation; cable construction and bend control selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_ACTUATOR_VENDOR_CANDIDATE,joint actuator vendor geometry,PHYSICAL ENVELOPE,-44.750000,13.750000,-16.750000,16.750000,357.500000,411.800000,ROBOTIS-540 SHA-bound manufacturer geometry in STEP; dimension-matched simplified body in GLB; project mounting interface remains candidate,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_ACTUATOR_OUTPUT_COUPLER,joint transmission,PHYSICAL ENVELOPE,-5.761790,5.761790,-5.760000,5.760000,381.998210,425.001790,"coaxial output coupling candidate; spline, clamp, material and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,74.998446,135.001554,-5.000000,5.000000,584.998446,595.001554,"JMF-03-SHOULDER-GIMBAL hollow shaft candidate with 6.2 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_BEARING_A_RING,joint module bearing,PHYSICAL ENVELOPE,78.996581,85.003419,-11.000000,11.000000,578.996581,601.003419,JMF-03-SHOULDER-GIMBAL bearing envelope; exact bearing selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_INTERFACE_PLATE_A,joint module interface plate,PHYSICAL ENVELOPE,74.998416,79.001584,-29.000000,29.000000,558.000000,622.000000,JMF-03-SHOULDER-GIMBAL provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,124.996581,131.003419,-11.000000,11.000000,578.996581,601.003419,JMF-03-SHOULDER-GIMBAL bearing envelope; exact bearing selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,130.998416,135.001584,-29.000000,29.000000,558.000000,622.000000,JMF-03-SHOULDER-GIMBAL provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_CABLE_CORRIDOR,joint cable corridor,REFERENCE/RESERVATION,74.998446,135.001554,11.240000,21.240000,584.998446,595.001554,JMF-03-SHOULDER-GIMBAL routing reservation; cable construction and bend control selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_OUTPUT_PULLEY,joint transmission,PHYSICAL ENVELOPE,98.995027,111.004973,-16.004973,16.004973,574.000000,606.000000,1.0:1 initial candidate lightweight spoked pulley envelope; pitch/width/tooth count selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_MOTOR_PULLEY,joint transmission,PHYSICAL ENVELOPE,98.996270,111.003730,25.996270,50.003730,578.000000,602.000000,1.0:1 initial candidate lightweight spoked motor pulley envelope; bore and retention selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_ACTUATOR_VENDOR_CANDIDATE,joint actuator vendor geometry,PHYSICAL ENVELOPE,80.500000,134.800000,21.250000,54.750000,545.250000,603.750000,ROBOTIS-540 SHA-bound manufacturer geometry in STEP; dimension-matched simplified body in GLB; project mounting interface remains candidate,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_BELT_PATH_RESERVATION,joint transmission reservation,REFERENCE/RESERVATION,101.000000,109.000000,-0.001243,38.001243,585.998757,594.001243,belt sweep/guard reservation only; no belt selection or load credit,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,100.000000,110.000000,-30.001554,30.001554,584.998446,595.001554,"JMF-03-SHOULDER-GIMBAL hollow shaft candidate with 6.2 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_BEARING_A_RING,joint module bearing,PHYSICAL ENVELOPE,94.000000,116.000000,-26.003419,-19.996581,578.996581,601.003419,JMF-03-SHOULDER-GIMBAL bearing envelope; exact bearing selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_INTERFACE_PLATE_A,joint module interface plate,PHYSICAL ENVELOPE,76.000000,134.000000,-30.001584,-25.998416,558.000000,622.000000,JMF-03-SHOULDER-GIMBAL provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,94.000000,116.000000,19.996581,26.003419,578.996581,601.003419,JMF-03-SHOULDER-GIMBAL bearing envelope; exact bearing selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,76.000000,134.000000,25.998416,30.001584,558.000000,622.000000,JMF-03-SHOULDER-GIMBAL provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
