dynamic_link,assembly_group,baseline_allocation_kg,identified_minimum_candidate_kg,identified_planning_candidate_kg,identified_maximum_candidate_kg,allocation_minus_planning_kg,reconciled_dynamics_mass_kg,reconciled_com_x_m,reconciled_com_y_m,reconciled_com_z_m,identified_item_count,status,warning
R_shoulder_pitch_link,R arm,0.100000000,0.261770129,0.261770129,0.261770129,-0.161770129,0.261770129,-0.104570328,0.025592582,0.580527121,8,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_upper_arm,R arm,0.270000000,0.491137841,0.574137841,0.574137841,-0.304137841,0.574137841,-0.102017133,0.000195903,0.502592419,17,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_forearm,R arm,0.220000000,0.183885068,0.183885068,0.183885068,0.036114932,0.220000000,-0.140951213,0.000000000,0.348606327,9,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_hand,R hand,0.180000000,0.041153798,0.041153798,0.041153798,0.138846202,0.180000000,-0.127461421,-0.000509022,0.268778047,6,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_gripper,R hand,0.030000000,0.000000000,0.000000000,0.000000000,0.030000000,0.030000000,-0.125000000,0.000000000,0.232000000,0,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_hip_yaw_link,R leg,0.080000000,0.000000000,0.000000000,0.000000000,0.080000000,0.080000000,-0.062500000,0.000000000,0.397000000,0,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_hip_roll_link,R leg,0.080000000,0.000000000,0.000000000,0.000000000,0.080000000,0.080000000,-0.062500000,0.000000000,0.388000000,0,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_thigh,R leg,0.660000000,1.569667426,1.569667426,1.569667426,-0.909667426,1.569667426,-0.063936461,0.000071655,0.321165010,36,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_shin,R leg,0.470000000,0.884419342,0.884419342,0.884419342,-0.414419342,0.884419342,-0.062372826,0.000127174,0.068385718,23,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_ankle_pitch_link,R leg,0.130000000,0.000000000,0.000000000,0.000000000,0.130000000,0.130000000,-0.062500000,0.000000000,0.045000000,0,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
R_foot,R foot,0.605000000,0.125579565,0.125579565,0.125579565,0.479420435,0.605000000,-0.062500000,-0.015645820,0.017242872,3,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
