axis_id,family_id,shared_assembly_id,axis_center_mm,axis_direction,shaft_candidate_mm,bearing_envelope_each_mm,plate_candidate_mm,external_mount_pattern,transmission,ratio,cable_corridor_diameter_mm,selection_state,authority
L_HIP_PITCH,JMF-07-LEG-REDUCED-15,L_HIP_PITCH_MODULE,"(62.500, 0.000, 370.000)","(1, 0, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,72.0 x 78.0 x 5.0,4 x DIA 5.5 on 58.0 x 64.0 rectangle,MISUMI GPA20/GPA30GT5090 plus GBN225EV5GT-090 candidate with output encoder,1.5:1 exact product/geometry candidate,12.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
L_KNEE_PITCH,JMF-09-KNEE-REDUCED-25,L_KNEE_PITCH_MODULE,"(62.500, 0.000, 210.000)","(1, 0, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,74.0 x 78.0 x 5.0,4 x DIA 5.5 on 60.0 x 64.0 rectangle,MISUMI GPA16GT5090-A-P10/GPA40GT5090-A-P12 plus GBN250EV5GT-090 knee candidate with output encoder,2.5:1 exact product/geometry candidate,12.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
L_ANKLE_PITCH,JMF-10-ANKLE-PITCH-REDUCED-25,L_ANKLE_PITCH_MODULE,"(62.500, 0.000, 55.000)","(1, 0, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,74.0 x 72.0 x 5.0,4 x DIA 5.5 on 60.0 x 58.0 rectangle,MISUMI GPA16/GPA40GT5090 plus GBN250EV5GT-090 ankle candidate with output encoder,2.5:1 exact product/geometry candidate,10.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
L_ANKLE_ROLL,JMF-08-LEG-REDUCED-20,L_ANKLE_ROLL_MODULE,"(62.500, 0.000, 35.000)","(0, 1, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,74.0 x 70.0 x 5.0,4 x DIA 5.5 on 60.0 x 56.0 rectangle,MISUMI GPA20/GPA40GT5090 plus GBN255EV5GT-090 candidate with output encoder,2.0:1 exact product/geometry candidate,12.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_SHOULDER_PITCH,JMF-03-SHOULDER-GIMBAL,R_SHOULDER_GIMBAL,"(-90.000, 0.000, 590.000)","(1, 0, 0)",OD 10.0 x 54.0,OD 22.0 x W 6.0 x 2,52.0 x 56.0 x 4.0,4 x DIA 4.5 on 40.0 x 44.0 rectangle,two remote supported 16:24 5GT drives with GBN185EV5GT-090 belts sharing one compact XM430 gimbal housing,1.5:1 exact catalogue candidate,10.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_SHOULDER_ROLL,JMF-03-SHOULDER-GIMBAL,R_SHOULDER_GIMBAL,"(-90.000, 0.000, 590.000)","(0, 1, 0)",OD 10.0 x 54.0,OD 22.0 x W 6.0 x 2,52.0 x 56.0 x 4.0,4 x DIA 4.5 on 40.0 x 44.0 rectangle,two remote supported 16:24 5GT drives with GBN185EV5GT-090 belts sharing one compact XM430 gimbal housing,1.5:1 exact catalogue candidate,10.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_ELBOW_PITCH,JMF-04-MEDIUM,R_ELBOW_PITCH_MODULE,"(-128.000, 0.000, 444.893)","(1, 0, 0)",OD 10.0 x 54.0,OD 22.0 x W 6.0 x 1,52.0 x 56.0 x 4.0,4 x DIA 4.5 on 40.0 x 44.0 rectangle,direct supported output,1.0:1 candidate,9.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_WRIST_ROTATION,JMF-01-COMPACT,R_WRIST_ROTATION_MODULE,"(-133.000, 0.000, 299.979)","(0, 0, 1)",OD 6.0 x 38.0,OD 15.0 x W 5.0 x 1,36.0 x 38.0 x 3.0,4 x DIA 3.4 on 26.0 x 28.0 rectangle,direct supported output,1.0:1 candidate,6.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_GRIPPER,JMF-02-GRIPPER,R_GRIPPER_MODULE,"(-133.000, 0.000, 256.979)","(-1, 0, 0)",OD 5.0 x 34.0,OD 16.0 x W 5.0 x 1,42.0 x 38.0 x 3.0,4 x DIA 3.4 on 32.0 x 26.0 rectangle,symmetric rack/pinion or tendon coupling,SELECTION REQUIRED,6.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_YAW,JMF-06-LEG-DIRECT,R_HIP_YAW_MODULE,"(-62.500, 0.000, 410.000)","(0, 0, 1)",OD 12.0 x 70.0,OD 24.0 x W 6.0 x 1,66.0 x 70.0 x 5.0,4 x DIA 5.5 on 52.0 x 56.0 rectangle,direct supported output,1.0:1 W0 candidate,12.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_ROLL,JMF-08-LEG-REDUCED-20,R_HIP_ROLL_MODULE,"(-62.500, 0.000, 390.000)","(0, 1, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,74.0 x 70.0 x 5.0,4 x DIA 5.5 on 60.0 x 56.0 rectangle,MISUMI GPA20/GPA40GT5090 plus GBN255EV5GT-090 candidate with output encoder,2.0:1 exact product/geometry candidate,12.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_PITCH,JMF-07-LEG-REDUCED-15,R_HIP_PITCH_MODULE,"(-62.500, 0.000, 370.000)","(1, 0, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,72.0 x 78.0 x 5.0,4 x DIA 5.5 on 58.0 x 64.0 rectangle,MISUMI GPA20/GPA30GT5090 plus GBN225EV5GT-090 candidate with output encoder,1.5:1 exact product/geometry candidate,12.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_KNEE_PITCH,JMF-09-KNEE-REDUCED-25,R_KNEE_PITCH_MODULE,"(-62.500, 0.000, 210.000)","(1, 0, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,74.0 x 78.0 x 5.0,4 x DIA 5.5 on 60.0 x 64.0 rectangle,MISUMI GPA16GT5090-A-P10/GPA40GT5090-A-P12 plus GBN250EV5GT-090 knee candidate with output encoder,2.5:1 exact product/geometry candidate,12.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_ANKLE_PITCH,JMF-10-ANKLE-PITCH-REDUCED-25,R_ANKLE_PITCH_MODULE,"(-62.500, 0.000, 55.000)","(1, 0, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,74.0 x 72.0 x 5.0,4 x DIA 5.5 on 60.0 x 58.0 rectangle,MISUMI GPA16/GPA40GT5090 plus GBN250EV5GT-090 ankle candidate with output encoder,2.5:1 exact product/geometry candidate,10.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
R_ANKLE_ROLL,JMF-08-LEG-REDUCED-20,R_ANKLE_ROLL_MODULE,"(-62.500, 0.000, 35.000)","(0, 1, 0)",OD 12.0 x 74.0,OD 24.0 x W 6.0 x 2,74.0 x 70.0 x 5.0,4 x DIA 5.5 on 60.0 x 56.0 rectangle,MISUMI GPA20/GPA40GT5090 plus GBN255EV5GT-090 candidate with output encoder,2.0:1 exact product/geometry candidate,12.0,"GEOMETRIC CANDIDATE - BEARINGS, FITS, MATERIAL, FASTENERS, STOPS, ENCODER AND ACTUATOR INTERFACE SELECTION REQUIRED","NO PROCUREMENT, FABRICATION, MOTION OR ENERGIZATION AUTHORITY"
