link_a,link_b,reason,scope
L_ankle_pitch_link,L_foot,DIRECT KINEMATIC INTERFACE L_ANKLE_ROLL,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_gripper,R_hand,DIRECT KINEMATIC INTERFACE R_GRIPPER,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_hip_roll_link,R_hip_yaw_link,DIRECT KINEMATIC INTERFACE R_HIP_ROLL,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_hip_roll_link,R_thigh,DIRECT KINEMATIC INTERFACE R_HIP_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_hip_roll_link,base_link,NESTED PELVIS/HIP GIMBAL ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_hip_yaw_link,R_thigh,NESTED HIP GIMBAL ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_hip_yaw_link,base_link,DIRECT KINEMATIC INTERFACE R_HIP_YAW,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_shin,R_thigh,DIRECT KINEMATIC INTERFACE R_KNEE_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_shoulder_pitch_link,R_upper_arm,DIRECT KINEMATIC INTERFACE R_SHOULDER_ROLL,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_shoulder_pitch_link,torso,DIRECT KINEMATIC INTERFACE R_SHOULDER_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_thigh,base_link,PELVIS/HIP/THIGH STRUCTURAL INTERFACE ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_upper_arm,torso,TORSO/SHOULDER STRUCTURAL INTERFACE ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
base_link,torso,DIRECT KINEMATIC INTERFACE WAIST_YAW,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
head,neck_pan_link,DIRECT KINEMATIC INTERFACE HEAD_TILT,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
neck_pan_link,torso,DIRECT KINEMATIC INTERFACE HEAD_PAN,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
