axis_id,region,candidate_actuator,actuator_family,bus_id,segment_position_provisional,protocol,protocol_compatibility,actuator_connector_contacts,official_interface_source,official_interface_accessed_date,actuator_id,connector_pin_mapping,actuator_side_housing,actuator_pcb_header,actuator_side_crimp_terminal,manufacturer_published_dynamixel_wire_gauge,controller_side_connector_and_pin_mapping,branch_power_injection,authority
R_ANKLE_PITCH,leg,ROBOTIS XM430-W350-R evaluation candidate,XM430,RS-RLEG,5,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_ANKLE_ROLL,leg,ROBOTIS XM430-W350-R evaluation candidate,XM430,RS-RLEG,6,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_SHOULDER_PITCH,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-LARM,1,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_SHOULDER_ROLL,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-LARM,2,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_ELBOW_PITCH,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-LARM,3,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_SHOULDER_PITCH,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-RARM,1,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_SHOULDER_ROLL,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-RARM,2,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_ELBOW_PITCH,arm,ROBOTIS XM430-W350-R candidate,XM430,RS-RARM,3,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
WAIST_YAW,waist,ROBOTIS XM540-W270-R candidate,XM540,RS-WAIST,1,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_WRIST_ROTATION,arm,ROBOTIS XC330-T288-T candidate,XC330,TTL-LDIST,1,TTL HALF-DUPLEX,MATCH,3,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,JST EHR-03,JST B3B-EH-A,JST SEH-001T-P0.6,21 AWG,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_GRIPPER,hand,ROBOTIS XC330-class compact candidate,XC330,TTL-LDIST,2,TTL HALF-DUPLEX,MATCH,3,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,JST EHR-03,JST B3B-EH-A,JST SEH-001T-P0.6,21 AWG,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_WRIST_ROTATION,arm,ROBOTIS XC330-T288-T candidate,XC330,TTL-RDIST,1,TTL HALF-DUPLEX,MATCH,3,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,JST EHR-03,JST B3B-EH-A,JST SEH-001T-P0.6,21 AWG,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_GRIPPER,hand,ROBOTIS XC330-class compact candidate,XC330,TTL-RDIST,2,TTL HALF-DUPLEX,MATCH,3,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,JST EHR-03,JST B3B-EH-A,JST SEH-001T-P0.6,21 AWG,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HEAD_PAN,head,ROBOTIS XC330-class compact X-series candidate,XC330,TTL-HEAD,1,TTL HALF-DUPLEX,MATCH,3,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,JST EHR-03,JST B3B-EH-A,JST SEH-001T-P0.6,21 AWG,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HEAD_TILT,head,ROBOTIS XC330-class compact X-series candidate,XC330,TTL-HEAD,2,TTL HALF-DUPLEX,MATCH,3,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,JST EHR-03,JST B3B-EH-A,JST SEH-001T-P0.6,21 AWG,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
