map_id,harness_id,position,mcu_contact,carrier_contact,net,population,wire_candidate,wire_color,end_labels,cut_length_mm,continuity,short_to_adjacent,retention,authority,warning
E1-HA-B-04,E1-HA-B,4,JCB1.4,JCB1.4,UART_RS-WAIST_TX,POPULATED BOTH ENDS,Belden 1852 BL005,BLUE,E1-HA-B-P04 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-05,E1-HA-B,5,JCB1.5,JCB1.5,UART_RS-WAIST_RX,POPULATED BOTH ENDS,Belden 1852 WH005,WHITE,E1-HA-B-P05 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-06,E1-HA-B,6,JCB1.6,JCB1.6,UART_RS-WAIST_DIR,POPULATED BOTH ENDS,Belden 1852 OR005,ORANGE,E1-HA-B-P06 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-07,E1-HA-B,7,JCB1.7,JCB1.7,UART_TTL-LDIST_TX,POPULATED BOTH ENDS,Belden 1852 BL005,BLUE,E1-HA-B-P07 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-08,E1-HA-B,8,JCB1.8,JCB1.8,UART_TTL-LDIST_DIR,POPULATED BOTH ENDS,Belden 1852 OR005,ORANGE,E1-HA-B-P08 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-09,E1-HA-B,9,JCB1.9,JCB1.9,UART_TTL-RDIST_TX,POPULATED BOTH ENDS,Belden 1852 BL005,BLUE,E1-HA-B-P09 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-10,E1-HA-B,10,JCB1.10,JCB1.10,UART_TTL-RDIST_DIR,POPULATED BOTH ENDS,Belden 1852 OR005,ORANGE,E1-HA-B-P10 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-11,E1-HA-B,11,JCB1.11,JCB1.11,UART_TTL-HEAD_TX,POPULATED BOTH ENDS,Belden 1852 BL005,BLUE,E1-HA-B-P11 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-12,E1-HA-B,12,JCB1.12,JCB1.12,UART_TTL-HEAD_DIR,POPULATED BOTH ENDS,Belden 1852 OR005,ORANGE,E1-HA-B-P12 BOTH ENDS,310.000,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-13,E1-HA-B,13,JCB1.13,EMPTY CAVITY,EMPTY,EMPTY BOTH ENDS - NO CONTACT/WIRE,NONE,NONE,EMPTY-CAVITY WITNESS,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-14,E1-HA-B,14,JCB1.14,EMPTY CAVITY,EMPTY,EMPTY BOTH ENDS - NO CONTACT/WIRE,NONE,NONE,EMPTY-CAVITY WITNESS,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
E1-HA-B-15,E1-HA-B,15,JCB1.15,EMPTY CAVITY,EMPTY,EMPTY BOTH ENDS - NO CONTACT/WIRE,NONE,NONE,EMPTY-CAVITY WITNESS,NONE,NOT EXECUTED,NOT EXECUTED,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT E1 LOGIC HARNESS CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, WALKING, OR ENERGIZATION"
