axis_id,distribution_node,incoming_trunk,breakout_interface,candidate_terminal_female,candidate_terminal_male,local_pair,actuator_pigtail,polarity,serviceability,state,authority,warning
L_HIP_PITCH,DP-LLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 5 ORANGE=RETURN; cavity 6 BLUE=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_KNEE_PITCH,DP-LLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 7 BROWN=RETURN; cavity 8 YELLOW=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_ANKLE_PITCH,DP-LLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 9 VIOLET=RETURN; cavity 10 SLATE=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_ANKLE_ROLL,DP-LLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 11 PINK=RETURN; cavity 12 TAN=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_SHOULDER_PITCH,DP-RARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 1 BLACK=RETURN; cavity 2 RED=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_SHOULDER_ROLL,DP-RARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 3 WHITE=RETURN; cavity 4 GREEN=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_ELBOW_PITCH,DP-RARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 5 ORANGE=RETURN; cavity 6 BLUE=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_WRIST_ROTATION,DP-RARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 7 BROWN=RETURN; cavity 8 YELLOW=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_GRIPPER,DP-RARM,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 9 VIOLET=RETURN; cavity 10 SLATE=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_HIP_YAW,DP-RLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 1 BLACK=RETURN; cavity 2 RED=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_HIP_ROLL,DP-RLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 3 WHITE=RETURN; cavity 4 GREEN=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_HIP_PITCH,DP-RLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 5 ORANGE=RETURN; cavity 6 BLUE=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_KNEE_PITCH,DP-RLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 7 BROWN=RETURN; cavity 8 YELLOW=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_ANKLE_PITCH,DP-RLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 9 VIOLET=RETURN; cavity 10 SLATE=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_ANKLE_ROLL,DP-RLEG,861812,12-circuit Micro-Fit for 861812; 4-circuit Micro-Fit for 861804; 2-circuit Micro-Fit for 861802,430300038,430310021,861802 2C 18 AWG,Alpha Wire 3051 22 AWG to JST EH; restrained and non-flexing,incoming cavity 11 PINK=RETURN; cavity 12 TAN=VDD; local 861802 BLACK=RETURN/RED=VDD,connectorized breakout board; no jacket mid-span splice,"PHYSICAL SUCCESSOR CONCEPT - PCB, HOUSING SIZE, CLAMP AND ACTUATOR-END LENGTH OPEN","NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DISTRIBUTED ACTUATOR-POWER HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
