net,p115_connection_count,p118_connection_count,delta_state,added_connections,removed_connections,original_membership_preserved,warning
INTENTIONALLY_UNUSED_UDRV2_12,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV2_13,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV2_14,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UDRV2_15,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UFB1_12,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UFB1_13,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UFB1_6,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
INTENTIONALLY_UNUSED_UFB1_7,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
J1_FUSED_PRELIMIT,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
J1_LIMITED_VDD,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
J2_FUSED_PRELIMIT,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
J2_LIMITED_VDD,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
J3_FUSED_PRELIMIT,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
J3_LIMITED_VDD,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_A1,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_J12,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_J23,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_OUT,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_P1_IN,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_STATUS,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_A1,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_J12,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_J23,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_STATUS,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PI_HEARTBEAT,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PI_USB_U2D2,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ROBOT_FRAME,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SAFETY_0V,41,49,EXPLICIT_NODE_TERMINALS_ADDED_ONLY,01_external_sources.kicad_sch:XD0:01 | 01_external_sources.kicad_sch:XD0:02 | 01_external_sources.kicad_sch:XD0:03 | 01_external_sources.kicad_sch:XD0:04 | 01_external_sources.kicad_sch:XD0:05 | 01_external_sources.kicad_sch:XD0:06 | 01_external_sources.kicad_sch:XD0:07 | 01_external_sources.kicad_sch:XD0:LINE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SAFETY_24V,21,36,EXPLICIT_NODE_TERMINALS_ADDED_ONLY,01_external_sources.kicad_sch:XD24:01 | 01_external_sources.kicad_sch:XD24:02 | 01_external_sources.kicad_sch:XD24:03 | 01_external_sources.kicad_sch:XD24:04 | 01_external_sources.kicad_sch:XD24:05 | 01_external_sources.kicad_sch:XD24:06 | 01_external_sources.kicad_sch:XD24:07 | 01_external_sources.kicad_sch:XD24:08 | 01_external_sources.kicad_sch:XD24:09 | 01_external_sources.kicad_sch:XD24:10 | 01_external_sources.kicad_sch:XD24:11 | 01_external_sources.kicad_sch:XD24:12 | 01_external_sources.kicad_sch:XD24:13 | 01_external_sources.kicad_sch:XD24:14 | 01_external_sources.kicad_sch:XD24:LINE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SAFETY_24V_RAW,3,3,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_A1_WD_GATED,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_DIAG_NC,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_S11,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_S12,3,6,EXPLICIT_NODE_TERMINALS_ADDED_ONLY,02_estop_eligibility.kicad_sch:XN1:1 | 02_estop_eligibility.kicad_sch:XN1:2 | 02_estop_eligibility.kicad_sch:XN1:3,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_S21,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_S22,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_START_RETURN,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_STATUS,3,6,EXPLICIT_NODE_TERMINALS_ADDED_ONLY,02_estop_eligibility.kicad_sch:XN3:1 | 02_estop_eligibility.kicad_sch:XN3:2 | 02_estop_eligibility.kicad_sch:XN3:3,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_DIAG_NC,1,1,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_K1_RAW,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_K2_RAW,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_S11,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_S12,3,6,EXPLICIT_NODE_TERMINALS_ADDED_ONLY,03_arm_watchdog_eligibility.kicad_sch:XN2:1 | 03_arm_watchdog_eligibility.kicad_sch:XN2:2 | 03_arm_watchdog_eligibility.kicad_sch:XN2:3,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_S21,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_S22,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_START_RETURN,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_STATUS,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UFB_OUT1,3,3,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UFB_OUT2,3,3,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD1_COIL_N,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD1_DRIVE,3,3,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD1_NC_24V,5,5,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD1_NC_DIAG,3,3,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD2_COIL_N,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD2_DRIVE,3,3,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD2_NC_24V,5,5,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD2_NC_DIAG,3,3,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD_3V3,6,6,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD_5V,3,3,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD_HEARTBEAT,4,4,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD_SUPPLY_INTERMEDIATE,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD_SWCLK,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WD_SWDIO,2,2,IDENTICAL,NONE,NONE,TRUE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
