sheet,reference,terminal,pin_name,net,status,delta,warning
01_external_sources.kicad_sch,XD24,05,24 V LOAD 05,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,06,24 V LOAD 06,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,07,24 V LOAD 07,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,08,24 V LOAD 08,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,09,24 V LOAD 09,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,10,24 V LOAD 10,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,11,24 V LOAD 11,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,12,24 V LOAD 12,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,13,24 V LOAD 13,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,14,24 V LOAD 14,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
01_external_sources.kicad_sch,XD24,LINE,PROTECTED 24 V FEED,SAFETY_24V,EXACT CATALOG CANDIDATE - TOPOLOGY/PROTECTION/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_estop_eligibility.kicad_sch,XN1,1,SR1 S12,SR1_S12,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_estop_eligibility.kicad_sch,XN1,2,S0 CH1 RETURN,SR1_S12,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_estop_eligibility.kicad_sch,XN1,3,RESET FEED,SR1_S12,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_estop_eligibility.kicad_sch,XN3,1,SR1 Y32,SR1_STATUS,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_estop_eligibility.kicad_sch,XN3,2,H1 DIAGNOSTIC,SR1_STATUS,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_estop_eligibility.kicad_sch,XN3,3,XT1-03 DIAGNOSTIC,SR1_STATUS,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_arm_watchdog_eligibility.kicad_sch,XN2,1,SR1 OUTPUT 14,SRA1_S12,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_arm_watchdog_eligibility.kicad_sch,XN2,2,SRA1 S12,SRA1_S12,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_arm_watchdog_eligibility.kicad_sch,XN2,3,ARM FEED,SRA1_S12,EXACT CATALOG CANDIDATE - TOPOLOGY/PHYSICAL REVIEW HOLD,ADDED_EXPLICIT_TOPOLOGY_TERMINAL,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
