reference,value,quantity,state,warning
RSO1,1.00 kohm 1% 0.125 W 0805; Panasonic ERJ6ENF1001V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD1,10.0 kohm 1% 0.125 W 0805; Panasonic ERJ6ENF1002V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO2,1.00 kohm 1% 0.125 W 0805; Panasonic ERJ6ENF1001V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD2,10.0 kohm 1% 0.125 W 0805; Panasonic ERJ6ENF1002V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO3,1.00 kohm 1% 0.125 W 0805; Panasonic ERJ6ENF1001V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD3,10.0 kohm 1% 0.125 W 0805; Panasonic ERJ6ENF1002V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO4,1.00 kohm 1% 0.125 W 0805; Panasonic ERJ6ENF1001V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPD4,10.0 kohm 1% 0.125 W 0805; Panasonic ERJ6ENF1002V,1,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CDEC1,100 nF 50 V X7R; Murata GRM21BR71H104KA01L,1,EXACT COMPONENT CANDIDATE - PLACEMENT/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CDEC2,100 nF 50 V X7R; Murata GRM21BR71H104KA01L,1,EXACT COMPONENT CANDIDATE - PLACEMENT/PCB HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
