name,version,architecture,distro,upstream,purl,spdx_id,files_analyzed,package_verification_code,supplier,source_info,evidence_state,warning
bash-completion,1:2.16.0-7,all,debian-13,,pkg:deb/debian/bash-completion@1:2.16.0-7?arch=all&distro=debian-13,SPDXRef-Package-deb-bash-completion-bf8639731e15ec2e,true,06e55a780dbba1bf30d52cc6ca0f3e546ba6f566,Person: Gabriel F. T. Gomes (gabriel@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/bash-completion/copyright, /var/lib/dpkg/info/bash-completion.conffiles, /var/lib/dpkg/info/bash-completion.md5sums, /var/lib/dpkg/info/bash-completion.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
binutils,2.44-3,arm64,debian-13,,pkg:deb/debian/binutils@2.44-3?arch=arm64&distro=debian-13,SPDXRef-Package-deb-binutils-af128c5db98538dd,true,da02633b1e042bdeb2931396262eb969b0efd499,Person: Matthias Klose (doko@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/binutils/copyright, /var/lib/dpkg/info/binutils.conffiles, /var/lib/dpkg/info/binutils.md5sums, /var/lib/dpkg/info/binutils.list, /var/lib/dpkg/info/binutils.preinst",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
binutils-aarch64-linux-gnu,2.44-3,arm64,debian-13,binutils,pkg:deb/debian/binutils-aarch64-linux-gnu@2.44-3?arch=arm64&distro=debian-13&upstream=binutils,SPDXRef-Package-deb-binutils-aarch64-linux-gnu-ce2af75047433461,true,ec6727aab90d47554dc67369cc36f9fb90b8d474,Person: Matthias Klose (doko@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/binutils-common/copyright, /var/lib/dpkg/info/binutils-aarch64-linux-gnu.md5sums, /var/lib/dpkg/info/binutils-aarch64-linux-gnu.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
binutils-common,2.44-3,arm64,debian-13,binutils,pkg:deb/debian/binutils-common@2.44-3?arch=arm64&distro=debian-13&upstream=binutils,SPDXRef-Package-deb-binutils-common-73894e85ff3f70a6,true,cd99839db32ac938c3079b73d9caeddc97f71530,Person: Matthias Klose (doko@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/binutils-common/copyright, /var/lib/dpkg/info/binutils-common:arm64.conffiles, /var/lib/dpkg/info/binutils-common:arm64.md5sums",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
bluez,5.82-1.1+rpt1,arm64,debian-13,,pkg:deb/debian/bluez@5.82-1.1+rpt1?arch=arm64&distro=debian-13,SPDXRef-Package-deb-bluez-cef294de34b9bafa,true,ebb31c2df84c36a6faf74c27c32ee2fa17b3683e,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/bluez/copyright, /var/lib/dpkg/info/bluez.conffiles, /var/lib/dpkg/info/bluez.md5sums, /var/lib/dpkg/info/bluez.list, /var/lib/dpkg/info/bluez.postinst, /var/lib/dpkg/info/bluez.postrm, /var/lib/dpkg/info/bluez.preinst, /var/lib/dpkg/info/bluez.prerm",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
bluez-firmware,1.2-13+rpt2,all,debian-13,,pkg:deb/debian/bluez-firmware@1.2-13+rpt2?arch=all&distro=debian-13,SPDXRef-Package-deb-bluez-firmware-db24c751bcd63698,true,b055f911553ad9c560e6c0bb66cddb0e4cbfe6f0,Person: Serge Schneider (serge@raspberrypi.com),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/bluez-firmware/copyright, /var/lib/dpkg/info/bluez-firmware.md5sums, /var/lib/dpkg/info/bluez-firmware.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
bsdextrautils,2.41-5,arm64,debian-13,util-linux,pkg:deb/debian/bsdextrautils@2.41-5?arch=arm64&distro=debian-13&upstream=util-linux,SPDXRef-Package-deb-bsdextrautils-c23db0b188308a2a,true,1d4228222fda98c60c13f28b4e9579bb0489502f,Person: Chris Hofstaedtler (zeha@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/bsdextrautils/copyright, /var/lib/dpkg/info/bsdextrautils.md5sums, /var/lib/dpkg/info/bsdextrautils.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
bsdutils,1:2.41-5,arm64,debian-13,util-linux@2.41-5,pkg:deb/debian/bsdutils@1:2.41-5?arch=arm64&distro=debian-13&upstream=util-linux@2.41-5,SPDXRef-Package-deb-bsdutils-e11ccc6cace058fe,true,fe6a2970206dd13d4010551d8e8ae20346fe85c4,Person: Chris Hofstaedtler (zeha@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/bsdutils/copyright, /var/lib/dpkg/info/bsdutils.md5sums, /var/lib/dpkg/info/bsdutils.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
build-essential,12.12,arm64,debian-13,,pkg:deb/debian/build-essential@12.12?arch=arm64&distro=debian-13,SPDXRef-Package-deb-build-essential-ae80d21c453e675f,true,ff1a909485e1e2d03f579c1e51ab518bc8e57982,Person: Matthias Klose (doko@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/build-essential/copyright, /var/lib/dpkg/info/build-essential.md5sums, /var/lib/dpkg/info/build-essential.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
busybox,1:1.37.0-6+b8,arm64,debian-13,busybox@1:1.37.0-6,pkg:deb/debian/busybox@1:1.37.0-6+b8?arch=arm64&distro=debian-13&upstream=busybox@1:1.37.0-6,SPDXRef-Package-deb-busybox-5797158e08290f1b,true,d4a5cd07edc85a371569ddd13cabb71e7f9d61a4,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/busybox/copyright, /var/lib/dpkg/info/busybox.md5sums, /var/lib/dpkg/info/busybox.list, /var/lib/dpkg/info/busybox.triggers",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
bzip2,1.0.8-6,arm64,debian-13,,pkg:deb/debian/bzip2@1.0.8-6?arch=arm64&distro=debian-13,SPDXRef-Package-deb-bzip2-ecfea8c98b7cb6d6,true,e3342144479fe21a425ac5dc33a976538892c8ef,Person: Anibal Monsalve Salazar (anibal@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/bzip2/copyright, /var/lib/dpkg/info/bzip2.md5sums, /var/lib/dpkg/info/bzip2.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
ca-certificates,20250419,all,debian-13,,pkg:deb/debian/ca-certificates@20250419?arch=all&distro=debian-13,SPDXRef-Package-deb-ca-certificates-f80dc4f1a1be6794,true,28d8a8dbf5c5b53e232c2e98f3d57124d89f93ef,Person: Julien Cristau (jcristau@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/ca-certificates/copyright, /var/lib/dpkg/info/ca-certificates.md5sums, /var/lib/dpkg/info/ca-certificates.config, /var/lib/dpkg/info/ca-certificates.list, /var/lib/dpkg/info/ca-certificates.postinst, /var/lib/dpkg/info/ca-certificates.postrm, /var/lib/dpkg/info/ca-certificates.templates, /var/lib/dpkg/info/ca-certificates.triggers",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
cifs-utils,2:7.4-1,arm64,debian-13,,pkg:deb/debian/cifs-utils@2:7.4-1?arch=arm64&distro=debian-13,SPDXRef-Package-deb-cifs-utils-e7350f2ae612d153,true,760c3657a6eb20cfc75f3ebaa1f5b0357f8a5e0f,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/cifs-utils/copyright, /var/lib/dpkg/info/cifs-utils.conffiles, /var/lib/dpkg/info/cifs-utils.md5sums, /var/lib/dpkg/info/cifs-utils.list, /var/lib/dpkg/info/cifs-utils.postinst, /var/lib/dpkg/info/cifs-utils.prerm",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
cloud-guest-utils,0.33-1,all,debian-13,cloud-utils,pkg:deb/debian/cloud-guest-utils@0.33-1?arch=all&distro=debian-13&upstream=cloud-utils,SPDXRef-Package-deb-cloud-guest-utils-36dc5181e5146b80,true,72661f31ab3e22411c8d7beae8d2121ccc09cf4e,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/cloud-guest-utils/copyright, /var/lib/dpkg/info/cloud-guest-utils.md5sums, /var/lib/dpkg/info/cloud-guest-utils.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
cloud-init,25.2-1~bpo13+1+rpt20,all,debian-13,,pkg:deb/debian/cloud-init@25.2-1~bpo13+1+rpt20?arch=all&distro=debian-13,SPDXRef-Package-deb-cloud-init-91bf3010eca7027a,true,724a579d0a5e3cf9617eee88c5c15986fbbb9d4f,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/cloud-init/copyright, /var/lib/dpkg/info/cloud-init.conffiles, /var/lib/dpkg/info/cloud-init.md5sums, /var/lib/dpkg/info/cloud-init.list, /var/lib/dpkg/info/cloud-init.postinst, /var/lib/dpkg/info/cloud-init.postrm, /var/lib/dpkg/info/cloud-init.preinst, /var/lib/dpkg/info/cloud-init.prerm",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
console-setup,1.242~deb13u1,all,debian-13,,pkg:deb/debian/console-setup@1.242~deb13u1?arch=all&distro=debian-13,SPDXRef-Package-deb-console-setup-9c2f45af018c5d10,true,dac66d4d5d1141f7a01fb20f592f264c8ad6c982,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/keyboard-configuration/copyright, /var/lib/dpkg/info/console-setup.md5sums, /var/lib/dpkg/info/console-setup.config, /var/lib/dpkg/info/console-setup.list, /var/lib/dpkg/info/console-setup.postinst, /var/lib/dpkg/info/console-setup.postrm, /var/lib/dpkg/info/console-setup.templates",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
console-setup-linux,1.242~deb13u1,all,debian-13,console-setup,pkg:deb/debian/console-setup-linux@1.242~deb13u1?arch=all&distro=debian-13&upstream=console-setup,SPDXRef-Package-deb-console-setup-linux-ad8ecfa55da74325,true,2544c64764745c17ae8b07cf910637b269dbf209,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/keyboard-configuration/copyright, /var/lib/dpkg/info/console-setup-linux.conffiles, /var/lib/dpkg/info/console-setup-linux.md5sums, /var/lib/dpkg/info/console-setup-linux.list, /var/lib/dpkg/info/console-setup-linux.postinst, /var/lib/dpkg/info/console-setup-linux.postrm, /var/lib/dpkg/info/console-setup-linux.preinst",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
coreutils,9.7-3,arm64,debian-13,,pkg:deb/debian/coreutils@9.7-3?arch=arm64&distro=debian-13,SPDXRef-Package-deb-coreutils-2993da8365e6c3ce,true,7f63491cd0ae4c4302d36667c8cf5aa7a882a321,Person: Michael Stone (mstone@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/coreutils/copyright, /var/lib/dpkg/info/coreutils.md5sums, /var/lib/dpkg/info/coreutils.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
cpio,2.15+dfsg-2,arm64,debian-13,,pkg:deb/debian/cpio@2.15+dfsg-2?arch=arm64&distro=debian-13,SPDXRef-Package-deb-cpio-e8f27ad8f360f4c4,true,83738736c659a3b9f6255d9d34f950f076efede8,Person: Anibal Monsalve Salazar (anibal@debian.org),"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/cpio/copyright, /var/lib/dpkg/info/cpio.md5sums, /var/lib/dpkg/info/cpio.list, /var/lib/dpkg/info/cpio.postinst, /var/lib/dpkg/info/cpio.prerm",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
cpp,4:14.2.0-1,arm64,debian-13,gcc-defaults@1.220,pkg:deb/debian/cpp@4:14.2.0-1?arch=arm64&distro=debian-13&upstream=gcc-defaults@1.220,SPDXRef-Package-deb-cpp-ae6811621459fbff,true,4a6233907860dd15ee5ddbc9fb22349a467c369c,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/cpp-aarch64-linux-gnu/copyright, /var/lib/dpkg/info/cpp.md5sums, /var/lib/dpkg/info/cpp.list, /var/lib/dpkg/info/cpp.postinst, /var/lib/dpkg/info/cpp.postrm, /var/lib/dpkg/info/cpp.preinst, /var/lib/dpkg/info/cpp.prerm",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
cpp-14,14.2.0-19,arm64,debian-13,gcc-14,pkg:deb/debian/cpp-14@14.2.0-19?arch=arm64&distro=debian-13&upstream=gcc-14,SPDXRef-Package-deb-cpp-14-345080829b9a8447,true,f6c79c043189363511bfd3179a290a96aee86dde,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/gcc-14-base/copyright, /var/lib/dpkg/info/cpp-14.md5sums, /var/lib/dpkg/info/cpp-14.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
cpp-14-aarch64-linux-gnu,14.2.0-19,arm64,debian-13,gcc-14,pkg:deb/debian/cpp-14-aarch64-linux-gnu@14.2.0-19?arch=arm64&distro=debian-13&upstream=gcc-14,SPDXRef-Package-deb-cpp-14-aarch64-linux-gnu-fc98c073397f6abc,true,3eb81a252b5ad43eae05d6717ab9d831041c54bc,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/gcc-14-base/copyright, /var/lib/dpkg/info/cpp-14-aarch64-linux-gnu.md5sums, /var/lib/dpkg/info/cpp-14-aarch64-linux-gnu.list",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
cpp-14-for-host,14.2.0-19,arm64,debian-13,gcc-14,pkg:deb/debian/cpp-14-for-host@14.2.0-19?arch=arm64&distro=debian-13&upstream=gcc-14,SPDXRef-Package-deb-cpp-14-for-host-8709acde310487e6,false,,NOASSERTION,"acquired package info from DPKG DB: /var/lib/dpkg/status, /usr/share/doc/gcc-14-base/copyright, /var/lib/dpkg/info/cpp-14-for-host:arm64.md5sums",PUBLISHER_SBOM_EXTRACT_NOT_TARGET_READBACK,PRELIMINARY - NOT APPROVED FOR IMAGING INSTALLATION CONNECTION POWERED TEST MOTION OR ENERGIZATION
