source_id,manufacturer,document,revision,date,official_url,use_and_limit,warning
OBS2-SRC-011,Panasonic Industry,Precision thick-film chip resistors,AOA0000C304,2025-05-29,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,ERJ6 0805 body and reflow/flow suitability,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-012,Panasonic Industry,Surface-mount resistor land pattern,DMM0000COL17,2025-12-24,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/DMM0000COL17.pdf,"General ERJ6 land envelope used for 562 ohm, 1 kohm and 10 kohm candidates","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-013,Vishay Beyschlag,MMA0204 thin-film MELF resistors,document 28963,2026-06-02,https://www.vishay.com/docs/28963/mmu0102_mma0204_mmb0207.pdf,Exact MMA02040C1001FB300 family/body and date-code condition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-014,Vishay,Recommended solder pad dimensions,document 28950,2022-07-12,https://www.vishay.com/doc/?28950=,IPC-7351 reflow land used conditionally for MMA0204,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-015,Vishay,D/CRCW e3 thick-film chip resistors,document 20035,2026-04-14,https://www.vishay.com/docs/20035/dcrcwe3.pdf,"Exact CRCW12102K70FKEA family, 0.5 W rating and reflow land","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-SRC-016,Texas Instruments,SN74LVC1G125 datasheet,SCES223T Rev T,2014-10; rechecked 2026-08-10,https://www.ti.com/lit/ds/symlink/sn74lvc1g125.pdf,SN74LVC1G125 electrical limits and DBV pinout: 1.65-5.5 V operation; 2.0/0.8 V input thresholds at 2.7-3.6 V; 100 uA output-level rows; Ioff; ICC and delta-ICC rows,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-SRC-017,Texas Instruments,SN74LVC1G125 product and package record,active production DBV-5; package addendum 2026-04-08,rechecked 2026-08-10,https://www.ti.com/product/SN74LVC1G125/part-details/SN74LVC1G125DBVR,Exact active orderable candidate; DBV0005A package drawing controls candidate land geometry; procurement and application approval remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-SRC-018,Panasonic Industry,ERJ6ENF1501V product record,1.50 kohm 1% 0805,rechecked 2026-08-10,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ6ENF1501V,Exact ISO-output series candidate,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-SRC-019,Panasonic Industry,ERJ6ENF4702V product record,47.0 kohm 1% 0805,rechecked 2026-08-10,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ6ENF4702V,Exact buffer-input fail-low candidate,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS3-SRC-021,Panasonic Industry,ERJ6ENF3303V model record,330 kohm 1% 0805,rechecked 2026-08-10,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ6ENF3303V,Exact cable-side fail-low candidate,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS4-SRC-020,Panasonic Industry,ERJ6ENF3902V product record,39.0 kohm 1% 0805; TCR +/-100 ppm/K,rechecked 2026-08-10,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ6ENF3902V,Exact GPIO-path series candidate; tolerance and TCR included in R210 screens,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS4-SRC-022,Texas Instruments,DBV0005A package drawing and board-layout example,4214839/K,2024-08; rechecked 2026-08-10,https://www.ti.com/lit/ds/symlink/sn74lvc1g125.pdf,"Controls five 1.10 x 0.60 mm lands, 0.95 mm pitch, 1.90 mm row span and 2.60 mm row-center spacing","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
