zone_id,family,definition,singular_zone,material_fragment_count,material_volume_mm3,fragment_tags_diagnostic_only_json,fragment_signatures_sha256_json,classification,warning
H1-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,distance <=1 mm from exact H1 back rim at y=9.525,True,1,8.756378073128584,[34],"[""44ee3d62432738bab12e2597c2539fc9b6f00132ec836e8f7ca21e16ca8e8e02""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1-LIGAMENT,HOLE-LIGAMENT,radial band r=2.35..4.35; y=1.0..8.525,False,1,316.78249522472674,[13],"[""4ce9f7136c179786d5ca38b25cc38bbb0b0c20f2793b6f0ad6d77b61c82223e2""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,distance <=1 mm from exact H2 front rim at y=0.0,True,1,8.756378073128584,[43],"[""813c1f0e0c64636990a430ac24a355fa9b8de8e17db72c01880006ced8e829b1""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,distance <=1 mm from exact H2 back rim at y=9.525,True,1,8.756378073128584,[33],"[""e813ec52c0f0038159ad1c0546e93124b0696c84097d436be1107afbdf863d96""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-LIGAMENT,HOLE-LIGAMENT,radial band r=2.35..4.35; y=1.0..8.525,False,1,316.78249522472674,[16],"[""08aae0d8a297bca2ec025add3444f15e135ceebcb8d75545c19d349f053dd54f""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,distance <=1 mm from exact H3 front rim at y=0.0,True,1,8.756378073128584,[46],"[""38dc082a8ffa168fc389bfff837fac7766915dfa7ce65f34b007cb3616d28ad1""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,distance <=1 mm from exact H3 back rim at y=9.525,True,1,8.756378073128584,[38],"[""514e0342268196af72877d5e68e4b985a945163d2ef910f8e740cd13f8f40f5c""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-LIGAMENT,HOLE-LIGAMENT,radial band r=2.35..4.35; y=1.0..8.525,False,1,316.78249522472674,[19],"[""268edf5b90ea1b9730aecf36b547589abf7c3a736c280c000fbfd327ee24d4d1""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,distance <=1 mm from exact H4 front rim at y=0.0,True,1,8.756378073128584,[45],"[""5d483c1b1e35bc19e611e55c41d468564953be615fa85e1254e953475e8e2db7""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,distance <=1 mm from exact H4 back rim at y=9.525,True,1,8.756378073128584,[36],"[""47fc62302f6f2aad144722cf6d245bd4fa8284ae6ea03d6c30c94898b356ef28""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-LIGAMENT,HOLE-LIGAMENT,radial band r=2.35..4.35; y=1.0..8.525,False,1,316.78249522472674,[22],"[""8d0ef9c18b3c73f009a17e4ce29cbbffbc4b9c4ae859c00f8e2a0189629ad716""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,distance <=1 mm from exact E1 front rim at y=2.9,True,1,23.931415159004374,[49],"[""3df2cbd90843d5c9c7c6072847d8bcb955342b49a3bcc1466de71b05d665832c""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,distance <=1 mm from exact E1 back rim at y=9.525,True,1,15.665101153890975,[37],"[""7bd59ee9b2bf07c8e4b499c6ed36bd07dd75b8993a5c1529112a7840d81195ac""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-LIGAMENT,HOLE-LIGAMENT,radial band r=3.75..5.75; y=3.9..8.525,False,1,276.067454434203,[25],"[""c85ce7c04740fe7252087c11e5ddd1718a389c00eac50df2c606636bfaea9d42""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,distance <=1 mm from exact E2 front rim at y=2.9,True,1,23.931415159004366,[48],"[""957a6912f49cebefcde8085c5f0035143d91e33894773082d23ab9e6b12323f4""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,distance <=1 mm from exact E2 back rim at y=9.525,True,1,15.665101153890973,[35],"[""4d0c8427f74a102bd2c081bf65efaaf4aada98bbda5d0a5bbbf52ac00d354586""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-LIGAMENT,HOLE-LIGAMENT,radial band r=3.75..5.75; y=3.9..8.525,False,1,276.067454434203,[28],"[""71e2c16f1541e6b3f1249cf86561fbc269039b772bcc0905068a742cf3357aaa""]",EXACT OCC FRAGMENT MEMBERSHIP - NO CENTROID OR SAMPLED-DISTANCE SUBSTITUTE,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
