fragment_tag_diagnostic_only,fragment_signature_sha256,bbox_mm_json,center_of_mass_mm_json,volume_mm3,zone_membership_count,zone_id,membership_rule,warning
40,ab427fcb9da9863c6fd24c452fec0bab75a8aa283db831546bc31c8d5c13d5dc,"[36.799999788,7.004999788,19.199999788,39.800000212,8.525000212,22.000000212]","[38.335450132,7.689419861,20.597454857]",8.105443813313794,1,C07-PE-NORTH-WEST-R2,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
41,c42adaee72e851a0bacf9a973bbd9e138bbf507affae6ea8efaf653a1ac09dd6,"[49.1999999,7.0049999,-17.2000001,51.2000001,8.5250001,19.2000001]","[50.303174603,7.661825397,1.0]",91.72799999999998,1,C07-PE-EAST-STRAIGHT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
42,502a84c061b256568c3d8459ad013cda6269f530342f497013dcc5cf42783f7d,"[48.199999788,7.004999788,19.199999788,51.200000212,8.525000212,22.000000212]","[49.664549868,7.689419861,20.597454857]",8.10544381331377,1,C07-PE-NORTH-EAST-R2,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
43,813c1f0e0c64636990a430ac24a355fa9b8de8e17db72c01880006ced8e829b1,"[-18.543621771,-1e-07,5.456378229,-13.456378229,1.0000001,10.543621771]","[-16.0,0.412594285,8.0]",8.756378073128584,1,H2-SINGULAR-RIM-FRONT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
44,2eb2def803245f05ef2d7fe2bedfc0ce7eca2bf7d34fb5d67d91ebe6271c3449,"[-18.543621771,-1e-07,-10.543621771,-13.456378229,1.0000001,-5.456378229]","[-16.0,0.412594285,-8.0]",8.756378073128586,1,H1-SINGULAR-RIM-FRONT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
45,5d483c1b1e35bc19e611e55c41d468564953be615fa85e1254e953475e8e2db7,"[13.456378229,-1e-07,5.456378229,18.543621771,1.0000001,10.543621771]","[16.0,0.412594285,8.0]",8.756378073128584,1,H4-SINGULAR-RIM-FRONT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
46,38dc082a8ffa168fc389bfff837fac7766915dfa7ce65f34b007cb3616d28ad1,"[13.456378229,-1e-07,-10.543621771,18.543621771,1.0000001,-5.456378229]","[16.0,0.412594285,-8.0]",8.756378073128584,1,H3-SINGULAR-RIM-FRONT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
47,141f91666bbbd870be66fe8331b2b754d1f26bacbc5561614a3290c50718959b,"[39.799999788,7.004999788,20.199999788,48.200000212,8.525000212,22.000000212]","[44.0,7.64767148,21.193862816]",18.614400000000007,1,C07-PE-NORTH-STRAIGHT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
48,957a6912f49cebefcde8085c5f0035143d91e33894773082d23ab9e6b12323f4,"[-4.058970851,1.8999999,5.941029149,4.058970851,3.9000001,14.058970851]","[0.0,3.086589123,10.0]",23.931415159004366,1,E2-SINGULAR-RIM-FRONT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
49,3df2cbd90843d5c9c7c6072847d8bcb955342b49a3bcc1466de71b05d665832c,"[-4.058970851,1.8999999,-14.058970851,4.058970851,3.9000001,-5.941029149]","[0.0,3.086589123,-10.0]",23.931415159004374,1,E1-SINGULAR-RIM-FRONT,OCC fragment provenance map intersected with authoritative part fragments,"PRELIMINARY - EXACT ANALYSIS-ZONE CAD PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
