fastener_id,joint_id,candidate,quantity,torque_nm,released,warning
F-J-MF-BFL-Y-03,J-MF-BFL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-Y-04,J-MF-BFL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-Y-05,J-MF-BFL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-Y-06,J-MF-BFL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-Y-07,J-MF-BFL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFL-Y-08,J-MF-BFL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-X-01,J-MF-BFR-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-X-02,J-MF-BFR-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-X-03,J-MF-BFR-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-X-04,J-MF-BFR-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-X-05,J-MF-BFR-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-X-06,J-MF-BFR-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-X-07,J-MF-BFR-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-X-08,J-MF-BFR-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-Y-01,J-MF-BFR-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-Y-02,J-MF-BFR-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-Y-03,J-MF-BFR-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-Y-04,J-MF-BFR-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-Y-05,J-MF-BFR-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-Y-06,J-MF-BFR-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-Y-07,J-MF-BFR-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BFR-Y-08,J-MF-BFR-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-X-01,J-MF-BRL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-X-02,J-MF-BRL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-X-03,J-MF-BRL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-X-04,J-MF-BRL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-X-05,J-MF-BRL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-X-06,J-MF-BRL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-X-07,J-MF-BRL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-X-08,J-MF-BRL-X,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-Y-01,J-MF-BRL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-Y-02,J-MF-BRL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-Y-03,J-MF-BRL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-Y-04,J-MF-BRL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-Y-05,J-MF-BRL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-Y-06,J-MF-BRL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-Y-07,J-MF-BRL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
F-J-MF-BRL-Y-08,J-MF-BRL-Y,80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,1,PER CURRENT MANUFACTURER GUIDANCE + QUALIFIED JOINT PROCEDURE,NO,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
