sheet,reference,status,evidence_needed
09_left_arm_rs485.kicad_sch,PBR_L_SHOULDER_ROLL,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
09_left_arm_rs485.kicad_sch,AX_L_SHOULDER_ROLL,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
09_left_arm_rs485.kicad_sch,PBR_L_ELBOW_PITCH,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
09_left_arm_rs485.kicad_sch,AX_L_ELBOW_PITCH,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
10_right_arm_rs485.kicad_sch,PORT_RS_RARM,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Logical data-only boundary from the matching controller interface. Exact connector, pins, reference conductor, shield and strain relief remain open."
10_right_arm_rs485.kicad_sch,PBR_R_SHOULDER_PITCH,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
10_right_arm_rs485.kicad_sch,AX_R_SHOULDER_PITCH,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
10_right_arm_rs485.kicad_sch,PBR_R_SHOULDER_ROLL,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
10_right_arm_rs485.kicad_sch,AX_R_SHOULDER_ROLL,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
10_right_arm_rs485.kicad_sch,PBR_R_ELBOW_PITCH,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
10_right_arm_rs485.kicad_sch,AX_R_ELBOW_PITCH,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
11_waist_rs485.kicad_sch,PORT_RS_WAIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Logical data-only boundary from the matching controller interface. Exact connector, pins, reference conductor, shield and strain relief remain open."
11_waist_rs485.kicad_sch,PBR_WAIST_YAW,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
11_waist_rs485.kicad_sch,AX_WAIST_YAW,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
12_left_distal_ttl.kicad_sch,PORT_TTL_LDIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Logical data-only boundary from the matching controller interface. Exact connector, pins, reference conductor, shield and strain relief remain open."
12_left_distal_ttl.kicad_sch,PBR_L_WRIST_ROTATION,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
12_left_distal_ttl.kicad_sch,AX_L_WRIST_ROTATION,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
12_left_distal_ttl.kicad_sch,PBR_L_GRIPPER,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
12_left_distal_ttl.kicad_sch,AX_L_GRIPPER,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
13_right_distal_ttl.kicad_sch,PORT_TTL_RDIST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Logical data-only boundary from the matching controller interface. Exact connector, pins, reference conductor, shield and strain relief remain open."
13_right_distal_ttl.kicad_sch,PBR_R_WRIST_ROTATION,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
13_right_distal_ttl.kicad_sch,AX_R_WRIST_ROTATION,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
13_right_distal_ttl.kicad_sch,PBR_R_GRIPPER,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
13_right_distal_ttl.kicad_sch,AX_R_GRIPPER,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
14_head_ttl_sensors_hmi.kicad_sch,PORT_TTL_HEAD,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Logical data-only boundary from the matching controller interface. Exact connector, pins, reference conductor, shield and strain relief remain open."
14_head_ttl_sensors_hmi.kicad_sch,PBR_HEAD_PAN,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
14_head_ttl_sensors_hmi.kicad_sch,AX_HEAD_PAN,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
14_head_ttl_sensors_hmi.kicad_sch,PBR_HEAD_TILT,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"One independently protected feed is allocated to this actuator. No fuse, limiter, conductor or connector rating is released; fault current, inrush, cable length, ambient, bundling, duty cycle and jurisdiction remain required inputs."
14_head_ttl_sensors_hmi.kicad_sch,AX_HEAD_TILT,ACTUATOR-SIDE PINOUT VERIFIED - HARNESS AND CONTROLLER SIDE SELECTION REQUIRED,"Axis identity, protocol and manufacturer actuator-side pins are allocated. Exact order code, actuator ID, cable assembly, controller-side connector, branch current/protection and installed thermal/communication behavior remain selection and test work."
14_head_ttl_sensors_hmi.kicad_sch,HPWR1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Branch protection, filtering, connector and current allocation remain open. The present coarse HMI peak equals the 30 W converter rating, so measured-load closure or redesign is mandatory."
14_head_ttl_sensors_hmi.kicad_sch,CAM1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"No safety role; exact module, optics, privacy and mounting remain open."
14_head_ttl_sensors_hmi.kicad_sch,CAM2,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"No safety role; exact module, optics, synchronization and mounting remain open."
14_head_ttl_sensors_hmi.kicad_sch,DISP1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact screen, controller, luminance and touch interface remain open."
14_head_ttl_sensors_hmi.kicad_sch,MIC1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact microphones, privacy indication and acoustic behavior remain open."
14_head_ttl_sensors_hmi.kicad_sch,AMP1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Output power, protection, acoustic limit and exact pins remain open."
14_head_ttl_sensors_hmi.kicad_sch,SPK1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact driver, enclosure and sound-pressure limit remain open."
14_head_ttl_sensors_hmi.kicad_sch,SPK2,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact driver, enclosure and sound-pressure limit remain open."
14_head_ttl_sensors_hmi.kicad_sch,FAN1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Airflow, noise, finger guarding and failure detection remain open."
15_pelvis_aux_imu.kicad_sch,AUXCOM1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"REC30E-Z datasheet REV 1/2024: 9-36 V input, 5 V/6 A, 30 W. Fuse, reverse/inrush, trim, harness, thermal, EMC and received-part FAI remain open."
15_pelvis_aux_imu.kicad_sch,AUXHMI1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"TEN 40E datasheet Rev. August 7, 2024: 9-18 V input, 5 V/8 A, 40 W. The 30 W coarse HMI peak has 10 W planning headroom; protection, physical load, transient, thermal, EMC and received-part FAI remain open."
15_pelvis_aux_imu.kicad_sch,AUXCTL1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This is a deterministic-control rail candidate, not a safety supply. Fuse, reverse/inrush, trim, grounding, harness, thermal and EMC evidence remain open."
15_pelvis_aux_imu.kicad_sch,AUXSTAR1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,Exact star-point implementation and the sole possible DC 0 V/PE bond remain SELECTION REQUIRED. No other secondary bond is permitted without a signed grounding revision.
15_pelvis_aux_imu.kicad_sch,IMU1,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact device, range, bandwidth, timestamping, calibration, connector and physical pins remain open."
15_pelvis_aux_imu.kicad_sch,MCU_AUX,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,Alternate logical view of MCU1; exact package pins and interfaces remain open.
16_left_foot_load_sensing.kicad_sch,LOAD_L_FL,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact sensor type, range, overload, mounting, connector, calibration and physical pins remain open."
16_left_foot_load_sensing.kicad_sch,LOAD_L_FR,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact sensor type, range, overload, mounting, connector, calibration and physical pins remain open."
16_left_foot_load_sensing.kicad_sch,LOAD_L_RL,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact sensor type, range, overload, mounting, connector, calibration and physical pins remain open."
16_left_foot_load_sensing.kicad_sch,LOAD_L_RR,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact sensor type, range, overload, mounting, connector, calibration and physical pins remain open."
16_left_foot_load_sensing.kicad_sch,ADC_L_FOOT,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact ADC, excitation, anti-aliasing, protection, timing, calibration and connector pins remain open."
17_right_foot_load_sensing.kicad_sch,LOAD_R_FL,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact sensor type, range, overload, mounting, connector, calibration and physical pins remain open."
17_right_foot_load_sensing.kicad_sch,LOAD_R_FR,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact sensor type, range, overload, mounting, connector, calibration and physical pins remain open."
17_right_foot_load_sensing.kicad_sch,LOAD_R_RL,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact sensor type, range, overload, mounting, connector, calibration and physical pins remain open."
17_right_foot_load_sensing.kicad_sch,LOAD_R_RR,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact sensor type, range, overload, mounting, connector, calibration and physical pins remain open."
17_right_foot_load_sensing.kicad_sch,ADC_R_FOOT,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"Exact ADC, excitation, anti-aliasing, protection, timing, calibration and connector pins remain open."
18_onboard_later_energy_evaluation.kicad_sch,SD_LATER,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"DC voltage/current/fault rating, touch safety, interlock and mounting remain open."
18_onboard_later_energy_evaluation.kicad_sch,PRE_LATER,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"This disconnected evaluation path has no tie to ACT_MAIN_SAFE_12V. Resistance, energy, timing, regeneration, bypass faults and discharge time remain open."
18_onboard_later_energy_evaluation.kicad_sch,CHG_LATER,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,"No charger wiring, connector, charge path or fail-safe interlock circuit is released; powered charging is prohibited."
