channel_id,signal,point_ordinal,requested_source_v,within_channel_planning_range,repeat_count,source_current_limit_candidate_ma,reference_value,ni_raw_value,fit_use,performance_acceptance_limit,state,warning
CH-AI-02,ACT_MAIN_SAFE_12V,2,1.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,ACT_MAIN_SAFE_12V,3,2.500,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,ACT_MAIN_SAFE_12V,4,5.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,ACT_MAIN_SAFE_12V,5,9.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,ACT_MAIN_SAFE_12V,6,12.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,ACT_MAIN_SAFE_12V,7,18.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,ACT_MAIN_SAFE_12V,8,24.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-02,ACT_MAIN_SAFE_12V,9,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,1,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,2,1.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,3,2.500,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,4,5.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,5,9.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,6,12.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,7,18.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,8,24.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-03,TTL_LDIST_SAFE_9V,9,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,1,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,2,1.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,3,2.500,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,4,5.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,5,9.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,6,12.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,7,18.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,8,24.000,EXTENDED BENCH CHARACTERIZATION ONLY,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-04,CTRL_5V,9,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,1,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,2,1.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,3,2.500,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,4,5.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,5,9.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,6,12.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,7,18.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,8,24.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-05,ESTOP_CH_A_24V,9,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,HARDWIRED_PERMIT_24V,1,0.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,ZERO/HYSTERESIS CHECK,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,HARDWIRED_PERMIT_24V,2,1.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,HARDWIRED_PERMIT_24V,3,2.500,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,HARDWIRED_PERMIT_24V,4,5.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,HARDWIRED_PERMIT_24V,5,9.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,HARDWIRED_PERMIT_24V,6,12.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CH-AI-06,HARDWIRED_PERMIT_24V,7,18.000,YES,3,10,MEASURE WITH IN-DATE FLUKE 87V MAX CAL,NOT EXECUTED,YES,QUALIFIED SELECTION REQUIRED,NOT EXECUTED,"PRELIMINARY - UNBUILT OFF-ROBOT MEASUREMENT CALIBRATION FIXTURE - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION TO THE ROBOT, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
