input_id,group,parameter,value,unit,evidence_class,primary_or_project_source,status,required_before_supplier_query,closure_evidence,warning
KAI-021,application,downstream bus capacitance,SELECTION REQUIRED,uF,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Controlled capacitance measurement including actuators and harness,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-022,application,equivalent electrical time constant or L over R,SELECTION REQUIRED,ms,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Accepted derivation from synchronized voltage/current decay or manufacturer method,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-023,application,source current-limit and regeneration response,SELECTION REQUIRED,,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Source voltage/current/status evidence under accepted worst cases,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-024,protection,prospective fault current at K1 input,SELECTION REQUIRED,A,PHYSICAL_MEASUREMENT_REQUIRED,TEST-K1K2-001,NOT_MEASURED,yes,Qualified calculation/measurement and source current-limit evidence,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-025,protection,F0 and branch protection identities/ratings,SELECTION REQUIRED,,SELECTION_REQUIRED,protection coordination package,OPEN,yes,Exact order codes time-current curves interrupting capacity and coordination,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-026,installation,conductors terminals lugs lengths and routing,SELECTION REQUIRED,,SELECTION_REQUIRED,physical harness/panel release,OPEN,yes,Released wire schedule termination process and physical inspection,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-027,installation,ambient enclosure duty and orientation,SELECTION REQUIRED,,SELECTION_REQUIRED,physical panel/mission definition,OPEN,yes,Released ambient/thermal/duty/orientation envelope and measurements,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-028,durability,required life operations and maximum cycles per hour,SELECTION REQUIRED,,REQUIREMENT_REQUIRED,mission and maintenance definition,OPEN,yes,Approved quantitative requirement with maintenance/replacement policy,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-029,timing,maximum permitted K1/K2 opening rail-decay and total stopping time,SELECTION REQUIRED,ms,SAFETY_REQUIREMENT_REQUIRED,safety requirements specification,OPEN,yes,Qualified numerical limits tied to risk assessment and guard/stop evidence,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-030,application,DC utilization category or Schneider accepted equivalent application classification,SELECTION REQUIRED,,MANUFACTURER_DISPOSITION_REQUIRED,Schneider written response,OPEN,yes,Identifiable written Schneider disposition tied to submitted envelope,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-031,application,critical-current and low-current durability disposition,SELECTION REQUIRED,,MANUFACTURER_DISPOSITION_REQUIRED,Schneider written response,OPEN,yes,Identifiable written Schneider response addressing below-table current and required life,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-032,verification,loaded interruption weld injection rail decay and stopping evidence,NOT EXECUTED,,PHYSICAL_TEST_REQUIRED,TEST-K1K2-001,NOT_EXECUTED,yes,Accepted raw data nonconformance closure and qualified signed report,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
KAI-033,approval,qualified electrical and functional-safety disposition,NOT OBTAINED,,QUALIFIED_REVIEW_REQUIRED,EG-013,OPEN,yes,Signed configuration-specific disposition after all evidence closes,PRELIMINARY - NOT APPROVED FOR PROCUREMENT FABRICATION OR ENERGIZATION
