reference,coordinate_frame,anchor_x_mm,anchor_y_mm,anchor_basis,terminal_position_state,cut_length_use,warning
S0,DOOR-FACE-CATALOG-CANDIDATE,75,95,door-face candidate center; hinge/loom transition not defined,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S1,DOOR-FACE-CATALOG-CANDIDATE,195,95,door-face candidate center; hinge/loom transition not defined,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
S2,DOOR-FACE-CATALOG-CANDIDATE,315,95,door-face candidate center; hinge/loom transition not defined,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1,BACKPLATE-CATALOG-CANDIDATE,70.000,112.500,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1,BACKPLATE-CATALOG-CANDIDATE,108.000,112.500,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XD0,BACKPLATE-CATALOG-CANDIDATE,112.900,584.050,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XD24,BACKPLATE-CATALOG-CANDIDATE,78.300,584.050,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XN1,BACKPLATE-CATALOG-CANDIDATE,135.800,585.200,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XN2,BACKPLATE-CATALOG-CANDIDATE,141.000,585.200,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XN3,BACKPLATE-CATALOG-CANDIDATE,146.200,585.200,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XT1,BACKPLATE-CATALOG-CANDIDATE,274.000,342.000,catalog/planning envelope center; not a terminal entry point,SELECTION REQUIRED,PROHIBITED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
