wire_id,net,from_endpoint,to_endpoint,from_anchor_state,to_anchor_state,center_to_center_manhattan_screen_mm,screen_meaning,cut_length_mm,route_release,warning
P2P-018,SR1_S12,S1:TBD-R1,XN1:3,door-face candidate center; hinge/loom transition not defined,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-019,SRA1_S12,SR1:14,XN2:1,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,543.700,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-020,SRA1_S12,SRA1:S12,XN2:2,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,505.700,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-021,SRA1_S12,S2:TBD-A1,XN2:3,door-face candidate center; hinge/loom transition not defined,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-022,SR1_STATUS,SR1:Y32,XN3:1,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,548.900,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-023,SR1_STATUS,H1:TBD-HA,XN3:2,door-face candidate center; hinge/loom transition not defined,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-024,SR1_STATUS,XT1:XT1-03,XN3:3,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,371.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-025,K1_A1,K1:A1,FSR1:2,catalog/planning envelope center; not a terminal entry point,planning sub-anchor inside shared BP-018 envelope; not a received terminal point,342.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-026,K2_A1,K2:A1,FSR2:2,catalog/planning envelope center; not a terminal entry point,planning sub-anchor inside shared BP-018 envelope; not a received terminal point,396.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-027,SRA1_K1_RAW,SRA1:14,FSR1:1,catalog/planning envelope center; not a terminal entry point,planning sub-anchor inside shared BP-018 envelope; not a received terminal point,383.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-028,SRA1_K2_RAW,SRA1:24,FSR2:1,catalog/planning envelope center; not a terminal entry point,planning sub-anchor inside shared BP-018 envelope; not a received terminal point,395.000,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-029,WD1_COIL_N,KWD1:A2,JWP1:3,catalog/planning envelope center; not a terminal entry point,unallocated connector within BP-012 PCB envelope,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-030,WD2_COIL_N,KWD2:A2,JWP1:4,catalog/planning envelope center; not a terminal entry point,unallocated connector within BP-012 PCB envelope,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-031,WD1_NC_24V,KWD1:22,JWF1:1,catalog/planning envelope center; not a terminal entry point,unallocated connector within BP-012 PCB envelope,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-032,WD2_NC_24V,KWD2:22,JWF1:2,catalog/planning envelope center; not a terminal entry point,unallocated connector within BP-012 PCB envelope,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-033,SAFETY_24V,F24:OUT,XD24:LINE,unallocated BP-020 subregion,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-034,SAFETY_24V,XD24:01,SR1:41,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,479.850,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-035,SAFETY_24V,XD24:02,SRA1:A1,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,501.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-036,SAFETY_24V,XD24:03,SRA1:13,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,501.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-037,SAFETY_24V,XD24:04,SRA1:23,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,501.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-038,SAFETY_24V,XD24:05,SRA1:41,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,501.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-039,SAFETY_24V,XD24:06,KWD1:A1,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,538.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-040,SAFETY_24V,XD24:07,KWD1:11,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,538.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-041,SAFETY_24V,XD24:08,KWD1:21,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,538.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-042,SAFETY_24V,XD24:09,KWD2:A1,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,564.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-043,SAFETY_24V,XD24:10,KWD2:21,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,564.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-044,SAFETY_24V,XD24:11,K1:13,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,606.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-045,SAFETY_24V,XD24:12,K2:13,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,672.250,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-046,SAFETY_24V,XD24:13,XT1:XT1-01,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,437.750,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-047,SAFETY_24V,XD24:14,JWP1:1,catalog/planning envelope center; not a terminal entry point,unallocated connector within BP-012 PCB envelope,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-048,SAFETY_0V,J24:3,XD0:LINE,unallocated BP-020 subregion,catalog/planning envelope center; not a terminal entry point,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-049,SAFETY_0V,XD0:01,SR1:A2,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,514.450,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-050,SAFETY_0V,XD0:02,H1:TBD-HB,catalog/planning envelope center; not a terminal entry point,door-face candidate center; hinge/loom transition not defined,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-051,SAFETY_0V,XD0:03,SRA1:A2,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,476.450,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-052,SAFETY_0V,XD0:04,K1:A2,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,571.650,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-053,SAFETY_0V,XD0:05,K2:A2,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,637.650,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-054,SAFETY_0V,XD0:06,XT1:XT1-02,catalog/planning envelope center; not a terminal entry point,catalog/planning envelope center; not a terminal entry point,403.150,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P2P-055,SAFETY_0V,XD0:07,JWP1:2,catalog/planning envelope center; not a terminal entry point,unallocated connector within BP-012 PCB envelope,NOT CALCULATED,"planning-envelope arithmetic only; excludes terminal offsets, duct path, bends, service loops, door loom, segregation and installation allowance",SELECTION REQUIRED,NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
