family_id,interface_id,nominal_geometry,candidate_design_state,unresolved_selection_or_evidence,warning
JMF-04-MEDIUM,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,output encoder,annular carrier outside B support; shaft OD 10.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-04-MEDIUM,actuator/transmission,direct supported output,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-05-WAIST,shaft-to-bearing,shaft OD 17.000 / bearing bore 17.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-05-WAIST,bearing-to-carrier,bearing OD 26.000 / carrier seat envelope 26.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-05-WAIST,carrier-to-link,4 x DIA 5.5 on 82.0 x 56.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-05-WAIST,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-05-WAIST,output encoder,annular carrier outside B support; shaft OD 17.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-05-WAIST,actuator/transmission,supported yaw output with actuator isolated from overturning load,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-06-LEG-DIRECT,shaft-to-bearing,shaft OD 12.000 / bearing bore 12.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-06-LEG-DIRECT,bearing-to-carrier,bearing OD 24.000 / carrier seat envelope 24.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-06-LEG-DIRECT,carrier-to-link,4 x DIA 5.5 on 52.0 x 56.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-06-LEG-DIRECT,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-06-LEG-DIRECT,output encoder,annular carrier outside B support; shaft OD 12.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-06-LEG-DIRECT,actuator/transmission,direct supported output,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-07-LEG-REDUCED-15,shaft-to-bearing,shaft OD 12.000 / bearing bore 12.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-07-LEG-REDUCED-15,bearing-to-carrier,bearing OD 24.000 / carrier seat envelope 24.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-07-LEG-REDUCED-15,carrier-to-link,4 x DIA 5.5 on 58.0 x 64.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-07-LEG-REDUCED-15,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-07-LEG-REDUCED-15,output encoder,annular carrier outside B support; shaft OD 12.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-07-LEG-REDUCED-15,actuator/transmission,MISUMI GPA20/GPA30GT5090 plus GBN225EV5GT-090 candidate with output encoder,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-08-LEG-REDUCED-20,shaft-to-bearing,shaft OD 12.000 / bearing bore 12.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-08-LEG-REDUCED-20,bearing-to-carrier,bearing OD 24.000 / carrier seat envelope 24.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-08-LEG-REDUCED-20,carrier-to-link,4 x DIA 5.5 on 60.0 x 56.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-08-LEG-REDUCED-20,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-08-LEG-REDUCED-20,output encoder,annular carrier outside B support; shaft OD 12.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-08-LEG-REDUCED-20,actuator/transmission,MISUMI GPA20/GPA40GT5090 plus GBN255EV5GT-090 candidate with output encoder,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-09-KNEE-REDUCED-25,shaft-to-bearing,shaft OD 12.000 / bearing bore 12.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-09-KNEE-REDUCED-25,bearing-to-carrier,bearing OD 24.000 / carrier seat envelope 24.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-09-KNEE-REDUCED-25,carrier-to-link,4 x DIA 5.5 on 60.0 x 64.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-09-KNEE-REDUCED-25,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-09-KNEE-REDUCED-25,output encoder,annular carrier outside B support; shaft OD 12.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-09-KNEE-REDUCED-25,actuator/transmission,MISUMI GPA16GT5090-A-P10/GPA40GT5090-A-P12 plus GBN250EV5GT-090 knee candidate with output encoder,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-10-ANKLE-PITCH-REDUCED-25,shaft-to-bearing,shaft OD 12.000 / bearing bore 12.000,VISIBLE P0.1 GEOMETRIC STACK,"rotating or fixed-ring fit allocation, tolerance and surface finish SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-10-ANKLE-PITCH-REDUCED-25,bearing-to-carrier,bearing OD 24.000 / carrier seat envelope 24.000,VISIBLE P0.1 GEOMETRIC STACK,"housing fit, shoulder, axial clamp and thermal allowance SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-10-ANKLE-PITCH-REDUCED-25,carrier-to-link,4 x DIA 5.5 on 60.0 x 58.0,VISIBLE P0.1 GEOMETRIC STACK,"tapped side, insert, screw length, preload, locking and access SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-10-ANKLE-PITCH-REDUCED-25,shaft axial retention,visible retainer/collar candidate both supported ends,VISIBLE P0.1 GEOMETRIC STACK,"groove or thread, edge distance, fatigue and axial capacity SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-10-ANKLE-PITCH-REDUCED-25,output encoder,annular carrier outside B support; shaft OD 12.0,VISIBLE P0.1 GEOMETRIC STACK,"sensor, magnet, air gap, accuracy, wiring, redundancy and safety role SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMF-10-ANKLE-PITCH-REDUCED-25,actuator/transmission,MISUMI GPA16/GPA40GT5090 plus GBN250EV5GT-090 ankle candidate with output encoder,VISIBLE P0.1 GEOMETRIC STACK,"exact model, horn/spline or pulley/belt/rack interfaces and proof SELECTION REQUIRED","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
