exact_face_signature_sha256,occ_face_tag_diagnostic_only,geometry_type,bbox_mm_json,area_mm2,owner_boundary_curve_signatures_sha256_json,warning
718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33,75,Plane,"[37.7999999,8.0049999,-17.2000001,39.8000001,8.0050001,19.2000001]",66.516814693,"[""8f26438cf3bfd99fefbaf3200d933d69812f00669a7d42ab602cf144a7896e99"",""960035c8d10713f6c82ffd3014c7ca5eb1d3ebe5fd65a1783a3c9c1b285d7792"",""96b16c265dbf8bc6f5c36b602e83daa0649ee5ce67fd7722bb978ba6bf1185e2"",""9d5cb500526c1edf74eefe592984e919a89180a5fe20c4b4379fe3b77431fe48""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352,78,Plane,"[48.1999999,8.0049999,19.1999999,50.2000001,8.0050001,21.2000001]",3.141592654,"[""16b2660ee832909cbed55dc7468f3a7b71d7911057fe405a2871d7fd0c5de17d"",""837de7df8584909ce8ce1ce91660a814e4f5cfadf1d745baf67758ded54db2e2"",""e809c3acea3ebee2593518440468ed815745b16dce8b9ac13d4b17b148e624dc""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6,79,Plane,"[48.1999999,8.0049999,-17.2000001,50.2000001,8.0050001,19.2000001]",66.516814693,"[""0a6d7dc2e0a8c48c0c1bc234e9f788216d8b25f5b082cf66c487fd48b4fe2394"",""6f4bb17e7a9f9435ef914285207569b02bdd859b6d126065bc44d995e283e415"",""97a04ff598b9bd624783ff2f0d261290f61813aa14d17e6e2850e657e1e830b7"",""f2846e7011f8fb7fcc16f6ff4b55c915e6e81a542494f98454a75293f3426eb3""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9abeaee92766b8119a83e931ecf398a2c4ff7d0a9edab82b681128b370598086,81,Plane,"[39.7999999,8.0049999,-19.2000001,48.2000001,8.0050001,-17.1999999]",10.516814693,"[""3a64a9fa2ea31f6892c74c396102cd12f62096688e1c3015da951c9c4a84b7f1"",""c0a62a2bdc275c03dcf8911b0767bd9846b644592f8a630f41e5e0f45422e9de"",""e6b881338b5b5cc87a2aab32e04d74a85221ebeeacce47a6111d45b785a0a865"",""e890d3021e1daf46ba1f02cc967ae5ca498a07b4c8c35de2256ad5b6c67d8f62""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
a500fc13262073c7235120a7775e2b093f1e222fd8fd97fce987c70eddac3107,117,Plane,"[39.7999999,8.0049999,-19.2000001,41.8000001,8.0050001,-17.1999999]",3.141592654,"[""2fd376a01bb1d5311a9475cb752f44771cc8a7382a0c40198dd320e6e5e87288"",""502e37ca0d7ccba5ae42dc3431072df37c57004b11e432cba2ab323d6db5ec5d"",""c0a62a2bdc275c03dcf8911b0767bd9846b644592f8a630f41e5e0f45422e9de""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
b8d3b60962c5388d82836224b8d3d8783c80321e12a2ffdec405fda93a8f3e3f,125,Plane,"[46.1999999,8.0049999,-19.2000001,48.2000001,8.0050001,-17.1999999]",3.141592654,"[""2ca76131c607462252841aa473b3c21d1475dde9bb107faa45f25f42783e0a62"",""3a64a9fa2ea31f6892c74c396102cd12f62096688e1c3015da951c9c4a84b7f1"",""9f673f0881a6e4a79b23ef07e89ec16cf9adb2cb29fe5fd40de3d277d56f3d07""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
c118830f816e5a74114e6312876778282505fb8faa02eda48b044c226a8182ea,33,Plane,"[50.1999999,8.0049999,-17.2000001,50.2000001,8.5250001,19.2000001]",18.928,"[""4642cc2d54ed6d2bcd1a725a656f8d4911dc6ffb023f205432c8689da72fd47c"",""46d030c4ead7a59fec0ad787112a91c8cc988576274540e826c2dd62a1cbb286"",""d46f7c1e0976c6328761753f2eba20c02d7c62c2616cc19d087c33a930fbb268"",""f2846e7011f8fb7fcc16f6ff4b55c915e6e81a542494f98454a75293f3426eb3""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
c2d4fd371c2739ac9018a8ef4464ae24488b3171a401ed2df92b28674bfe461d,31,Plane,"[39.7999999,8.0049999,21.1999999,48.2000001,8.5250001,21.2000001]",4.368,"[""0a0df27af5fe9c1d7b72ec8fff05ef6f5087530500181105f14bd5cdc9df856c"",""133961c23739ccbd43719823911d201173eaccb3690a0674eb2e1f312b3971bd"",""76c01da84dcb60f30780186650601ae10c492884f99a30bc6b150461c908c563"",""b7f7c64028d38bb559cf650e16f17fe8c994f5037c8da7d8a0a91e4086c2b680""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ca0ab09a7a91c777148c1abe26faf216e609233465cabe397cf39f09bc80752e,123,Plane,"[48.1999999,8.0049999,17.1999999,50.2000001,8.0050001,19.2000001]",3.141592654,"[""0a6d7dc2e0a8c48c0c1bc234e9f788216d8b25f5b082cf66c487fd48b4fe2394"",""16b2660ee832909cbed55dc7468f3a7b71d7911057fe405a2871d7fd0c5de17d"",""fdb033a61c477e4b691ff9fa38045076c90a6eabec58b1d71b7b38a15913dede""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
cf14eb876335aff59ba8b6c585b3bb64c6f2581ef36a3fa10ca28301fc9d985a,120,Plane,"[37.7999999,8.0049999,17.1999999,39.8000001,8.0050001,19.2000001]",3.141592654,"[""807c20c90ebfee3f6ba4f5900ee204dba07ba45b570612907cae63059226f8a9"",""8f26438cf3bfd99fefbaf3200d933d69812f00669a7d42ab602cf144a7896e99"",""e85462995aa5615bfe0abfa7576272deaf2f644edc60414e3149fec1877715cd""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
dafa4021e7065876bc289b02bc883540cae61058b53a6f61e5dfad1b8ca8c4a0,118,Plane,"[37.7999999,8.0049999,-17.2000001,39.8000001,8.0050001,-15.1999999]",3.141592654,"[""960035c8d10713f6c82ffd3014c7ca5eb1d3ebe5fd65a1783a3c9c1b285d7792"",""d5b0bc1346f172e21281711eb7ce0a5113c4702ecf7b9eb8aeb8b1feb8d5c889"",""fee4310276fab78510ff6bcecaeab05289f0876f1bbab42af539da5052e437d1""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
e652176561be4f557a83ef63fa7f706a66e1f2cbf43f67d3393cfc11fa27fb0b,30,Cylinder,"[37.7999999,8.0049999,19.1999999,39.8000001,8.5250001,21.2000001]",1.63362818,"[""0a0df27af5fe9c1d7b72ec8fff05ef6f5087530500181105f14bd5cdc9df856c"",""b3e7d86bfca5a4fba3ec1095fdbf7494ac93b811efa67ef1a2c6196c4a0f44df"",""d24cca3ae17df24026889843bd8d290d35ca7226b00f64a324ca7c4a2b0247f5"",""dfe3b404d93eab86e1d89968b1c217198ede730e174ae3aaa66e1460d6de3204""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
e7d15423fc25a486e32bda5b6d592ca58a512e543f3730f031fae82b09b69063,124,Plane,"[48.1999999,8.0049999,-17.2000001,50.2000001,8.0050001,-15.1999999]",3.141592654,"[""7436b9a2c20eaf83825b95816e5eda7b88827f3cb0d6da058025218c81c1810a"",""97a04ff598b9bd624783ff2f0d261290f61813aa14d17e6e2850e657e1e830b7"",""c05815d922da0d7da6ae97c4de70da08ad3f77bebdfd164f53cd6341fa100fed""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ed0311aaf19ea853cdac1671fd52b56dc3fd21371f6b6fbce57e5186afe4b6fb,29,Plane,"[37.7999999,8.0049999,-17.2000001,37.8000001,8.5250001,19.2000001]",18.928,"[""78c820f2d3bafd869330dcebdf94e7c774955af4c24d49ccff5e1678725db6d5"",""96b16c265dbf8bc6f5c36b602e83daa0649ee5ce67fd7722bb978ba6bf1185e2"",""dfe3b404d93eab86e1d89968b1c217198ede730e174ae3aaa66e1460d6de3204"",""eefd4b235446dd8c1cbc7b74fe038f7b14ae1056df3c5ec8f3d3b32150257999""]","PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
