question_id,question,priority,transmission_state,provider_response,response_evidence_uri,project_disposition,upload_authorized,quotation_authorized,order_authorized,warning
DFM-011,Confirm center-pad 82% and corner-pad 93% TI example paste treatment or return a redlined alternative.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-012,Provide solder-paste inspection coverage and acceptance evidence for the RPW deposits.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-013,Provide AOI coverage and images for every serialized first article.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-014,Provide QFN X-ray views for every serialized first article and propose void/bridge/insufficient-solder criteria.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-015,"Confirm reflow profile development, thermocouple locations and profile record availability.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-016,"Confirm PTH JST VH and Keystone test-point process, order after SMT, cleaning and inspection.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-017,"Confirm no-clean/water-soluble choice, cleaning process and ionic-residue evidence if applicable.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-018,Confirm exact workmanship standard/class and any exclusions; do not infer Project Button acceptance.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-019,"Confirm component sourcing channels, date/lot traceability and prohibition on unapproved alternates.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-020,"Confirm serialization method linking PCB lot, assembly lot, BOM variant and inspection records.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-021,Return the provider-imported BOM and placement data for exact reference/MPN/rotation reconciliation.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-022,"Return DFM/DFA report and every proposed file, footprint, mask, paste, drill or outline modification.",BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-023,Quote fabrication/assembly/inspection separately for two 1.65 k and one 3.32 k evaluation variants.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
DFM-024,State first-article hold/review point: no remaining units proceed until written Project Button disposition.,BLOCKING,NOT SENT,SELECTION REQUIRED,,OPEN,NO,NO,NO,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
