feature_id,article,source_face_index_1_based,geometry_type,nominal_point_joint_xyz_mm,nominal_axis_or_normal_joint_xyz,nominal_radius_mm,nominal_area_mm2,geometric_signature,measurement_role,hsi_route,method_route,status,warning
S102-AXIS-SIDE-PLUS,S102,25,CYLINDER,"21.500000,-49.000000,-16.500000","0.000000,0.000000,1.000000",2.500000000,129.590696961,"CYLINDER|A=129.590696961|P=21.500000,-49.000000,-16.500000|D=0.000000,0.000000,1.000000|R=2.500000000",fixed-frame positive-X side-hole axis candidate,HSI-004/006/009/011,JSM2-M01/M02,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XM540-IDLER-PATTERN-01,XM540,380,CYLINDER,"-22.750000,-8.000000,0.000000","1.000000,0.000000,0.000000",1.000000000,7.853981634,"CYLINDER|A=7.853981634|P=-22.750000,-8.000000,0.000000|D=1.000000,0.000000,0.000000|R=1.000000000",actuator idler-side cylindrical pattern candidate; manufacturer function allocation required,HSI-009/010/011/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XM540-IDLER-PATTERN-02,XM540,378,CYLINDER,"-22.750000,0.000000,-8.000000","1.000000,0.000000,0.000000",1.000000000,7.853981634,"CYLINDER|A=7.853981634|P=-22.750000,0.000000,-8.000000|D=1.000000,0.000000,0.000000|R=1.000000000",actuator idler-side cylindrical pattern candidate; manufacturer function allocation required,HSI-009/010/011/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XM540-IDLER-PATTERN-03,XM540,376,CYLINDER,"-22.750000,0.000000,8.000000","1.000000,0.000000,0.000000",1.000000000,7.853981634,"CYLINDER|A=7.853981634|P=-22.750000,0.000000,8.000000|D=1.000000,0.000000,0.000000|R=1.000000000",actuator idler-side cylindrical pattern candidate; manufacturer function allocation required,HSI-009/010/011/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XM540-IDLER-PATTERN-04,XM540,370,CYLINDER,"-22.750000,8.000000,0.000000","1.000000,0.000000,0.000000",1.000000000,7.853981634,"CYLINDER|A=7.853981634|P=-22.750000,8.000000,0.000000|D=1.000000,0.000000,0.000000|R=1.000000000",actuator idler-side cylindrical pattern candidate; manufacturer function allocation required,HSI-009/010/011/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-SIDE-PATTERN-01,H101,103,CYLINDER,"26.500000,0.000000,-11.000000","1.000000,0.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=26.500000,0.000000,-11.000000|D=1.000000,0.000000,0.000000|R=1.250000000",moving-frame side cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-SIDE-PATTERN-02,H101,87,CYLINDER,"26.500000,0.000000,11.000000","1.000000,0.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=26.500000,0.000000,11.000000|D=1.000000,0.000000,0.000000|R=1.250000000",moving-frame side cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-SIDE-PATTERN-03,H101,99,CYLINDER,"26.500000,7.778175,-7.778175","1.000000,0.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=26.500000,7.778175,-7.778175|D=1.000000,0.000000,0.000000|R=1.250000000",moving-frame side cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-SIDE-PATTERN-04,H101,91,CYLINDER,"26.500000,7.778175,7.778175","1.000000,0.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=26.500000,7.778175,7.778175|D=1.000000,0.000000,0.000000|R=1.250000000",moving-frame side cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-SIDE-PATTERN-05,H101,95,CYLINDER,"26.500000,11.000000,0.000000","1.000000,0.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=26.500000,11.000000,0.000000|D=1.000000,0.000000,0.000000|R=1.250000000",moving-frame side cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-01,H101,220,CYLINDER,"-16.000000,32.000000,-8.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-16.000000,32.000000,-8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-02,H101,224,CYLINDER,"-16.000000,32.000000,8.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-16.000000,32.000000,8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-03,H101,196,CYLINDER,"-11.000000,32.000000,-6.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-11.000000,32.000000,-6.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-04,H101,150,CYLINDER,"-11.000000,32.000000,0.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-11.000000,32.000000,0.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-05,H101,261,CYLINDER,"-11.000000,-20.552500,6.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=-11.000000,-20.552500,6.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-06,H101,251,CYLINDER,"-8.000000,-20.552500,-3.500000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=-8.000000,-20.552500,-3.500000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-07,H101,172,CYLINDER,"-8.000000,32.000000,3.500000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-8.000000,32.000000,3.500000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-08,H101,152,CYLINDER,"-7.778175,32.000000,-7.778175","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-7.778175,32.000000,-7.778175|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-09,H101,148,CYLINDER,"-7.778175,32.000000,7.778175","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-7.778175,32.000000,7.778175|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-10,H101,259,CYLINDER,"-6.000000,-20.552500,-11.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=-6.000000,-20.552500,-11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-11,H101,198,CYLINDER,"-6.000000,32.000000,11.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-6.000000,32.000000,11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-12,H101,170,CYLINDER,"-3.500000,32.000000,-8.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=-3.500000,32.000000,-8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-13,H101,253,CYLINDER,"-3.500000,-20.552500,8.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=-3.500000,-20.552500,8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-14,H101,138,CYLINDER,"0.000000,32.000000,-11.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=0.000000,32.000000,-11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-15,H101,146,CYLINDER,"0.000000,32.000000,11.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=0.000000,32.000000,11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-16,H101,249,CYLINDER,"3.500000,-20.552500,-8.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=3.500000,-20.552500,-8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-17,H101,174,CYLINDER,"3.500000,32.000000,8.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=3.500000,32.000000,8.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-18,H101,194,CYLINDER,"6.000000,32.000000,-11.000000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=6.000000,32.000000,-11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-19,H101,263,CYLINDER,"6.000000,-20.552500,11.000000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=6.000000,-20.552500,11.000000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-20,H101,140,CYLINDER,"7.778175,32.000000,-7.778175","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=7.778175,32.000000,-7.778175|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-21,H101,144,CYLINDER,"7.778175,32.000000,7.778175","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=7.778175,32.000000,7.778175|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-22,H101,176,CYLINDER,"8.000000,32.000000,-3.500000","0.000000,1.000000,0.000000",1.250000000,7.853981634,"CYLINDER|A=7.853981634|P=8.000000,32.000000,-3.500000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H101-FLANGE-PATTERN-23,H101,255,CYLINDER,"8.000000,-20.552500,3.500000","0.000000,1.000000,0.000000",1.250000000,7.461282552,"CYLINDER|A=7.461282552|P=8.000000,-20.552500,3.500000|D=0.000000,1.000000,0.000000|R=1.250000000",moving-frame flange cylindrical pattern candidate; manufacturer function allocation required,HSI-010/012,JSM2-M01,CONTROLLED CAD NOMINAL ONLY - RECEIVED FEATURE MATCH REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
