part_id,module,material_candidate,cad_nominal_thickness_mm,nearest_published_sendcutsend_stock_mm,exact_stock_match_within_0_02_mm,difference_mm,disposition,authority
L01_THIGH_TIE_Z355,L01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
F01_SOLE_CARRIER,F01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
F01_TOP_BRIDGE,F01,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
A01_UPPER_ARM_LINK_FRONT,A01,6061-T651 4 MM SLOTTED PLATE CANDIDATE,28.000,19.05,FALSE,-8.950,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
A01_FOREARM_LINK_FRONT,A01,6061-T651 4 MM SLOTTED PLATE CANDIDATE,8.998,9.50,FALSE,+0.502,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
A01_UPPER_ARM_LINK_REAR,A01,6061-T651 4 MM SLOTTED PLATE CANDIDATE,28.000,19.05,FALSE,-8.950,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
A01_FOREARM_LINK_REAR,A01,6061-T651 4 MM SLOTTED PLATE CANDIDATE,8.998,9.50,FALSE,+0.502,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G01_PALM_FRONT_PLATE,G01,PA-CF or 6061-T6 candidate,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G01_PALM_REAR_PLATE,G01,PA-CF or 6061-T6 candidate,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G01_PALM_TOP_BRIDGE,G01,PA-CF or 6061-T6 candidate,4.000,4.75,FALSE,+0.750,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G01_PALM_BOTTOM_BRIDGE,G01,PA-CF or 6061-T6 candidate,4.000,4.75,FALSE,+0.750,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G01_WRIST_MOUNT_PLATE,G01,6061-T6 candidate,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_SHIN_SIDE_FRONT,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_THIGH_SIDE_FRONT,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_SHIN_SIDE_REAR,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_THIGH_SIDE_REAR,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_SHIN_TIE_Z72,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_SHIN_TIE_Z135,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_SHIN_TIE_Z183,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_THIGH_TIE_Z235,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_THIGH_TIE_Z300,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L02_THIGH_TIE_Z355,L02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
F02_SOLE_CARRIER,F02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
F02_TOP_BRIDGE,F02,6061-T651 3 MM WINDOWED PLATE CANDIDATE,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
A02_UPPER_ARM_LINK_FRONT,A02,6061-T651 4 MM SLOTTED PLATE CANDIDATE,28.000,19.05,FALSE,-8.950,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
A02_FOREARM_LINK_FRONT,A02,6061-T651 4 MM SLOTTED PLATE CANDIDATE,8.998,9.50,FALSE,+0.502,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
A02_UPPER_ARM_LINK_REAR,A02,6061-T651 4 MM SLOTTED PLATE CANDIDATE,28.000,19.05,FALSE,-8.950,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
A02_FOREARM_LINK_REAR,A02,6061-T651 4 MM SLOTTED PLATE CANDIDATE,8.998,9.50,FALSE,+0.502,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G02_PALM_FRONT_PLATE,G02,PA-CF or 6061-T6 candidate,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G02_PALM_REAR_PLATE,G02,PA-CF or 6061-T6 candidate,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G02_PALM_TOP_BRIDGE,G02,PA-CF or 6061-T6 candidate,4.000,4.75,FALSE,+0.750,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G02_PALM_BOTTOM_BRIDGE,G02,PA-CF or 6061-T6 candidate,4.000,4.75,FALSE,+0.750,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
G02_WRIST_MOUNT_PLATE,G02,6061-T6 candidate,3.000,3.18,FALSE,+0.180,DO NOT SUBSTITUTE - CNC TO NOMINAL OR REVISE AUTHORITATIVE CAD AFTER ENGINEERING REVIEW,"NO PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
