axis_id,board_instance,candidate_internal_cap_a,pair_ron_typ_ohm,pair_ron_hot_max_ohm,pair_loss_at_cap_typ_w,pair_loss_at_cap_hot_max_w,device_1_to_9a_range_screen,current_limit_accuracy_boundary,normal_rms_loss,execution_state,authority,warning
R_ANKLE_PITCH,WPS-RLEG,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_ANKLE_ROLL,WPS-RLEG,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_SHOULDER_PITCH,WPS-ARMS,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_SHOULDER_ROLL,WPS-ARMS,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_ELBOW_PITCH,WPS-ARMS,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_SHOULDER_PITCH,WPS-ARMS,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_SHOULDER_ROLL,WPS-ARMS,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_ELBOW_PITCH,WPS-ARMS,1.998670,0.0244,0.0400,0.097470,0.159787,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_WRIST_ROTATION,WPS-DISTAL,0.700000,0.0244,0.0400,0.011956,0.019600,FAIL - 0.700 A CAP BELOW 1 A DEVICE MINIMUM,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_GRIPPER,WPS-DISTAL,0.700000,0.0244,0.0400,0.011956,0.019600,FAIL - 0.700 A CAP BELOW 1 A DEVICE MINIMUM,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_WRIST_ROTATION,WPS-DISTAL,0.700000,0.0244,0.0400,0.011956,0.019600,FAIL - 0.700 A CAP BELOW 1 A DEVICE MINIMUM,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
R_GRIPPER,WPS-DISTAL,0.700000,0.0244,0.0400,0.011956,0.019600,FAIL - 0.700 A CAP BELOW 1 A DEVICE MINIMUM,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HEAD_PAN,WPS-DISTAL,0.700000,0.0244,0.0400,0.011956,0.019600,FAIL - 0.700 A CAP BELOW 1 A DEVICE MINIMUM,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HEAD_TILT,WPS-DISTAL,0.700000,0.0244,0.0400,0.011956,0.019600,FAIL - 0.700 A CAP BELOW 1 A DEVICE MINIMUM,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
WAIST_YAW,WPS-CORE,2.499010,0.0244,0.0400,0.152379,0.249802,PASS,DATASHEET MAXIMUM ACCURACY NOT SPECIFIED BELOW 3 A,SELECTION REQUIRED - CAP LOSS IS NOT NORMAL DUTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - WALKING-POWER ARCHITECTURE CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
