sequence_id,bus_id,axis_count,axes,sample_count,peak_current_equivalent_a,p95_current_equivalent_a,rms_current_equivalent_a,mean_current_equivalent_a,candidate_internal_cap_sum_a,active_grip_included,released_normal_demand,thermal_rating_credit,warning
WS-R01,RS-RLEG,6,R_ANKLE_PITCH; R_ANKLE_ROLL; R_HIP_PITCH; R_HIP_ROLL; R_HIP_YAW; R_KNEE_PITCH,537,7.037965546,5.616409790,3.422019066,2.675303270,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,RS-RLEG,6,R_ANKLE_PITCH; R_ANKLE_ROLL; R_HIP_PITCH; R_HIP_ROLL; R_HIP_YAW; R_KNEE_PITCH,1074,7.037965546,5.943432925,4.231778681,3.715412400,13.993380,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,RS-WAIST,1,WAIST_YAW,537,0.008910811,0.007694492,0.002525931,0.001180850,2.499010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,RS-WAIST,1,WAIST_YAW,537,0.008920036,0.007701189,0.002527069,0.001181363,2.499010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,RS-WAIST,1,WAIST_YAW,1074,0.008920036,0.007702397,0.002526500,0.001181106,2.499010,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,TTL-HEAD,2,HEAD_PAN; HEAD_TILT,537,0.046662225,0.044018605,0.043826063,0.043825724,1.400000,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,TTL-HEAD,2,HEAD_PAN; HEAD_TILT,537,0.046194467,0.043998304,0.043827567,0.043827348,1.400000,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,TTL-HEAD,2,HEAD_PAN; HEAD_TILT,1074,0.046662225,0.044016755,0.043826815,0.043826536,1.400000,NOT APPLICABLE,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,TTL-LDIST,2,L_GRIPPER; L_WRIST_ROTATION,537,0.001907916,0.001893342,0.001155706,0.000939314,1.400000,NO,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,TTL-LDIST,2,L_GRIPPER; L_WRIST_ROTATION,537,0.001117543,0.001113902,0.000660593,0.000524702,1.400000,NO,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,TTL-LDIST,2,L_GRIPPER; L_WRIST_ROTATION,1074,0.001907916,0.001846258,0.000941286,0.000732008,1.400000,NO,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-L01,TTL-RDIST,2,R_GRIPPER; R_WRIST_ROTATION,537,0.001110846,0.001107232,0.000663647,0.000533548,1.400000,NO,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
WS-R01,TTL-RDIST,2,R_GRIPPER; R_WRIST_ROTATION,537,0.003149909,0.003068936,0.001565523,0.001186280,1.400000,NO,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
ALL-BOUND-TRACES,TTL-RDIST,2,R_GRIPPER; R_WRIST_ROTATION,1074,0.003149909,0.002892469,0.001202350,0.000859914,1.400000,NO,NO,NONE,"PRELIMINARY - BOUNDED TORQUE-PRODUCING CURRENT-EQUIVALENT EVIDENCE ONLY - NOT A WIRE, CONNECTOR, PROTECTION OR SOURCE RATING - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
