j2_deg,x430_to_striker_clearance_mm,positive_stop_clearance_mm,positive_stop_state,status
24.75,12.654807510,56.893431126,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
25.00,12.626963690,56.760307452,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
25.25,12.599412550,56.626923805,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
25.50,12.572154615,56.493280892,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
25.75,12.545190404,56.359379422,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
26.00,12.518520431,56.225220107,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
26.25,12.492145203,56.090803659,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
26.50,12.466065221,55.956130793,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
26.75,12.440280984,55.821202228,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
27.00,12.414792981,55.686018683,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
27.25,12.389601698,55.550580878,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
27.50,12.364707615,55.414889539,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
27.75,12.340111205,55.278945390,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
28.00,12.315812936,55.142749160,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
28.25,12.291813272,55.006301579,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
28.50,12.268112669,54.869603380,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
28.75,12.244711579,54.732655296,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
29.00,12.221610447,54.595458065,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
29.25,12.198809712,54.458012425,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
29.50,12.176309809,54.320319117,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
29.75,12.154111167,54.182378885,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
30.00,12.132214207,54.044192474,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
30.25,12.110619348,53.905760633,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
30.50,12.089326999,53.767084110,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
30.75,12.068337566,53.628163659,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
31.00,12.047651449,53.489000033,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
31.25,12.027269042,53.349593991,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
31.50,12.007190733,53.209946290,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
31.75,11.987416904,53.070057693,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
32.00,11.967947931,52.929928963,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
32.25,11.948784186,52.789560867,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
32.50,11.929926032,52.648954173,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
32.75,11.911373830,52.508109652,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
33.00,11.893127932,52.367028078,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
33.25,11.875188685,52.225710225,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
33.50,11.857556432,52.084156873,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
33.75,11.840231507,51.942368802,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
34.00,11.823214241,51.800346796,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
34.25,11.806504958,51.658091639,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
34.50,11.790103976,51.515604120,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
34.75,11.774011606,51.372885029,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
35.00,11.758228156,51.229935160,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
35.25,11.742753926,51.086755308,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
35.50,11.727589211,50.943346272,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
35.75,11.712734299,50.799708853,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
36.00,11.698189473,50.655843854,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
36.25,11.683955010,50.511752081,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
36.50,11.670031180,50.367434343,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
36.75,11.656418250,50.222891451,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
37.00,11.643116478,50.078124220,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
37.25,11.630126118,49.933133467,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
37.50,11.617447416,49.787920011,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
37.75,11.605080615,49.642484675,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
38.00,11.593025949,49.496828284,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
38.25,11.581283649,49.350951667,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
38.50,11.569853937,49.204855653,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
38.75,11.558737031,49.058541077,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
39.00,11.547933143,48.912008776,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
39.25,11.537442479,48.765259589,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
39.50,11.527265238,48.618294359,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
39.75,11.517401615,48.471113931,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
40.00,11.507851796,48.323719155,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
40.25,11.498615964,48.176110881,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
40.50,11.489694295,48.028289965,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
40.75,11.481086958,47.880257264,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
41.00,11.472794117,47.732013640,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
41.25,11.464815931,47.583559956,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
41.50,11.457152550,47.434897080,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
41.75,11.449804122,47.286025883,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
42.00,11.442770785,47.136947239,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
42.25,11.436052675,46.987662024,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
42.50,11.429649918,46.838171120,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
42.75,11.423562636,46.688475410,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
43.00,11.417790946,46.538575783,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
43.25,11.412334957,46.388473127,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
43.50,11.407194774,46.238168339,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
43.75,11.402370493,46.087662316,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
44.00,11.397862208,45.936955960,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
44.25,11.393670003,45.786050176,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
44.50,11.389793959,45.634945872,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
44.75,11.386234150,45.483643962,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
45.00,11.382990642,45.332145362,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
45.25,11.367722196,45.180450991,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
45.50,11.352770405,45.028561775,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
45.75,11.338135553,44.876478640,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
46.00,11.323817918,44.724202520,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
46.25,11.309817775,44.571734350,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
46.50,11.296135388,44.419075070,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
46.75,11.282771019,44.266225624,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
47.00,11.269724921,44.113186962,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
47.25,11.256997344,43.959960034,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
47.50,11.244588530,43.806545800,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
47.75,11.232498715,43.652945219,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
48.00,11.220728128,43.499159258,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
48.25,11.209276995,43.345188887,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
48.50,11.198145533,43.191035081,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
48.75,11.187333954,43.036698820,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
49.00,11.176842464,42.882181087,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
49.25,11.166671262,42.727482871,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
49.50,11.156820543,42.572605167,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
49.75,11.147290494,42.417548974,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
50.00,11.138081296,42.262315293,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
50.25,11.129193125,42.106905136,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
50.50,11.120626149,41.951319515,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
50.75,11.112380533,41.795559450,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
51.00,11.104456432,41.639625965,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
51.25,11.096853998,41.483520091,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
51.50,11.089573376,41.327242861,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
51.75,11.082614704,41.170795318,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
52.00,11.075978114,41.014178509,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
52.25,11.069663734,40.857393484,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
52.50,11.063671683,40.700441303,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
52.75,11.058002074,40.543323031,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
53.00,11.052655018,40.386039736,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
53.25,11.047630614,40.228592496,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
53.50,11.042928959,40.070982393,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
53.75,11.038550142,39.913210517,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
54.00,11.034494246,39.755277963,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
54.25,11.030761350,39.597185833,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
54.50,11.027351523,39.438935236,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
54.75,11.024264831,39.280527288,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
55.00,11.021501333,39.121963113,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
55.25,11.019061080,38.963243839,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
55.50,11.016944121,38.804370604,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
55.75,11.015150494,38.645344552,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
56.00,11.013680234,38.486166836,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
56.25,11.012533369,38.326838616,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
56.50,11.011709921,38.167361058,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
56.75,11.011209906,38.007735339,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
57.00,11.011033333,37.847962642,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
57.25,11.011180205,37.688044158,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
57.50,11.011650520,37.527981090,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
57.75,11.012444268,37.367774644,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
58.00,11.013561436,37.207426040,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
58.25,11.015002000,37.046936503,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
58.50,11.016765934,36.886307270,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
58.75,11.018853205,36.725539587,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
59.00,11.021263772,36.564634706,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
59.25,11.023997590,36.403593895,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
59.50,11.027054606,36.242418425,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
59.75,11.030434763,36.081109583,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
60.00,11.034137996,35.919668663,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
60.25,11.038164235,35.758096971,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
60.50,11.042513402,35.596395822,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
60.75,11.047185415,35.434566545,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
61.00,11.052180186,35.272610478,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
61.25,11.057497619,35.110528971,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
61.50,11.063137612,34.948323387,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
61.75,11.069100059,34.785995098,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
62.00,11.075384846,34.623545492,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
62.25,11.081991853,34.460975968,CLEAR,EXACT NOMINAL BREP - PHYSICAL VARIATION/DEFORMATION/FASTENER PROJECTION OPEN
